Date,IndGlobalCAN_lag96,price_trend_sma96,ConstSpendRes.USA_lag96,Price,NewForSaleAct.USA_lag95,IndGlobalQc_lag96,NewForSaleSAAR.USA_lag96,ConstSpendNonRes.USA_lag96,BdgPmtTotSAAR.USA_lag95,ExistMthSply.USA_lag96,HsSglSAAR.QC_lag96,TauxUSD_CAD_lag92,Dollar.US.dollar.CDN_lag93,US_PPI_Lumber_lag96,IndNAHB.USA_lag96,BdgPmtMltSAAR.USA_lag96,ExistForSaleInv.USA_lag96,HsSglSAAR.USA_lag96,HsSglSAAR.CAN_lag96,Taxes_exp_lag95,InventaireSciageRes.CAN_lag94,HsTotSAAR.USA_lag96,HsSglSAAR.CB_lag96,ExistSoldPrice.USA_lag96,CDN.AVG.OVER.10.AVG_lag94,HsMltSAAR.USA_lag96,HsTotSAAR.STH_lag96,STH_LBR_INV_lag95,BD.CDN.LONG.DQ.YLD_lag94,NewSoldMedPrice.USA_lag96,InventaireSciageRes.AB_lag96,WST_LBR_SHPMT_lag96,ExistSoldSAAR.USA_lag96,InventaireSciageRes.CB_lag94,HsTotAct.USA_lag96,ValeurExport.PaysExport_lag93,NewSoldSAAR.USA_lag94,BD.CDN.5YR.DQ.YLD_lag96,NewSoldAct.USA_lag96,HsMltAct.USA_lag96,HsSglAct.USA_lag96,BD.CDN.7YR.DQ.YLD_lag96,BdgPmtTotAct.USA_lag96,NewMthSply.USA_lag94,TotShip.ON_lag95,y
2011-09-22,0.014712113343370525,0.17037490265880528,0.05455780340951166,335,0.6635689879511248,0.017568368728329453,0.6835069265602765,0.32375840120345956,0.1497275667125959,0.3688135238171954,0.7138177613226482,0.1943548291145718,0.7249922273579612,0.0,0.06774038586464193,0.04450082919377679,0.6443214283778278,0.20508235082304538,0.6463977965172187,0.5696162247900682,0.028821155881013194,0.08524792527743519,0.5983137305856833,0.15430924370606536,0.8909774436090225,0.04071339153846154,0.11338108056220186,0.5659273687350925,0.892307692307692,0.15084700639183524,0.09258146384151766,0.006829472485031629,0.7123950719079042,0.017409180389382772,0.0639406381922975,0.04474811059527112,0.22865591227885806,0.7835820895522387,0.10827505726192954,0.028989180391208458,0.107631362344011,0.8257575757575759,0.1407290666533842,0.7245409451637841,0.0030879063690355535,320
2011-09-29,0.006284942566406215,0.1714873734564466,0.05482737637398738,325,0.659883305796281,0.010108245679231409,0.6781714631971989,0.3067064038333749,0.15479744220787928,0.39055207859350055,0.7829081224401493,0.18827706435155367,0.7357116281467633,0.010228029750841694,0.06236532799322286,0.05039753111472295,0.6127030788545742,0.19533175864197538,0.6740535852638248,0.5695975901618316,0.0216950285968327,0.07998943662145497,0.5968497723788865,0.15556395942731815,0.9398496240601504,0.041818644149184125,0.1177559598285709,0.4975164241892962,0.9384615384615382,0.15780041283432134,0.09382359320599698,0.0,0.6125130107905938,0.0161341695420667,0.04668947084648867,0.025573370808002316,0.22199583318197735,0.6977611940298507,0.10169052267706302,0.026972461899015227,0.08435088160888499,0.7500000000000002,0.16112661045837573,0.7320883085480523,0.0012992206790826133,320
2011-10-06,0.000520233543184645,0.17232172655467792,0.05478041248557308,320,0.6575502597736949,0.0036660017513474585,0.6740014141550854,0.2879309017015639,0.15134901834448167,0.4095514494196156,0.8468671490935624,0.18725453063298758,0.7432450388857563,0.016129398390770877,0.05558172607277573,0.049529461503296734,0.5866824923467506,0.1913580246913581,0.7093215072643564,0.5695566140915169,0.01316128704025532,0.07891491985203447,0.6185104844540853,0.15217404428490244,0.9323308270676691,0.04428904428904429,0.12455456721588454,0.4573484838650863,0.9307692307692306,0.15916345603239157,0.09508330150174982,0.0070354705373428805,0.528317197086819,0.015875035458118525,0.03620709811289374,0.008017604514332588,0.21813095105988123,0.708955223880597,0.09920780499918369,0.025380791112083106,0.07046201109670497,0.7575757575757578,0.16949613446697276,0.7361851443539495,0.013392542523608275,320
2011-10-13,0.0,0.17315607965290902,0.05439974548851678,320,0.6560164328833313,0.0004175990175543376,0.6712540346701832,0.2678235857056168,0.14199789796630402,0.42252066187574894,0.8921067508905558,0.19273022932784478,0.744532211302249,0.016680386635997024,0.048025197641391404,0.04111960043015728,0.571630077566502,0.19743462592592598,0.7505260677063621,0.5695201111641915,0.005341325856074164,0.0856435193588162,0.6714239710773681,0.14260360857091836,0.981203007518797,0.050125095501165506,0.13614665674333215,0.44060550943287424,0.973076923076923,0.15370914262388258,0.09399539018192682,0.02963198925951749,0.47639677907552014,0.015880674844721554,0.036283326968286345,0.0,0.2148087869076064,0.7574626865671641,0.09790918620881062,0.02577983782272078,0.0702910020232334,0.8030303030303032,0.1596168986172431,0.7399756292230764,0.03397853974800108,320
2011-10-20,0.004020704585800061,0.17399043275114012,0.053806050125628446,320,0.6545830336332772,0.0,0.6695100858511396,0.24755697325802872,0.13042955573282777,0.4316779915440064,0.9124687495091592,0.20208013661953705,0.7377746817760875,0.015458621435433306,0.041361929032885325,0.028143347962771792,0.568006741293333,0.21112183559670783,0.7915635111186177,0.5695223477356862,0.0003565413884585311,0.09750037644882859,0.7439809660159075,0.1289132941843365,0.981203007518797,0.05703401678321676,0.14851067306838195,0.4377203151660307,0.973076923076923,0.14381975550672244,0.08939609971467988,0.06076053461711728,0.4514722974172969,0.015399982973917758,0.04367009805519406,0.00730250771306612,0.2097768611807882,0.7686567164179104,0.09735577186402966,0.027080981859292697,0.07995225756741048,0.8106060606060608,0.13665233843002006,0.7466039401647502,0.055783344972661186,325
2011-10-27,0.011057431712705679,0.17482478584937144,0.05315446173932614,320,0.6525512690652111,0.0014153949803255017,0.6681812043594044,0.22849878665566692,0.1203294663035347,0.44061902675102466,0.903652445879936,0.21166347079188208,0.7262211311081543,0.017192066034185105,0.03751574869414781,0.01451420888416094,0.5750460164132727,0.22830162530864195,0.825223017339126,0.5695975901618316,0.0,0.11023713156596793,0.8196378611713665,0.11406287706785312,1.0,0.06164970582750584,0.1560272331515422,0.4391257449238868,0.9999999999999998,0.13277989584183314,0.08042203055106367,0.09121080310204233,0.44279714278311455,0.014020843317833709,0.05335988558344579,0.027158128702656215,0.20162565286671474,0.8432835820895522,0.09772837433028303,0.027532030534565627,0.09350721885577634,0.8977272727272729,0.10861193312639361,0.7579488428769385,0.07153309007234332,325
2011-11-03,0.01958525308282688,0.17565913894760254,0.05260011497209249,320,0.6494537702289702,0.0036660017513474585,0.6666790268564269,0.21201674974593399,0.11471685670556242,0.45293935560650095,0.8613571392868598,0.21783944799108612,0.7143820305627537,0.026608683677358025,0.03841048472864439,0.0041456883555436586,0.5919814347525616,0.24485596707818924,0.8442937657319707,0.5697587377386901,0.004751452375409748,0.11960542540073982,0.8818510484454086,0.1010121331641638,0.9774436090225564,0.06060606060606061,0.15307695442869462,0.4373943961139126,0.9769230769230766,0.12387416639419468,0.06620978314213355,0.11177249133096046,0.43962470423134903,0.012687089278653474,0.06034516352148961,0.054662625746492666,0.1923174731913806,0.8544776119402985,0.09920780499918369,0.025380791112083106,0.10501732666931812,0.9090909090909094,0.08350516212288817,0.7708274585476431,0.07592141015372372,330
2011-11-10,0.0282403842984289,0.17649349204583364,0.05225731690810864,320,0.6457488634738173,0.00595319838638364,0.6645436561631399,0.19922258233442447,0.11394596269807422,0.4709629366527937,0.7860313418542217,0.2169672929137927,0.7067678484987479,0.046853508033805724,0.04510133430013469,0.0,0.6174559742536683,0.2574961351851853,0.8445232574327606,0.569933235393463,0.014762322191733457,0.12247727903822436,0.9178326898047723,0.09217624362582888,0.9360902255639099,0.051715504895104875,0.13624633083999937,0.43365787293957325,0.9423076923076921,0.11980501374603669,0.0468379729745807,0.11593875101505913,0.43361949034881975,0.01268154317621617,0.06125874777973239,0.08491176205602385,0.18465759110333158,0.8470149253731344,0.10231654988068306,0.019567116255884115,0.11040646069014098,0.9090909090909094,0.06813413588561895,0.7807914972373744,0.07151194902583852,330
2011-11-17,0.036303572077349244,0.17760596284347518,0.052077061598608476,325,0.642126299157173,0.008275079736501212,0.6618290597384127,0.1902039938740021,0.11770477228478926,0.49192720983749666,0.6971204071880488,0.20657082090543621,0.7078890503695559,0.07473985132358885,0.05516896789444342,0.00123419185535234,0.6477503941446092,0.26625061378600823,0.8334922785305676,0.5700271540584774,0.030184031426637503,0.12020623612823678,0.9298180318148951,0.08779200953125943,0.9097744360902256,0.03750456696969698,0.11094536400653832,0.4311875553419444,0.9153846153846152,0.12094626857090662,0.026153277281723453,0.10801655361976847,0.4260904850140952,0.015287026612790688,0.0592948215536549,0.11300130127642555,0.18145127555111285,0.8246268656716417,0.1089437888323983,0.01179903993665024,0.11304825361317378,0.8787878787878789,0.0644714899585187,0.7833926690066426,0.06283585298399941,330
2011-11-24,0.043216700682579656,0.17844031594170628,0.05196951413665407,325,0.6392758261700495,0.010828921566647942,0.6587176712005969,0.18479269055099046,0.12568127346942715,0.5117979853239247,0.6188189009113907,0.18883225479640142,0.7208309293695088,0.10549809619051653,0.06532542522940193,0.006054020232185542,0.6785549008294185,0.2719771893004116,0.821739936885991,0.5699465820038244,0.05116800248263109,0.11526622071516646,0.9237980911062907,0.0875516389959421,0.9248120300751881,0.021678300722610705,0.08478993347979158,0.43325482326210185,0.9384615384615382,0.12708960856771845,0.00894438879082693,0.09501632545550354,0.42075779163418714,0.021786360473074584,0.05928790961862512,0.13512016068683602,0.18550379548326967,0.753731343283582,0.12132037608682789,0.004476641427112016,0.11817877686168726,0.8106060606060608,0.07328249064196007,0.774182683915958,0.054424268572067,340
