Date,NewForSaleSAAR.USA_lag96,IndGlobalCAN_lag96,NewForSaleAct.USA_lag96,IndGlobalQc_lag96,Price,ConstSpendRes.USA_lag96,US_PPI_Lumber_lag96,price_trend_sma96,MnfdHomesSAAR.USA_lag93,ConstSpendNonRes.USA_lag96,IndNAHB.USA_lag90,ExistMthSply.USA_lag94,HsSglSAAR.QC_lag96,ValeurExport.PaysExport_lag95,ValeurExport.CHN_lag96,ExistForSaleInv.USA_lag95,NewMthSply.USA_lag94,Taxes_exp_lag96,BdgPmtMltSAAR.USA_lag96,InventaireSciageRes.QC_lag92,BdgPmtTotSAAR.USA_lag95,VolumeExport.CHN_lag94,ExistSoldSAAR.USA_lag96,BD.CDN.LONG.DQ.YLD_lag95,BD.CDN.RRB.DQ.YLD_lag96,TauxUSD_CAD_lag95,InventaireSciageRes.ON_lag96,HsSglSAAR.USA_lag96,CDN.AVG.OVER.10.AVG_lag95,BD.CDN.10YR.DQ.YLD_lag95,Dollar.US.dollar.CDN_lag96,HsSglSAAR.AB_lag96,STH_LBR_INV_lag96,WST_LBR_SHPMT_lag96,CDN.AVG.5YTO10Y.AVG_lag95,HsTotSAAR.USA_lag95,InventaireSciageRes.CAN_lag94,InventaireSciageRes.CB_lag96,IndNAR_HAI.USA_lag92,NewSoldMedPrice.USA_lag96,US_Lbr_Exp_lag96,TotShip.ON_lag96,CDN.AVG.3YTO5Y.AVG_lag95,HsSglSAAR.CAN_lag93,ExistSoldPrice.USA_lag95,y
2009-11-19,0.9922893320598642,0.005361449246113814,0.9903844676621254,0.005878562605670545,303,0.5584832708754235,0.17056310305657307,0.08022437895111745,0.8435343303385047,0.7734348495950574,0.19047619047619047,0.6894034443250259,0.8966252830869967,0.1884641129734319,0.02181221441864125,0.807144830359534,0.6892181109183113,0.18816679261396016,0.4789427139509379,0.9584916727756081,0.6258596694857844,0.038889695590478834,0.36427513177103155,0.9709090909090907,0.6758893280632412,0.09859582487465479,0.9027423510930357,0.7485113082856829,0.9512195121951221,1.0,0.850884349548171,0.49248592287458526,0.9786964199826391,0.6857820697863635,0.9999999999999999,0.7480097975059506,0.9999157593203907,0.9662306770703744,0.1638721595145598,0.31542345768877467,0.2212719099489151,0.5303478975688197,0.9906542056074764,0.5585206256314869,0.3829996627187555,326
2009-11-26,0.9849309326124205,0.011788911061860752,0.9801327273816729,0.01270564301394117,318,0.545017913855538,0.16608617812825854,0.0804024574837503,0.8190900317494741,0.7736921556979177,0.19091533587301585,0.6802126273284246,0.9236011891549318,0.21207225395029128,0.03576071212049632,0.793880019664673,0.7190241931488028,0.18816679261396016,0.4609181269503094,0.9808748616293936,0.6000940182018742,0.04340601293716914,0.36175666126812,0.9563636363636363,0.7351778656126483,0.09341350443677587,0.893395081592274,0.7242049271291662,0.9337979094076656,0.979933110367893,0.8600648328763421,0.4706790164957658,0.9609993200837001,0.6613499753085283,0.977198697068404,0.7365998252229563,0.9971058972316902,0.9522710633262061,0.1479074286852342,0.33973807259424893,0.23294682154811652,0.5312033392030678,0.9595015576323987,0.4956018073314221,0.38148903877249896,319
2009-12-03,0.9783930227733482,0.018207389264473406,0.9701747073481979,0.019255523273097985,322,0.5365006050962255,0.16429269807639657,0.08191612501112955,0.79209401021793,0.774174534624473,0.19169191555555554,0.6748425780951284,0.9089435843534839,0.22807500474413078,0.04657589984565337,0.7841691454830567,0.7517067735366492,0.18816679261396016,0.4420495410689841,0.9956569169211451,0.5767181144690642,0.04401958236150971,0.36302664221980674,0.9709090909090907,0.7193675889328064,0.09093064830515418,0.8754671332800898,0.7088600119621846,0.9442508710801396,0.9732441471571907,0.866956843753206,0.4586480225516626,0.9484860887612081,0.6313553082078223,0.9609120521172637,0.7109918939963552,0.9925568073786919,0.9265710108873737,0.13530208109219122,0.3412241093930892,0.24037076538307,0.5237753948087764,0.9345794392523364,0.4288438950602639,0.3879467527513085,322
2009-12-10,0.972958528986855,0.023812869227772815,0.9612709913190736,0.02458853660718585,326,0.5348517294040271,0.16510828638622477,0.08307363547324353,0.7703801618968446,0.7758885210446893,0.19224892269841265,0.6767529620310158,0.8409242105196701,0.23808833893695502,0.05105481510322761,0.7810710851129518,0.7804766318062442,0.18816678914640747,0.42385780704067233,1.0,0.5580564117506414,0.04353183187267243,0.36723490064139463,0.9890909090909088,0.7351778656126483,0.09125294840915776,0.8549858363092746,0.7059196799979235,0.9547038327526132,0.979933110367893,0.8702349944659438,0.46081406090777344,0.9418922470536977,0.6027045532740203,0.9641693811074917,0.6777237506922159,0.988471585856705,0.8934830441149986,0.12957592105598104,0.314569453671413,0.24254389099729134,0.5105148529649872,0.9283489096573209,0.3723083574892576,0.39952763504782096,315
2009-12-17,0.968169198427228,0.02888534826320921,0.9535047838662207,0.028909169283622305,326,0.538079092184139,0.16737901394174037,0.0844982637343068,0.7597073010345151,0.7785189498986544,0.19202935,0.6894034443250259,0.7418332344478085,0.24545940684044487,0.05061380336651497,0.7877853476115605,0.798544546207917,0.18816678914640747,0.40861847830045694,0.9960204077270229,0.5464535842576023,0.04474418947982914,0.3726371672347317,0.9709090909090907,0.7549407114624506,0.09425873419366004,0.8380430240862062,0.7106919720891105,0.9407665505226481,0.9732441471571907,0.8697663377379388,0.4698496363821274,0.9385858644001734,0.5821262860505976,0.9641693811074917,0.6452122928741694,0.9870533287610392,0.8579117215358067,0.12913650629599305,0.27266737623055226,0.24144915814122248,0.49695715934397855,0.9376947040498441,0.33378822999252317,0.4123672821654094,307
2009-12-24,0.9633814835972814,0.03397579452491506,0.9467899442553462,0.032707953005617796,319,0.543212354927531,0.16968106010274875,0.08494346006588893,0.757533916004797,0.781420231484709,0.19047619047619047,0.7146008829825496,0.6424654304064834,0.2535353587662812,0.04782403718478896,0.8075114429448466,0.801298809548942,0.18816678914640747,0.39879578377798186,0.9870729679584715,0.5442543064385587,0.04976484486486128,0.3772656482685828,0.9236363636363636,0.7430830039525692,0.09982633082831649,0.8307466553535221,0.7164511598556436,0.8954703832752613,0.919732441471572,0.8657160276852953,0.4754900994794623,0.9350931337809403,0.5763046051749483,0.9055374592833875,0.6218744157645107,0.9896908844401406,0.8248996091415703,0.13111333539478487,0.23296249337361385,0.23981522887594042,0.4894089253826287,0.8847352024922117,0.31250747987613825,0.4226012887802353,315
2009-12-31,0.9579518375838645,0.03963520830874856,0.9410403317521558,0.03647541947638455,322,0.5472811791251719,0.17059060782786073,0.08663520612590148,0.7592434140036436,0.7839467761011965,0.18726393126984126,0.7475409097695875,0.5736155726642798,0.26477464449596966,0.045256689107323084,0.8416565720183923,0.7928377652483716,0.18816679261396016,0.39685395204132623,0.976512512154089,0.5524959789137444,0.05792903448597374,0.37915255001171033,0.9199999999999999,0.6798418972332017,0.10753980453098055,0.839204689330997,0.7164715149174217,0.8815331010452963,0.8695652173913042,0.8582492300458915,0.4674708007045163,0.9279402707743367,0.5919236094092342,0.8371335504885994,0.6136778947081759,0.9945161088218653,0.7994892743592015,0.13263590581782103,0.21289941979964588,0.24037076538307,0.4941767615236221,0.7881619937694703,0.3070787411717149,0.4274309969437775,325
2010-01-07,0.9514307870503027,0.04635134034570498,0.9361449301097851,0.04073924371524651,315,0.5479855968780514,0.16933558376482516,0.08752559878906574,0.7602192020816544,0.7856543863373568,0.18299303650793647,0.7817663466653184,0.5582990512013946,0.27808091027616466,0.04497054344074955,0.8844587049488216,0.7794372666143328,0.18816680301661828,0.40401737480423205,0.9676938681701328,0.566986907227497,0.06787875647408098,0.3769733157963928,0.9018181818181819,0.6482213438735178,0.11580617074903543,0.866872369133449,0.7058981002453197,0.8675958188153312,0.8561872909698995,0.8479235052086698,0.43914476928165624,0.9146925985996708,0.6323543317738052,0.8241042345276873,0.6167940105561157,0.9988466111620595,0.7851199264212392,0.13083371391347498,0.22458096146064221,0.24503654395458163,0.5152991136943219,0.7819314641744547,0.3176072643807913,0.4283207391223893,343
2010-01-14,0.9441451582221334,0.05435903953251042,0.9318932192830207,0.0461757084457588,307,0.5457071261312687,0.16775090371316148,0.08770367732169904,0.7558446871440739,0.7869044335583899,0.1784954649206349,0.8108200167336177,0.5884137254308333,0.2914691010152598,0.04697483233648633,0.9283635046098996,0.7673731681833396,0.18816681341927638,0.4165510938321424,0.9628331314031255,0.5822281230957757,0.07825600897230962,0.3719763347900782,0.8690909090909091,0.6205533596837945,0.12273817529001763,0.9065940751258519,0.68735914440441,0.8432055749128922,0.8361204013377928,0.8368660328430386,0.39833574710807007,0.8970719252754007,0.6877155434446736,0.8078175895765473,0.6249449207699193,1.0,0.7788173439354344,0.12356251203568669,0.2587426813000848,0.2525017972032768,0.5477417652869325,0.7757009345794391,0.3458655251876527,0.4278005933305302,341
2010-01-21,0.9366158514854053,0.0638299319857989,0.928049802840047,0.0534982339676251,315,0.5414976557803466,0.16832322716152714,0.08752559878906574,0.7429197697391837,0.7882596806451252,0.1746031746031746,0.8282447441230587,0.6480780721238042,0.3029541626317558,0.05076639949947233,0.9658166334210113,0.7629213257202927,0.1881668203543818,0.4294803131322512,0.9595914602036824,0.5927206587097714,0.08770279013599838,0.3660532320142873,0.8800000000000001,0.5968379446640316,0.12644857464950787,0.9485614725224976,0.6653536675010283,0.8501742160278747,0.8394648829431437,0.8275964047021325,0.35648515259488045,0.8778392026178183,0.7448129509789472,0.8110749185667753,0.631852782342908,0.9952938831583955,0.776003947315167,0.11158306203846835,0.30077833191034364,0.26064787179202786,0.5842023349297886,0.7757009345794391,0.3928614764742936,0.4284006375826601,341
