Date,IndGlobalCAN_lag91,Price,NewForSaleSAAR.USA_lag96,NewForSaleAct.USA_lag96,price_trend_sma96,IndGlobalQc_lag91,BdgPmtSglSAAR.USA_lag95,HsSglSAAR.QC_lag96,ConstSpendNonRes.USA_lag96,IndNAHB.USA_lag88,ExistMthSply.USA_lag96,BD.CDN.LONG.DQ.YLD_lag96,US_PPI_Lumber_lag96,BD.CDN.10YR.DQ.YLD_lag96,CDN.AVG.OVER.10.AVG_lag95,BD.CDN.7YR.DQ.YLD_lag96,BD.CDN.RRB.DQ.YLD_lag96,HsSglSAAR.CAN_lag91,BdgPmtTotSAAR.USA_lag96,MnfdHomesSAAR.USA_lag96,NewMthSply.USA_lag95,BD.CDN.5YR.DQ.YLD_lag96,CDN.AVG.5YTO10Y.AVG_lag95,Dollar.US.dollar.CDN_lag88,ValeurExport.PaysExport_lag96,InventaireSciageRes.ON_lag96,BD.CDN.3YR.DQ.YLD_lag96,STH_LBR_INV_lag96,IndNAR_HAI.USA_lag96,NewSoldSAAR.USA_lag96,CDN.AVG.3YTO5Y.AVG_lag96,ExistForSaleInv.USA_lag52,InventaireSciageRes.CAN_lag92,ValeurExport.CHN_lag96,HsSglSAAR.USA_lag93,BdgPmtMltSAAR.USA_lag96,ExistSoldSAAR.USA_lag96,HsTotSAAR.STH_lag95,HsTotAct.USA_lag96,NewSoldMedPrice.USA_lag96,VolumeExport.CHN_lag96,BD.CDN.2YR.DQ.YLD_lag96,HsSglAct.USA_lag96,HsTotSAAR.USA_lag90,InventaireSciageRes.CB_lag94,y
2009-11-19,0.03397579452491506,228,0.9922893320598642,0.9903844676621254,0.0037854381443298557,0.032707953005617796,0.6764714998566966,0.8966252830869967,0.7734348495950574,0.19169191555555554,0.7073982595149262,0.9127272727272726,0.17056310305657307,0.9431438127090301,0.9512195121951221,0.9506578947368421,0.6758893280632412,0.7541071826022646,0.6517715031946961,0.8414876167384858,0.6677361562459943,0.9520766773162939,0.9999999999999999,1.1949343869092905,0.16255931656440326,0.9027423510930357,0.949526813880126,0.9786964199826391,0.17486873517913826,0.9413220981467968,0.9563862928348908,0.7448382249561732,0.9925568073786919,0.02181221441864125,0.7059196799979235,0.4789427139509379,0.36427513177103155,0.7716657909470109,0.5044536306732033,0.31542345768877467,0.016329240160572252,0.9449838187702266,0.42730488817834883,0.6218744157645107,0.9265710108873737,230
2009-11-26,0.03963520830874856,228,0.9849309326124205,0.9801327273816729,0.005960051546391787,0.03647541947638455,0.6539731551867475,0.9236011891549318,0.7736921556979177,0.19224892269841265,0.6992040561067818,0.9709090909090907,0.16608617812825854,1.0,0.9337979094076656,1.0,0.7351778656126483,0.7193952982740176,0.6258596694857844,0.8557158867033873,0.6892181109183113,0.9904153354632588,0.977198697068404,1.2083184438664725,0.1884641129734319,0.893395081592274,0.9779179810725551,0.9609993200837001,0.18513162952899087,0.9142966542411873,0.9906542056074764,0.7109829740056305,0.988471585856705,0.03576071212049632,0.7106919720891105,0.4609181269503094,0.36175666126812,0.7755042019504229,0.5250446165219829,0.33973807259424893,0.0288424692048274,0.9676375404530744,0.44812175984471575,0.6136778947081759,0.8934830441149986,222
2009-12-03,0.04635134034570498,232,0.9783930227733482,0.9701747073481979,0.00894007731958757,0.04073924371524651,0.6347487505254895,0.9089435843534839,0.774174534624473,0.19202935,0.6894034443250259,0.9563636363636363,0.16429269807639657,0.979933110367893,0.9442508710801396,0.9736842105263158,0.7193675889328064,0.6936765387087075,0.6000940182018742,0.8575930104134685,0.7190241931488028,0.9648562300319488,0.9609120521172637,1.2156071255382668,0.21207225395029128,0.8754671332800898,0.9337539432176656,0.9484860887612081,0.18668830364742695,0.8786346715124077,0.9595015576323987,0.6802848256632271,0.9870533287610392,0.04657589984565337,0.7164511598556436,0.4420495410689841,0.36302664221980674,0.7580949770299256,0.5420904887235185,0.3412241093930892,0.038889695590478834,0.9255663430420713,0.4796625872701667,0.6167940105561157,0.8579117215358067,222
2009-12-10,0.05435903953251042,231,0.972958528986855,0.9612709913190736,0.011678479381443285,0.0461757084457588,0.6201937381912798,0.8409242105196701,0.7758885210446893,0.19047619047619047,0.6802126273284246,0.9709090909090907,0.16510828638622477,0.9732441471571907,0.9547038327526132,0.9539473684210528,0.7351778656126483,0.6786098183742119,0.5767181144690642,0.8435343303385047,0.7517067735366492,0.9424920127795526,0.9641693811074917,1.2128577193794368,0.22807500474413078,0.8549858363092746,0.8990536277602523,0.9418922470536977,0.17839840565441833,0.8353208658927921,0.9345794392523364,0.6555609934483687,0.9896908844401406,0.05105481510322761,0.7164715149174217,0.42385780704067233,0.36723490064139463,0.7258849918516389,0.5546197224851177,0.314569453671413,0.04340601293716914,0.8964401294498383,0.5214613338508085,0.6249449207699193,0.8248996091415703,222
2009-12-17,0.0638299319857989,230,0.968169198427228,0.9535047838662207,0.014094716494845505,0.0534982339676251,0.611528885673078,0.7418332344478085,0.7785189498986544,0.18726393126984126,0.6748425780951284,0.9890909090909088,0.16737901394174037,0.979933110367893,0.9407665505226481,0.9572368421052632,0.7549407114624506,0.6746573413418654,0.5580564117506414,0.8190900317494741,0.7804766318062442,0.9361022364217253,0.9641693811074917,1.1984809994183,0.23808833893695502,0.8380430240862062,0.8958990536277601,0.9385858644001734,0.1638721595145598,0.7901483694161408,0.9283489096573209,0.6386686197424613,0.9945161088218653,0.05061380336651497,0.7058981002453197,0.40861847830045694,0.3726371672347317,0.6885723066795845,0.5647368337580619,0.27266737623055226,0.04401958236150971,0.8834951456310681,0.567556143030312,0.631852782342908,0.7994892743592015,225
2009-12-24,0.07493564382220619,222,0.9633814835972814,0.9467899442553462,0.01570554123711343,0.06342025206047808,0.6099749612598103,0.6424654304064834,0.781420231484709,0.18299303650793647,0.6767529620310158,0.9709090909090907,0.16968106010274875,0.9732441471571907,0.8954703832752613,0.9572368421052632,0.7430830039525692,0.682281311683003,0.5464535842576023,0.79209401021793,0.798544546207917,0.9424920127795526,0.9055374592833875,1.178938299428128,0.24545940684044487,0.8307466553535221,0.9116719242902207,0.9350931337809403,0.1479074286852342,0.7501124180067708,0.9376947040498441,0.6312248298239828,0.9988466111620595,0.04782403718478896,0.68735914440441,0.39879578377798186,0.3772656482685828,0.6558549822209291,0.5753153481787814,0.23296249337361385,0.04353183187267243,0.9029126213592233,0.6106112037142171,0.6312397553121388,0.7851199264212392,231
2009-12-31,0.0878478011583681,222,0.9579518375838645,0.9410403317521558,0.01788015463917514,0.07665517728405469,0.6159237506691434,0.5736155726642798,0.7839467761011965,0.1784954649206349,0.6894034443250259,0.9236363636363636,0.17059060782786073,0.919732441471572,0.8815331010452963,0.8980263157894738,0.6798418972332017,0.7019439334689591,0.5442543064385587,0.7703801618968446,0.801298809548942,0.8881789137380192,0.8371335504885994,1.161997548168566,0.2535353587662812,0.839204689330997,0.8517350157728705,0.9279402707743367,0.13530208109219122,0.7222082481283999,0.8847352024922117,0.6348467480626486,1.0,0.045256689107323084,0.6653536675010283,0.39685395204132623,0.37915255001171033,0.6351892589477383,0.5892287920907809,0.21289941979964588,0.04474418947982914,0.8446601941747574,0.6432907044808063,0.6192716076214385,0.7788173439354344,245
2010-01-07,0.10251585576915723,222,0.9514307870503027,0.9361449301097851,0.019893685567010433,0.09342491670076036,0.6264511127335636,0.5582990512013946,0.7856543863373568,0.1746031746031746,0.7146008829825496,0.9199999999999999,0.16933558376482516,0.8695652173913042,0.8675958188153312,0.8256578947368421,0.6482213438735178,0.7323968731794462,0.5524959789137444,0.7597073010345151,0.7928377652483716,0.7891373801916933,0.8241042345276873,1.1546246745349198,0.26477464449596966,0.866872369133449,0.7318611987381702,0.9146925985996708,0.12957592105598104,0.7111543584682246,0.7881619937694703,0.649843900914978,0.9952938831583955,0.04497054344074955,0.6443806896415116,0.40401737480423205,0.3769733157963928,0.6250640963916715,0.6083435875248744,0.22458096146064221,0.04976484486486128,0.7152103559870551,0.6603816508512581,0.601888556284656,0.776003947315167,247
2010-01-14,0.11800056206240761,225,0.9441451582221334,0.9318932192830207,0.02214884020618557,0.11198525554423533,0.637803923914288,0.5884137254308333,0.7869044335583899,0.1718712496825397,0.7475409097695875,0.9018181818181819,0.16775090371316148,0.8561872909698995,0.8432055749128922,0.8092105263157895,0.6205533596837945,0.7655496457590697,0.566986907227497,0.757533916004797,0.7794372666143328,0.7827476038338659,0.8078175895765473,1.1614116982260088,0.27808091027616466,0.9065940751258519,0.7287066246056783,0.8970719252754007,0.12913650629599305,0.7125623001134614,0.7819314641744547,0.6712954190952757,0.9828857049196436,0.04697483233648633,0.6289392309321962,0.4165510938321424,0.3719763347900782,0.6217266331845682,0.6304977420894101,0.2587426813000848,0.05792903448597374,0.7216828478964402,0.6651623156274478,0.5874744300856133,0.7721021569738138,263
2010-01-21,0.13314051617505474,231,0.9366158514854053,0.928049802840047,0.024242912371134073,0.13010044859092407,0.6462290612725096,0.6480780721238042,0.7882596806451252,0.16974727507936505,0.7817663466653184,0.8690909090909091,0.16832322716152714,0.8361204013377928,0.8501742160278747,0.7960526315789475,0.5968379446640316,0.7916012291451212,0.5822281230957757,0.7592434140036436,0.7673731681833396,0.7763578274760383,0.8110749185667753,1.1784129376059025,0.2914691010152598,0.9485614725224976,0.7318611987381702,0.8778392026178183,0.13111333539478487,0.7197668874536093,0.7757009345794391,0.6929728340415068,0.9642922496723503,0.05076639949947233,0.6221339615850618,0.4294803131322512,0.3660532320142873,0.6214240086229864,0.6525221596692746,0.30077833191034364,0.06787875647408098,0.7281553398058254,0.6630337885541462,0.5844130575739978,0.7625343933247528,263
