Date,ConstSpendRes.USA_lag96,IndHPI_SAAR.USA_lag96,IndGlobalCAN_lag96,IndHPI_Act.USA_lag96,IndGlobalQc_lag96,NewForSaleSAAR.USA_lag95,NewForSaleAct.USA_lag96,price_trend_sma96,Price,ConstSpendNonRes.USA_lag96,BdgPmtSglSAAR.USA_lag96,BdgPmtTotSAAR.USA_lag95,HsSglSAAR.QC_lag96,ExistMthSply.USA_lag96,TauxUSD_CAD_lag95,IndNAHB.USA_lag95,BdgPmtMltSAAR.USA_lag96,ExistForSaleInv.USA_lag96,Taxes_exp_lag96,Dollar.US.dollar.CDN_lag96,US_PPI_Lumber_lag96,NewSoldMedPrice.USA_lag95,ExistSoldPrice.USA_lag96,HsSglSAAR.USA_lag96,HsTotSAAR.USA_lag96,ExistSoldSAAR.USA_lag94,IndNAR_HAI.USA_lag96,InventaireSciageRes.CB_lag96,STH_LBR_INV_lag94,NewSoldSAAR.USA_lag96,CDN.AVG.OVER.10.AVG_lag96,NewMthSply.USA_lag96,HsSglSAAR.CAN_lag96,HsSglAct.USA_lag96,BD.CDN.LONG.DQ.YLD_lag96,HsTotAct.USA_lag95,Exchange.Rate_lag95,BD.CDN.10YR.DQ.YLD_lag96,BD.CDN.RRB.DQ.YLD_lag92,WST_LBR_SHPMT_lag96,ValeurExport.USA_lag94,HsSglSAAR.AB_lag95,CDN.AVG.5YTO10Y.AVG_lag96,HsSglSAAR.CB_lag96,BD.CDN.7YR.DQ.YLD_lag96,y
2011-09-22,0.05455780340951166,0.17845519166070734,0.014712113343370525,0.17477249570197273,0.017568368728329453,0.6781714631971989,0.668579212806288,0.32447929842313883,320,0.32375840120345956,0.25731178194336823,0.1497275667125959,0.7138177613226482,0.3688135238171954,0.21868920520340307,0.06236532799322286,0.04450082919377679,0.6443214283778278,0.5696154896688947,0.3438705445995295,0.0,0.15780041283432134,0.15430924370606536,0.20508235082304538,0.08524792527743519,0.528317197086819,0.436372716009644,0.023679218900050092,0.4975164241892962,0.2546702400567792,0.9172932330827068,0.6932722967734848,0.6463977965172187,0.107631362344011,0.9115384615384612,0.04668947084648867,0.22809818399521054,0.8772563176895304,0.9324324324324323,0.006829472485031629,0.021597457938624498,0.8385261062171127,0.8333333333333333,0.5983137305856833,0.8257575757575759,315
2011-09-29,0.05482737637398738,0.17079342722410873,0.006284942566406215,0.1627818714692193,0.010108245679231409,0.6740014141550854,0.6635689879511248,0.32953874694325025,320,0.3067064038333749,0.2716525425645314,0.15479744220787928,0.7829081224401493,0.39055207859350055,0.21183703180056046,0.05558172607277573,0.05039753111472295,0.6127030788545742,0.5696162247900682,0.3515525197063712,0.010228029750841694,0.15916345603239157,0.15556395942731815,0.19533175864197538,0.07998943662145497,0.47639677907552014,0.4503527086836723,0.02015966903857236,0.4573484838650863,0.23977600025290602,0.8759398496240602,0.7112431734046016,0.6740535852638248,0.08435088160888499,0.8730769230769229,0.03620709811289374,0.21831969666733175,0.8122743682310468,0.9594594594594595,0.0,0.01766148373640153,0.8120605999454503,0.7518518518518518,0.5968497723788865,0.7500000000000002,315
2011-10-06,0.05478041248557308,0.16548582015444024,0.000520233543184645,0.15297990189217847,0.0036660017513474585,0.6712540346701832,0.659883305796281,0.33459819546336167,320,0.2879309017015639,0.2816467671814228,0.15134901834448167,0.8468671490935624,0.4095514494196156,0.20302806992869105,0.048025197641391404,0.049529461503296734,0.5866824923467506,0.5695975901618316,0.36421934005900175,0.016129398390770877,0.15370914262388258,0.15217404428490244,0.1913580246913581,0.07891491985203447,0.4514722974172969,0.46118714019271856,0.017409180389382772,0.44060550943287424,0.22865591227885806,0.8909774436090225,0.7245409451637841,0.7093215072643564,0.07046201109670497,0.892307692307692,0.036283326968286345,0.2093394532029531,0.823104693140794,0.9391891891891891,0.0070354705373428805,0.01203361385664986,0.7712877873005758,0.7999999999999998,0.6185104844540853,0.7575757575757578,310
2011-10-13,0.05439974548851678,0.16399565371337754,0.0,0.14704516558849656,0.0004175990175543376,0.6695100858511396,0.6575502597736949,0.33923602327346325,315,0.2678235857056168,0.2852405144314095,0.14199789796630402,0.8921067508905558,0.42252066187574894,0.1943548291145718,0.041361929032885325,0.04111960043015728,0.571630077566502,0.5695566140915169,0.38106586864648495,0.016680386635997024,0.14381975550672244,0.14260360857091836,0.19743462592592598,0.0856435193588162,0.44279714278311455,0.4673973721277851,0.0161341695420667,0.4377203151660307,0.22199583318197735,0.9398496240601504,0.7320883085480523,0.7505260677063621,0.0702910020232334,0.9384615384615382,0.04367009805519406,0.24685691478746752,0.8664259927797832,0.9662162162162161,0.02963198925951749,0.00907730945356261,0.7273515184757201,0.8444444444444443,0.6714239710773681,0.8030303030303032,310
2011-10-20,0.053806050125628446,0.16521851002379462,0.004020704585800061,0.14423216334857747,0.0,0.6681812043594044,0.6560164328833313,0.3438738510835653,315,0.24755697325802872,0.2836374843030943,0.13042955573282777,0.9124687495091592,0.4316779915440064,0.18827706435155367,0.03751574869414781,0.028143347962771792,0.568006741293333,0.5695201111641915,0.39821980995136996,0.015458621435433306,0.13277989584183314,0.1289132941843365,0.21112183559670783,0.09750037644882859,0.43962470423134903,0.46992925121498086,0.015875035458118525,0.4391257449238868,0.21813095105988123,0.9323308270676691,0.7361851443539495,0.7915635111186177,0.07995225756741048,0.9307692307692306,0.05335988558344579,0.20674516064657777,0.8736462093862815,0.9729729729729729,0.06076053461711728,0.01315603168133278,0.6942043816385798,0.8518518518518516,0.7439809660159075,0.8106060606060608,310
2011-10-27,0.05315446173932614,0.16740804870061954,0.011057431712705679,0.14318937425594358,0.0014153949803255017,0.6666790268564269,0.6545830336332772,0.34851167889366774,315,0.22849878665566692,0.2788557874503844,0.1203294663035347,0.903652445879936,0.44061902675102466,0.18725453063298758,0.03841048472864439,0.01451420888416094,0.5750460164132727,0.5695223477356862,0.4105783612684416,0.017192066034185105,0.12387416639419468,0.11406287706785312,0.22830162530864195,0.11023713156596793,0.43361949034881975,0.4703347447159669,0.015880674844721554,0.4373943961139126,0.2148087869076064,0.981203007518797,0.7399756292230764,0.825223017339126,0.09350721885577634,0.973076923076923,0.06034516352148961,0.2111355018958292,0.9566787003610108,0.9594594594594595,0.09121080310204233,0.02731201487882834,0.6857989649568511,0.9370370370370369,0.8196378611713665,0.8977272727272729,310
2011-11-03,0.05260011497209249,0.16881792935878215,0.01958525308282688,0.14256527996562873,0.0036660017513474585,0.6645436561631399,0.6525512690652111,0.35264356185175805,310,0.21201674974593399,0.2729135340905261,0.11471685670556242,0.8613571392868598,0.45293935560650095,0.19273022932784478,0.04510133430013469,0.0041456883555436586,0.5919814347525616,0.5695975901618316,0.41271521070843176,0.026608683677358025,0.11980501374603669,0.1010121331641638,0.24485596707818924,0.11960542540073982,0.4260904850140952,0.4701658168995131,0.015399982973917758,0.43365787293957325,0.2097768611807882,0.981203007518797,0.7466039401647502,0.8442937657319707,0.10501732666931812,0.973076923076923,0.06125874777973239,0.17481540610656565,0.9602888086642597,0.918918918918919,0.11177249133096046,0.04930258426640194,0.711675287048772,0.948148148148148,0.8818510484454086,0.9090909090909094,310
2011-11-10,0.05225731690810864,0.16812798560368902,0.0282403842984289,0.14130801780636526,0.00595319838638364,0.6618290597384127,0.6494537702289702,0.3564381482418417,310,0.19922258233442447,0.2677455196154087,0.11394596269807422,0.7860313418542217,0.4709629366527937,0.20208013661953705,0.05516896789444342,0.0,0.6174559742536683,0.5697587377386901,0.40157922973334786,0.046853508033805724,0.12094626857090662,0.09217624362582888,0.2574961351851853,0.12247727903822436,0.42075779163418714,0.47049585809079364,0.014020843317833709,0.4311875553419444,0.20162565286671474,1.0,0.7579488428769385,0.8445232574327606,0.11040646069014098,0.9999999999999998,0.0592948215536549,0.15366194372380781,0.967509025270758,0.9391891891891891,0.11593875101505913,0.07556383855861709,0.7637230832021601,0.9518518518518517,0.9178326898047723,0.9090909090909094,310
2011-11-17,0.052077061598608476,0.16572275810968762,0.036303572077349244,0.13956436194499267,0.008275079736501212,0.6587176712005969,0.6457488634738173,0.359811113921916,310,0.1902039938740021,0.2649532781505194,0.11770477228478926,0.6971204071880488,0.49192720983749666,0.21166347079188208,0.06532542522940193,0.00123419185535234,0.6477503941446092,0.569933235393463,0.3830069412126479,0.07473985132358885,0.12708960856771845,0.08779200953125943,0.26625061378600823,0.12020623612823678,0.4213415124066662,0.4704839388974653,0.012687089278653474,0.43325482326210185,0.1923174731913806,0.9774436090225564,0.7708274585476431,0.8334922785305676,0.11304825361317378,0.9769230769230766,0.05928790961862512,0.20794252644182776,0.938628158844765,0.9864864864864865,0.10801655361976847,0.10253187585096546,0.8294195174445119,0.9185185185185185,0.9298180318148951,0.8787878787878789,310
2011-11-24,0.05196951413665407,0.16241296015322604,0.043216700682579656,0.13778074350780534,0.010828921566647942,0.655391924168045,0.642126299157173,0.3631840796019903,310,0.18479269055099046,0.26605502899598876,0.12568127346942715,0.6188189009113907,0.5117979853239247,0.21783944799108612,0.0722827451642794,0.006054020232185542,0.6785549008294185,0.5700271540584774,0.36457892963329075,0.10549809619051653,0.13802670983132814,0.0875516389959421,0.2719771893004116,0.11526622071516646,0.43156175033539723,0.4688105529906976,0.01268154317621617,0.44313104924462543,0.18465759110333158,0.9360902255639099,0.7807914972373744,0.821739936885991,0.11817877686168726,0.9423076923076921,0.06607253711208239,0.23887447615246482,0.8808664259927798,0.9932432432432433,0.09501632545550354,0.1266427951675465,0.8962417546587557,0.8481481481481479,0.9237980911062907,0.8106060606060608,310
