Date,IndHPI_SAAR.USA_lag96,ConstSpendRes.USA_lag96,IndGlobalQc_lag96,IndGlobalCAN_lag94,price_trend_sma96,HsSglSAAR.QC_lag95,NewForSaleAct.USA_lag95,NewForSaleSAAR.USA_lag95,Price,BdgPmtSglSAAR.USA_lag96,BdgPmtTotSAAR.USA_lag94,IndHPI_Act.USA_lag95,ConstSpendNonRes.USA_lag96,IndNAHB.USA_lag95,Taxes_exp_lag96,ExistForSaleInv.USA_lag95,ExistMthSply.USA_lag95,NewSoldSAAR.USA_lag95,US_PPI_Lumber_lag95,STH_LBR_INV_lag96,NewMthSply.USA_lag95,ExistSoldPrice.USA_lag90,BdgPmtMltSAAR.USA_lag96,InventaireSciageRes.AB_lag96,InventaireSciageRes.ON_lag96,CDN.AVG.OVER.10.AVG_lag95,ExistSoldSAAR.USA_lag95,HsTotAct.USA_lag96,BD.CDN.LONG.DQ.YLD_lag95,BD.CDN.10YR.DQ.YLD_lag96,HsSglSAAR.USA_lag95,ValeurExport.PaysExport_lag96,HsTotSAAR.USA_lag96,TauxUSD_CAD_lag96,Dollar.US.dollar.CDN_lag96,HsMltSAAR.USA_lag96,HsMltAct.USA_lag96,BD.CDN.2YR.DQ.YLD_lag96,HsTotSAAR.STH_lag96,BD.CDN.5YR.DQ.YLD_lag96,HsSglSAAR.CAN_lag96,ValeurExport.USA_lag96,HsSglSAAR.AB_lag96,NewSoldAct.USA_lag96,NewSoldMedPrice.USA_lag95,y
2011-09-22,0.17845519166070734,0.05455780340951166,0.017568368728329453,0.000520233543184645,0.22947619564038613,0.7829081224401493,0.6635689879511248,0.6781714631971989,345,0.25731178194336823,0.15479744220787928,0.1627818714692193,0.32375840120345956,0.06236532799322286,0.5696154896688947,0.6127030788545742,0.39055207859350055,0.23977600025290602,0.010228029750841694,0.6484029067772319,0.7112431734046016,0.1010121331641638,0.04450082919377679,0.09258146384151766,0.34414395989359226,0.8759398496240602,0.6125130107905938,0.0639406381922975,0.8730769230769229,0.8772563176895304,0.19533175864197538,0.050241653308705614,0.08524792527743519,0.22296107530238718,0.7005917069024084,0.04071339153846154,0.028989180391208458,0.5555555555555556,0.11338108056220186,0.7835820895522387,0.6463977965172187,0.016657226576665518,0.850775412952777,0.10827505726192954,0.15780041283432134,335
2011-09-29,0.17079342722410873,0.05482737637398738,0.010108245679231409,0.0,0.2270361132198242,0.8468671490935624,0.659883305796281,0.6740014141550854,340,0.2716525425645314,0.15134901834448167,0.15297990189217847,0.3067064038333749,0.05558172607277573,0.5696162247900682,0.5866824923467506,0.4095514494196156,0.22865591227885806,0.016129398390770877,0.5659273687350925,0.7245409451637841,0.09217624362582888,0.05039753111472295,0.09382359320599698,0.30225017220876627,0.8909774436090225,0.528317197086819,0.04668947084648867,0.892307692307692,0.8122743682310468,0.1913580246913581,0.05845867919368136,0.07998943662145497,0.21868920520340307,0.7057703429729436,0.041818644149184125,0.026972461899015227,0.4619883040935672,0.1177559598285709,0.6977611940298507,0.6740535852638248,0.02069274410103511,0.8385261062171127,0.10169052267706302,0.15916345603239157,340
2011-10-06,0.16548582015444024,0.05478041248557308,0.0036660017513474585,0.004020704585800061,0.2240537902613602,0.8921067508905558,0.6575502597736949,0.6712540346701832,340,0.2816467671814228,0.14199789796630402,0.14704516558849656,0.2879309017015639,0.048025197641391404,0.5695975901618316,0.571630077566502,0.42252066187574894,0.22199583318197735,0.016680386635997024,0.4975164241892962,0.7320883085480523,0.08779200953125943,0.049529461503296734,0.09508330150174982,0.2653861682726848,0.9398496240601504,0.47639677907552014,0.03620709811289374,0.9384615384615382,0.823104693140794,0.19743462592592598,0.057622636024127705,0.07891491985203447,0.21183703180056046,0.7141470847920401,0.04428904428904429,0.025380791112083106,0.4736842105263159,0.12455456721588454,0.708955223880597,0.7093215072643564,0.021597457938624498,0.8120605999454503,0.09920780499918369,0.15370914262388258,335
2011-10-13,0.16399565371337754,0.05439974548851678,0.0004175990175543376,0.011057431712705679,0.22080034703394436,0.9124687495091592,0.6560164328833313,0.6695100858511396,335,0.2852405144314095,0.13042955573282777,0.14423216334857747,0.2678235857056168,0.041361929032885325,0.5695566140915169,0.568006741293333,0.4316779915440064,0.21813095105988123,0.015458621435433306,0.4573484838650863,0.7361851443539495,0.0875516389959421,0.04111960043015728,0.09399539018192682,0.2364047510096764,0.9323308270676691,0.4514722974172969,0.036283326968286345,0.9307692307692306,0.8664259927797832,0.21112183559670783,0.04474811059527112,0.0856435193588162,0.20302806992869105,0.7249922273579612,0.050125095501165506,0.02577983782272078,0.5321637426900585,0.13614665674333215,0.7574626865671641,0.7505260677063621,0.01766148373640153,0.7712877873005758,0.09790918620881062,0.14381975550672244,330
2011-10-20,0.16521851002379462,0.053806050125628446,0.0,0.01958525308282688,0.2178180240754799,0.903652445879936,0.6545830336332772,0.6681812043594044,335,0.2836374843030943,0.1203294663035347,0.14318937425594358,0.24755697325802872,0.03751574869414781,0.5695201111641915,0.5750460164132727,0.44061902675102466,0.2148087869076064,0.017192066034185105,0.44060550943287424,0.7399756292230764,0.09114733922175766,0.028143347962771792,0.08939609971467988,0.2155261826526612,0.981203007518797,0.44279714278311455,0.04367009805519406,0.973076923076923,0.8736462093862815,0.22830162530864195,0.025573370808002316,0.09750037644882859,0.1943548291145718,0.7357116281467633,0.05703401678321676,0.027080981859292697,0.567251461988304,0.14851067306838195,0.7686567164179104,0.7915635111186177,0.01203361385664986,0.7273515184757201,0.09735577186402966,0.13277989584183314,330
2011-10-27,0.16740804870061954,0.05315446173932614,0.0014153949803255017,0.0282403842984289,0.2153779416549182,0.8613571392868598,0.6525512690652111,0.6666790268564269,340,0.2788557874503844,0.11471685670556242,0.14256527996562873,0.22849878665566692,0.03841048472864439,0.5695223477356862,0.5919814347525616,0.45293935560650095,0.2097768611807882,0.026608683677358025,0.4377203151660307,0.7466039401647502,0.09827131649698151,0.01451420888416094,0.08042203055106367,0.20231258980218225,0.981203007518797,0.43962470423134903,0.05335988558344579,0.973076923076923,0.9566787003610108,0.24485596707818924,0.008017604514332588,0.11023713156596793,0.18827706435155367,0.7432450388857563,0.06164970582750584,0.027532030534565627,0.631578947368421,0.1560272331515422,0.8432835820895522,0.825223017339126,0.00907730945356261,0.6942043816385798,0.09772837433028303,0.12387416639419468,335
2011-11-03,0.16881792935878215,0.05260011497209249,0.0036660017513474585,0.036303572077349244,0.2127751870729857,0.7860313418542217,0.6494537702289702,0.6645436561631399,335,0.2729135340905261,0.11394596269807422,0.14130801780636526,0.21201674974593399,0.04510133430013469,0.5695975901618316,0.6174559742536683,0.4709629366527937,0.20162565286671474,0.046853508033805724,0.4391257449238868,0.7579488428769385,0.108429176829554,0.0041456883555436586,0.06620978314213355,0.1963260990587823,1.0,0.43361949034881975,0.06034516352148961,0.9999999999999998,0.9602888086642597,0.2574961351851853,0.0,0.11960542540073982,0.18725453063298758,0.744532211302249,0.06060606060606061,0.025380791112083106,0.6783625730994152,0.15307695442869462,0.8544776119402985,0.8442937657319707,0.01315603168133278,0.6857989649568511,0.09920780499918369,0.11980501374603669,335
2011-11-10,0.16812798560368902,0.05225731690810864,0.00595319838638364,0.043216700682579656,0.20979286411452125,0.6971204071880488,0.6457488634738173,0.6618290597384127,330,0.2677455196154087,0.11770477228478926,0.13956436194499267,0.19922258233442447,0.05516896789444342,0.5697587377386901,0.6477503941446092,0.49192720983749666,0.1923174731913806,0.07473985132358885,0.4373943961139126,0.7708274585476431,0.12038011505641388,0.0,0.0468379729745807,0.19682531486777932,0.9774436090225564,0.4260904850140952,0.06125874777973239,0.9769230769230766,0.967509025270758,0.26625061378600823,0.00730250771306612,0.12247727903822436,0.19273022932784478,0.7377746817760875,0.051715504895104875,0.019567116255884115,0.6257309941520466,0.13624633083999937,0.8470149253731344,0.8445232574327606,0.02731201487882834,0.711675287048772,0.10231654988068306,0.12094626857090662,335
2011-11-17,0.16572275810968762,0.052077061598608476,0.008275079736501212,0.048421641667097504,0.20653942088710542,0.6188189009113907,0.642126299157173,0.6587176712005969,330,0.2649532781505194,0.12568127346942715,0.13778074350780534,0.1902039938740021,0.06532542522940193,0.569933235393463,0.6785549008294185,0.5117979853239247,0.18465759110333158,0.10549809619051653,0.43365787293957325,0.7807914972373744,0.13269672299334845,0.00123419185535234,0.026153277281723453,0.2018547530535918,0.9360902255639099,0.42075779163418714,0.0592948215536549,0.9423076923076921,0.938628158844765,0.2719771893004116,0.027158128702656215,0.12020623612823678,0.20208013661953705,0.7262211311081543,0.03750456696969698,0.01179903993665024,0.5906432748538011,0.11094536400653832,0.8246268656716417,0.8334922785305676,0.04930258426640194,0.7637230832021601,0.1089437888323983,0.12708960856771845,335
2011-11-24,0.16241296015322604,0.05196951413665407,0.010828921566647942,0.05136028564889905,0.2035570979286414,0.5753213886472979,0.6392758261700495,0.655391924168045,335,0.26605502899598876,0.13756345425570693,0.13640359619260956,0.18479269055099046,0.0722827451642794,0.5700271540584774,0.7055596991224469,0.5265410733838634,0.18145127555111285,0.13435862527839681,0.4311875553419444,0.7833926690066426,0.14395159428335513,0.006054020232185542,0.00894438879082693,0.20915540702282764,0.9097744360902256,0.4213415124066662,0.05928790961862512,0.9153846153846152,0.8808664259927798,0.27553364835390937,0.054662625746492666,0.11526622071516646,0.21166347079188208,0.7143820305627537,0.021678300722610705,0.004476641427112016,0.5087719298245614,0.08478993347979158,0.753731343283582,0.821739936885991,0.07556383855861709,0.8294195174445119,0.12132037608682789,0.13802670983132814,340
