Date,IndGlobalCAN_lag96,NewForSaleSAAR.USA_lag95,NewForSaleAct.USA_lag96,Price,IndGlobalQc_lag96,price_trend_sma96,HsSglSAAR.QC_lag95,ConstSpendNonRes.USA_lag96,ExistForSaleInv.USA_lag96,HsSglSAAR.CAN_lag96,CDN.AVG.OVER.10.AVG_lag95,InventaireSciageRes.CAN_lag96,ExistMthSply.USA_lag96,STH_LBR_INV_lag95,BdgPmtTotSAAR.USA_lag95,NewMthSply.USA_lag96,BD.CDN.LONG.DQ.YLD_lag95,NewSoldSAAR.USA_lag96,BdgPmtMltSAAR.USA_lag96,WST_LBR_SHPMT_lag96,BD.CDN.10YR.DQ.YLD_lag96,Dollar.US.dollar.CDN_lag96,US_PPI_Lumber_lag95,BdgPmtTotAct.USA_lag96,IndNAHB.USA_lag95,Taxes_exp_lag95,CDN.AVG.5YTO10Y.AVG_lag96,ValeurExport.PaysExport_lag95,HsSglAct.USA_lag96,NewSoldAct.USA_lag96,ExistSoldSAAR.USA_lag96,InventaireSciageRes.CB_lag94,TotShip.ON_lag96,IndNAR_HAI.USA_lag96,NewSoldMedPrice.USA_lag96,BD.CDN.7YR.DQ.YLD_lag96,InventaireSciageRes.AB_lag96,Us_Lbr_Imp_C_lag96,ValeurExport.USA_lag96,HsTotSAAR.USA_lag93,BD.CDN.RRB.DQ.YLD_lag96,US_Lbr_Imp_Tot_lag95,HsSglSAAR.CB_lag94,HsTotAct.USA_lag96,ValeurExport.CHN_lag96,y
2011-09-22,0.014712113343370525,0.6781714631971989,0.668579212806288,226,0.017568368728329453,0.37906366023725435,0.7829081224401493,0.033936194495720086,0.6443214283778278,0.6463977965172187,0.8759398496240602,0.03534126430028284,0.3688135238171954,0.5659273687350925,0.003356644131833492,0.6932722967734848,0.8730769230769229,0.2546702400567792,0.04450082919377679,0.006829472485031629,1.1399176953433101,1.4273648831480708,0.010228029750841694,0.1407290666533842,0.06236532799322286,0.5696162247900682,0.8333333333333333,0.05845867919368136,0.107631362344011,0.10827505726192954,0.3615452994522566,0.017409180389382772,0.016609786374253643,0.436372716009644,0.15084700639183524,1.211009174165272,0.09258146384151766,0.042040173916949475,0.016657226576665518,0.0856435193588162,1.0000000000000002,0.05075281032631329,0.6185104844540853,0.0639406381922975,0.11331097794222675,214
2011-09-29,0.006284942566406215,0.6740014141550854,0.6635689879511248,228,0.010108245679231409,0.3800597663678349,0.8468671490935624,0.02885150892837868,0.6127030788545742,0.6740535852638248,0.8909774436090225,0.033040308069752555,0.39055207859350055,0.4975164241892962,0.003709294717613526,0.7112431734046016,0.892307692307692,0.23977600025290602,0.05039753111472295,0.0,1.2311111109595478,1.4168914999261266,0.016129398390770877,0.16112661045837573,0.05558172607277573,0.5695975901618316,0.7518518518518518,0.057622636024127705,0.08435088160888499,0.10169052267706302,0.2297978466742816,0.0161341695420667,0.0030879063690355535,0.4503527086836723,0.15780041283432134,1.3333333331555552,0.09382359320599698,0.0333440763060161,0.02069274410103511,0.09750037644882859,0.9459459459459459,0.04292682307721207,0.6714239710773681,0.04668947084648867,0.12433316163480937,211
2011-10-06,0.000520233543184645,0.6712540346701832,0.659883305796281,219,0.0036660017513474585,0.3797881010594948,0.8921067508905558,0.023870682257106295,0.5866824923467506,0.7093215072643564,0.9398496240601504,0.028821155881013194,0.4095514494196156,0.4573484838650863,0.0034668801259863996,0.7245409451637841,0.9384615384615382,0.22865591227885806,0.049529461503296734,0.0070354705373428805,1.2149122805541535,1.4002717663563287,0.016680386635997024,0.16949613446697276,0.048025197641391404,0.5695566140915169,0.7999999999999998,0.04474811059527112,0.07046201109670497,0.09920780499918369,0.14746339982243287,0.015875035458118525,0.0012992206790826133,0.46118714019271856,0.15916345603239157,1.3199999998257597,0.09508330150174982,0.024555422163371254,0.021597457938624498,0.11023713156596793,0.918918918918919,0.031792619293881,0.7439809660159075,0.03620709811289374,0.11909571034101282,204
2011-10-13,0.0,0.6695100858511396,0.6575502597736949,214,0.0004175990175543376,0.37915421534003424,0.9124687495091592,0.019210844675760924,0.571630077566502,0.7505260677063621,0.9323308270676691,0.0216950285968327,0.42252066187574894,0.44060550943287424,0.002863160845659954,0.7320883085480523,0.9307692307692306,0.22199583318197735,0.04111960043015728,0.02963198925951749,1.154166666533457,1.379325132224242,0.015458621435433306,0.1596168986172431,0.041361929032885325,0.5695201111641915,0.8444444444444443,0.025573370808002316,0.0702910020232334,0.09790918620881062,0.10812010272514198,0.015880674844721554,0.013392542523608275,0.4673973721277851,0.15370914262388258,1.2452830187128512,0.09399539018192682,0.014733410451059581,0.01766148373640153,0.11960542540073982,1.0000000000000002,0.019819471136277245,0.8196378611713665,0.036283326968286345,0.09421473747851897,215
2011-10-20,0.004020704585800061,0.6681812043594044,0.6560164328833313,214,0.0,0.37870143982613436,0.903652445879936,0.015171394189715755,0.568006741293333,0.7915635111186177,0.981203007518797,0.01316128704025532,0.4316779915440064,0.4377203151660307,0.0022188505169849536,0.7361851443539495,0.973076923076923,0.21813095105988123,0.028143347962771792,0.06076053461711728,1.1446280990425366,1.3592282106279179,0.017192066034185105,0.13665233843002006,0.03751574869414781,0.5695223477356862,0.8518518518518516,0.008017604514332588,0.07995225756741048,0.09735577186402966,0.09202235021302234,0.015399982973917758,0.03397853974800108,0.46992925121498086,0.14381975550672244,1.233644859660896,0.08939609971467988,0.005707567052685825,0.01203361385664986,0.12247727903822436,0.9324324324324323,0.010505266762307341,0.8818510484454086,0.04367009805519406,0.05842387236085844,215
2011-10-27,0.011057431712705679,0.6666790268564269,0.6545830336332772,211,0.0014153949803255017,0.37870143982613436,0.8613571392868598,0.011930309071696229,0.5750460164132727,0.825223017339126,0.981203007518797,0.005341325856074164,0.44061902675102466,0.4391257449238868,0.0017422720573718813,0.7399756292230764,0.973076923076923,0.2148087869076064,0.01451420888416094,0.09121080310204233,1.045283018758663,1.3454512947232253,0.026608683677358025,0.10861193312639361,0.03841048472864439,0.5695975901618316,0.9370370370370369,0.0,0.09350721885577634,0.09772837433028303,0.08681893010352859,0.014020843317833709,0.055783344972661186,0.4703347447159669,0.13277989584183314,1.1139240505088284,0.08042203055106367,0.0,0.00907730945356261,0.12020623612823678,0.9594594594594595,0.007347894567071189,0.9178326898047723,0.05335988558344579,0.02348612335308184,220
2011-11-03,0.01958525308282688,0.6645436561631399,0.6525512690652111,204,0.0036660017513474585,0.3780675541066738,0.7860313418542217,0.009530386580180808,0.5919814347525616,0.8442937657319707,1.0,0.0003565413884585311,0.45293935560650095,0.4373943961139126,0.0015096689257867444,0.7466039401647502,0.9999999999999998,0.2097768611807882,0.0041456883555436586,0.11177249133096046,1.041353383350205,1.3431252331132912,0.046853508033805724,0.08350516212288817,0.04510133430013469,0.5697587377386901,0.948148148148148,0.00730250771306612,0.10501732666931812,0.09920780499918369,0.0849662140826347,0.012687089278653474,0.07153309007234332,0.4701658168995131,0.12387416639419468,1.0999999998789995,0.06620978314213355,0.0001328170676718754,0.01315603168133278,0.11526622071516646,0.9391891891891891,0.01305976480621418,0.9298180318148951,0.06034516352148961,0.0011644986651242473,214
2011-11-10,0.0282403842984289,0.6618290597384127,0.6494537702289702,215,0.00595319838638364,0.3783392194150139,0.6971204071880488,0.007907072037212675,0.6174559742536683,0.8445232574327606,0.9774436090225564,0.0,0.4709629366527937,0.43365787293957325,0.001479438192164987,0.7579488428769385,0.9769230769230766,0.20162565286671474,0.0,0.11593875101505913,1.0335820894454097,1.3554273744622134,0.07473985132358885,0.06813413588561895,0.05516896789444342,0.569933235393463,0.9518518518518517,0.027158128702656215,0.11040646069014098,0.10231654988068306,0.08153167863078202,0.01268154317621617,0.07592141015372372,0.47049585809079364,0.11980501374603669,1.0999999998789995,0.0468379729745807,0.008089849243261504,0.02731201487882834,0.11013115696670772,0.9662162162162161,0.027211375889143907,0.9237980911062907,0.06125874777973239,0.0,212
2011-11-17,0.036303572077349244,0.6587176712005969,0.6457488634738173,215,0.008275079736501212,0.3783392194150139,0.6188189009113907,0.006881116264738687,0.6477503941446092,0.8334922785305676,0.9360902255639099,0.004751452375409748,0.49192720983749666,0.4311875553419444,0.0016307305765773006,0.7708274585476431,0.9423076923076921,0.1923174731913806,0.00123419185535234,0.10801655361976847,1.0653846152711113,1.3769910527615496,0.10549809619051653,0.0644714899585187,0.06532542522940193,0.5700271540584774,0.9185185185185185,0.054662625746492666,0.11304825361317378,0.1089437888323983,0.07735804903966795,0.015287026612790688,0.07151194902583852,0.4704839388974653,0.12094626857090662,1.1379310343532698,0.026153277281723453,0.023701820494429926,0.04930258426640194,0.10727496917385937,0.9729729729729729,0.04858774832300694,0.9057638872017354,0.0592948215536549,0.015645602102347583,218
2011-11-24,0.043216700682579656,0.655391924168045,0.642126299157173,220,0.010828921566647942,0.37824866431223403,0.5753213886472979,0.006310363345763609,0.6785549008294185,0.821739936885991,0.9097744360902256,0.014762322191733457,0.5117979853239247,0.43325482326210185,0.001985234060158819,0.7807914972373744,0.9153846153846152,0.18465759110333158,0.006054020232185542,0.09501632545550354,1.135245901510466,1.3998112453532319,0.13435862527839681,0.07328249064196007,0.0722827451642794,0.5699465820038244,0.8481481481481479,0.08491176205602385,0.11817877686168726,0.12132037608682789,0.07448974732065496,0.021786360473074584,0.06283585298399941,0.4688105529906976,0.12708960856771845,1.233644859660896,0.00894438879082693,0.046261178001728576,0.07556383855861709,0.10883744019728725,0.9594594594594595,0.07597390237775703,0.8817064352856109,0.05928790961862512,0.04053227320988487,221
