Date,IndGlobalCAN_lag95,NewForSaleSAAR.USA_lag96,IndGlobalQc_lag95,NewForSaleAct.USA_lag96,Price,price_trend_sma96,ConstSpendNonRes.USA_lag96,BdgPmtTotSAAR.USA_lag96,HsSglSAAR.QC_lag95,US_PPI_Lumber_lag96,ExistMthSply.USA_lag96,BdgPmtMltSAAR.USA_lag96,Dollar.US.dollar.CDN_lag96,InventaireSciageRes.AB_lag96,Taxes_exp_lag96,STH_LBR_INV_lag96,ExistSoldSAAR.USA_lag96,InventaireSciageRes.CB_lag96,HsTotSAAR.USA_lag96,InventaireSciageRes.QC_lag96,NewSoldSAAR.USA_lag95,NewMthSply.USA_lag96,IndNAHB.USA_lag96,HsSglAct.USA_lag95,InventaireSciageRes.CAN_lag96,HsTotSAAR.STH_lag96,HsSglSAAR.CAN_lag95,NewSoldMedPrice.USA_lag96,CDN.AVG.OVER.10.AVG_lag96,TotShip.ON_lag96,ExistForSaleInv.USA_lag96,ValeurExport.PaysExport_lag96,HsTotAct.USA_lag96,BdgPmtTotAct.USA_lag95,CDN.AVG.5YTO10Y.AVG_lag96,HsMltAct.USA_lag96,ValeurExport.CHN_lag96,BD.CDN.LONG.DQ.YLD_lag96,WST_LBR_SHPMT_lag96,NewSoldAct.USA_lag96,HsMltSAAR.USA_lag96,IndNAR_HAI.USA_lag96,ValeurExport.USA_lag96,HsSglSAAR.CB_lag96,BD.CDN.10YR.DQ.YLD_lag96,y
2011-09-22,0.006284942566406215,0.6835069265602765,0.010108245679231409,0.668579212806288,230,0.3608525754884546,0.033936194495720086,0.13780327640015366,0.7829081224401493,0.0,0.3688135238171954,0.04450082919377679,1.4273648831480708,0.09258146384151766,0.5696154896688947,0.6484029067772319,0.7123950719079042,0.023679218900050092,0.08524792527743519,0.3338403110564345,0.23977600025290602,0.6932722967734848,0.06774038586464193,0.08435088160888499,0.03534126430028284,0.11338108056220186,0.6740535852638248,0.15084700639183524,0.9172932330827068,0.016609786374253643,0.6443214283778278,0.050241653308705614,0.0639406381922975,0.16112661045837573,0.8333333333333333,0.028989180391208458,0.11331097794222675,0.9115384615384612,0.006829472485031629,0.10827505726192954,0.04071339153846154,2.291618983228864,0.016657226576665518,0.5983137305856833,0.8772563176895304,220
2011-09-29,0.000520233543184645,0.6781714631971989,0.0036660017513474585,0.6635689879511248,225,0.3607815275310835,0.02885150892837868,0.1497275667125959,0.8468671490935624,0.010228029750841694,0.39055207859350055,0.05039753111472295,1.4168914999261266,0.09382359320599698,0.5696162247900682,0.5659273687350925,0.6125130107905938,0.02015966903857236,0.07998943662145497,0.3355290255601009,0.22865591227885806,0.7112431734046016,0.06236532799322286,0.07046201109670497,0.033040308069752555,0.1177559598285709,0.7093215072643564,0.15780041283432134,0.8759398496240602,0.0030879063690355535,0.6127030788545742,0.05845867919368136,0.04668947084648867,0.16949613446697276,0.7518518518518518,0.026972461899015227,0.12433316163480937,0.8730769230769229,0.0,0.10169052267706302,0.041818644149184125,2.2204818145778087,0.02069274410103511,0.5968497723788865,0.8122743682310468,220
2011-10-06,0.0,0.6740014141550854,0.0004175990175543376,0.659883305796281,220,0.35992895204262876,0.023870682257106295,0.15479744220787928,0.8921067508905558,0.016129398390770877,0.4095514494196156,0.049529461503296734,1.4002717663563287,0.09508330150174982,0.5695975901618316,0.4975164241892962,0.528317197086819,0.017409180389382772,0.07891491985203447,0.3331618998336774,0.22199583318197735,0.7245409451637841,0.05558172607277573,0.0702910020232334,0.028821155881013194,0.12455456721588454,0.7505260677063621,0.15916345603239157,0.8909774436090225,0.0012992206790826133,0.5866824923467506,0.057622636024127705,0.03620709811289374,0.1596168986172431,0.7999999999999998,0.025380791112083106,0.11909571034101282,0.892307692307692,0.0070354705373428805,0.09920780499918369,0.04428904428904429,2.1683171811019997,0.021597457938624498,0.6185104844540853,0.823104693140794,215
2011-10-13,0.004020704585800061,0.6712540346701832,0.0,0.6575502597736949,220,0.3587921847246893,0.019210844675760924,0.15134901834448167,0.9124687495091592,0.016680386635997024,0.42252066187574894,0.04111960043015728,1.379325132224242,0.09399539018192682,0.5695566140915169,0.4573484838650863,0.47639677907552014,0.0161341695420667,0.0856435193588162,0.32554503550914027,0.21813095105988123,0.7320883085480523,0.048025197641391404,0.07995225756741048,0.0216950285968327,0.13614665674333215,0.7915635111186177,0.15370914262388258,0.9398496240601504,0.013392542523608275,0.571630077566502,0.04474811059527112,0.036283326968286345,0.13665233843002006,0.8444444444444443,0.02577983782272078,0.09421473747851897,0.9384615384615382,0.02963198925951749,0.09790918620881062,0.050125095501165506,2.1395071076964722,0.01766148373640153,0.6714239710773681,0.8664259927797832,220
2011-10-20,0.011057431712705679,0.6695100858511396,0.0014153949803255017,0.6560164328833313,220,0.35730017761989363,0.015171394189715755,0.14199789796630402,0.903652445879936,0.015458621435433306,0.4316779915440064,0.028143347962771792,1.3592282106279179,0.08939609971467988,0.5695201111641915,0.44060550943287424,0.4514722974172969,0.015875035458118525,0.09750037644882859,0.31604189339373345,0.2148087869076064,0.7361851443539495,0.041361929032885325,0.09350721885577634,0.01316128704025532,0.14851067306838195,0.825223017339126,0.14381975550672244,0.9323308270676691,0.03397853974800108,0.568006741293333,0.025573370808002316,0.04367009805519406,0.10861193312639361,0.8518518518518516,0.027080981859292697,0.05842387236085844,0.9307692307692306,0.06076053461711728,0.09735577186402966,0.05703401678321676,2.1279798974031667,0.01203361385664986,0.7439809660159075,0.8736462093862815,220
2011-10-27,0.01958525308282688,0.6681812043594044,0.0036660017513474585,0.6545830336332772,220,0.3554529307282417,0.011930309071696229,0.13042955573282777,0.8613571392868598,0.017192066034185105,0.44061902675102466,0.01451420888416094,1.3454512947232253,0.08042203055106367,0.5695223477356862,0.4377203151660307,0.44279714278311455,0.015880674844721554,0.11023713156596793,0.3091552756256253,0.2097768611807882,0.7399756292230764,0.03751574869414781,0.10501732666931812,0.005341325856074164,0.1560272331515422,0.8442937657319707,0.13277989584183314,0.981203007518797,0.055783344972661186,0.5750460164132727,0.008017604514332588,0.05335988558344579,0.08350516212288817,0.9370370370370369,0.027532030534565627,0.02348612335308184,0.973076923076923,0.09121080310204233,0.09772837433028303,0.06164970582750584,2.126145284867868,0.00907730945356261,0.8196378611713665,0.9566787003610108,220
2011-11-03,0.0282403842984289,0.6666790268564269,0.00595319838638364,0.6525512690652111,215,0.3529662522202486,0.009530386580180808,0.1203294663035347,0.7860313418542217,0.026608683677358025,0.45293935560650095,0.0041456883555436586,1.3431252331132912,0.06620978314213355,0.5695975901618316,0.4391257449238868,0.43962470423134903,0.015399982973917758,0.11960542540073982,0.30938798434298276,0.20162565286671474,0.7466039401647502,0.03841048472864439,0.11040646069014098,0.0003565413884585311,0.15307695442869462,0.8445232574327606,0.12387416639419468,0.981203007518797,0.07153309007234332,0.5919814347525616,0.0,0.06034516352148961,0.06813413588561895,0.948148148148148,0.025380791112083106,0.0011644986651242473,0.973076923076923,0.11177249133096046,0.09920780499918369,0.06060606060606061,2.126909196380467,0.01315603168133278,0.8818510484454086,0.9602888086642597,220
2011-11-10,0.036303572077349244,0.6645436561631399,0.008275079736501212,0.6494537702289702,220,0.3504795737122559,0.007907072037212675,0.11471685670556242,0.6971204071880488,0.046853508033805724,0.4709629366527937,0.0,1.3554273744622134,0.0468379729745807,0.5697587377386901,0.4373943961139126,0.43361949034881975,0.014020843317833709,0.12247727903822436,0.3201341282092791,0.1923174731913806,0.7579488428769385,0.04510133430013469,0.11304825361317378,0.0,0.13624633083999937,0.8334922785305676,0.11980501374603669,1.0,0.07592141015372372,0.6174559742536683,0.00730250771306612,0.06125874777973239,0.0644714899585187,0.9518518518518517,0.019567116255884115,0.0,0.9999999999999998,0.11593875101505913,0.10231654988068306,0.051715504895104875,2.1254172222584877,0.02731201487882834,0.9178326898047723,0.967509025270758,220
2011-11-17,0.043216700682579656,0.6618290597384127,0.010828921566647942,0.6457488634738173,220,0.3477087033747781,0.006881116264738687,0.11394596269807422,0.6188189009113907,0.07473985132358885,0.49192720983749666,0.00123419185535234,1.3769910527615496,0.026153277281723453,0.569933235393463,0.43365787293957325,0.4260904850140952,0.012687089278653474,0.12020623612823678,0.34035304916236875,0.18465759110333158,0.7708274585476431,0.05516896789444342,0.11817877686168726,0.004751452375409748,0.11094536400653832,0.821739936885991,0.12094626857090662,0.9774436090225564,0.07151194902583852,0.6477503941446092,0.027158128702656215,0.0592948215536549,0.07328249064196007,0.9185185185185185,0.01179903993665024,0.015645602102347583,0.9769230769230766,0.10801655361976847,0.1089437888323983,0.03750456696969698,2.125471067367057,0.04930258426640194,0.9298180318148951,0.938628158844765,220
2011-11-24,0.048421641667097504,0.6587176712005969,0.013811999641776929,0.642126299157173,220,0.34465364120781516,0.006310363345763609,0.11770477228478926,0.5753213886472979,0.10549809619051653,0.5117979853239247,0.006054020232185542,1.3998112453532319,0.00894438879082693,0.5700271540584774,0.4311875553419444,0.42075779163418714,0.01268154317621617,0.11526622071516646,0.36789539976436303,0.18145127555111285,0.7807914972373744,0.06532542522940193,0.13103410203172833,0.014762322191733457,0.08478993347979158,0.8198053405965879,0.12708960856771845,0.9360902255639099,0.06283585298399941,0.6785549008294185,0.054662625746492666,0.05928790961862512,0.0953324048226179,0.8481481481481479,0.004476641427112016,0.04053227320988487,0.9423076923076921,0.09501632545550354,0.12132037608682789,0.021678300722610705,2.1330577850847496,0.07556383855861709,0.9237980911062907,0.8808664259927798,225
