Date,Price,NewForSaleSAAR.USA_lag80,ConstSpendRes.USA_lag57,NewForSaleAct.USA_lag81,IndGlobalCAN_lag96,price_trend_sma96,IndGlobalQc_lag96,ConstSpendNonRes.USA_lag96,BdgPmtTotSAAR.USA_lag86,US_PPI_Lumber_lag96,CDN.AVG.OVER.10.AVG_lag96,BD.CDN.RRB.DQ.YLD_lag93,BD.CDN.LONG.DQ.YLD_lag96,InventaireSciageRes.CAN_lag96,CDN.AVG.5YTO10Y.AVG_lag96,BD.CDN.10YR.DQ.YLD_lag96,MnfdHomesSAAR.USA_lag96,ExistForSaleInv.USA_lag96,HsSglSAAR.QC_lag96,ExistMthSply.USA_lag96,BdgPmtMltSAAR.USA_lag84,ValeurExport.PaysExport_lag93,BdgPmtSglSAAR.USA_lag96,BD.CDN.5YR.DQ.YLD_lag96,IndNAHB.USA_lag96,CDN.AVG.3YTO5Y.AVG_lag96,Dollar.US.dollar.CDN_lag92,ValeurExport.CHN_lag74,HsSglSAAR.CAN_lag96,ExistSoldSAAR.USA_lag95,NewMthSply.USA_lag82,InventaireSciageRes.ON_lag95,STH_LBR_INV_lag96,BD.CDN.3YR.DQ.YLD_lag95,InventaireSciageRes.CB_lag96,Taxes_exp_lag96,BD.CDN.7YR.DQ.YLD_lag94,MnfdHomesAct.USA_lag96,VolumeExport.CHN_lag74,NewSoldMedPrice.USA_lag96,BdgPmtTotAct.USA_lag96,HsSglAct.USA_lag96,Exchange.Rate_lag96,US_Lbr_Exp_lag96,HsTotSAAR.STH_lag83,y
2009-11-19,228,0.895544055563456,0.31478283105836713,0.9002522059176972,0.005361449246113814,0.004509824975840182,0.005878562605670545,0.7734348495950574,0.5927206587097714,0.17056310305657307,0.888501742160279,0.7351778656126483,0.9127272727272726,0.9920452212217299,0.9511400651465797,0.9431438127090301,0.8414876167384858,0.8214672273051143,0.8966252830869967,0.7073982595149262,0.4244394363071634,0.22807500474413078,0.7001495952992925,0.9520766773162939,0.18440127238095239,0.9563862928348908,1.1497340797136337,0.06442680073954238,0.8301477271820442,0.36175666126812,0.8058366968301092,0.893395081592274,0.9786964199826391,0.9779179810725551,0.9662306770703744,0.18816679261396016,0.9736842105263158,0.7531553439710501,0.07301883428987542,0.31542345768877467,0.4334582639950665,0.42730488817834883,0.1662342845739373,0.2212719099489151,0.6081090395245853,241
2009-11-26,233,0.887273700672409,0.3004438451853797,0.8926304024147986,0.011788911061860752,0.008482766025984745,0.01270564301394117,0.7736921556979177,0.5929655443597489,0.16608617812825854,0.9512195121951221,0.7549407114624506,0.9709090909090907,0.9988507730003149,0.9999999999999999,1.0,0.8557158867033873,0.807144830359534,0.9236011891549318,0.6992040561067818,0.4140276364446426,0.23808833893695502,0.6764714998566966,0.9904153354632588,0.18808686619047615,0.9906542056074764,1.155113187124691,0.04870413269283072,0.8441437511659254,0.36302664221980674,0.8231122844752443,0.8754671332800898,0.9609993200837001,0.9337539432176656,0.9522710633262061,0.18816679261396016,0.9539473684210528,0.7538348428578778,0.05390201836069801,0.33973807259424893,0.42621203937418106,0.44812175984471575,0.11554579924166819,0.23294682154811652,0.5988343063981539,237
2009-12-03,232,0.8777933572736618,0.2862394677314912,0.8839393542170566,0.018207389264473406,0.012455707076129752,0.019255523273097985,0.774174534624473,0.580526802084392,0.16429269807639657,0.9337979094076656,0.7430830039525692,0.9563636363636363,0.9999157593203907,0.977198697068404,0.979933110367893,0.8575930104134685,0.793880019664673,0.9089435843534839,0.6894034443250259,0.42169439199717296,0.24545940684044487,0.6539731551867475,0.9648562300319488,0.19047619047619047,0.9595015576323987,1.165162711337373,0.03270371498851385,0.8429571937241206,0.36723490064139463,0.8340385870709581,0.8549858363092746,0.9484860887612081,0.8990536277602523,0.9265710108873737,0.18816679261396016,0.9572368421052632,0.7470546670682601,0.034879232942872165,0.3412241093930892,0.4216060306575843,0.4796625872701667,0.10955897026541628,0.24037076538307,0.5893831934823214,234
2009-12-10,231,0.867238826965055,0.27259275231791213,0.8743977078210685,0.023812869227772815,0.01610651777085792,0.02458853660718585,0.7758885210446893,0.5652204071343457,0.16510828638622477,0.9442508710801396,0.6798418972332017,0.9709090909090907,0.9971058972316902,0.9609120521172637,0.9732441471571907,0.8435343303385047,0.7841691454830567,0.8409242105196701,0.6802126273284246,0.46374342380225986,0.2535353587662812,0.6347487505254895,0.9424920127795526,0.19137119079365078,0.9345794392523364,1.1793516676200289,0.018197689663535146,0.8235305956092921,0.3726371672347317,0.8384234935027086,0.8380430240862062,0.9418922470536977,0.8958990536277601,0.8934830441149986,0.18816678914640747,0.9572368421052632,0.7372891868294247,0.017986050439646482,0.314569453671413,0.4220001058838111,0.5214613338508085,0.12532428656954697,0.24254389099729134,0.5807601723730914,227
2009-12-17,241,0.8557459116364456,0.2594114693807481,0.8642241094320895,0.02888534826320921,0.02050896596155871,0.028909169283622305,0.7785189498986544,0.5599253241325165,0.16737901394174037,0.9547038327526132,0.6482213438735178,0.9890909090909088,0.9925568073786919,0.9641693811074917,0.979933110367893,0.8190900317494741,0.7810710851129518,0.7418332344478085,0.6748425780951284,0.5491861078897603,0.26477464449596966,0.6201937381912798,0.9361022364217253,0.19124349317460315,0.9283489096573209,1.1949343869092905,0.007764698493834037,0.7913664368080148,0.3772656482685828,0.8370995700255421,0.8307466553535221,0.9385858644001734,0.9116719242902207,0.8579117215358067,0.18816678914640747,0.8980263157894738,0.730124594566196,0.005556682355323597,0.27266737623055226,0.4283803595903095,0.567556143030312,0.10676511674316491,0.24144915814122248,0.5722615955368581,225
2009-12-24,237,0.8435428622339303,0.24647456881512975,0.85363720496403,0.03397579452491506,0.024267153441425826,0.032707953005617796,0.781420231484709,0.5775205177018105,0.16968106010274875,0.9407665505226481,0.6205533596837945,0.9709090909090907,0.988471585856705,0.9641693811074917,0.9732441471571907,0.79209401021793,0.7877853476115605,0.6424654304064834,0.6767529620310158,0.6578644406973725,0.27808091027616466,0.611528885673078,0.9424920127795526,0.19073214428571428,0.9376947040498441,1.2083184438664725,0.004185008251250191,0.7541071826022646,0.37915255001171033,0.8308993853512785,0.839204689330997,0.9350931337809403,0.8517350157728705,0.8248996091415703,0.18816678914640747,0.8256578947368421,0.7314250386400569,0.0,0.23296249337361385,0.44138944276825054,0.6106112037142171,0.1295150668529239,0.23981522887594042,0.5627567862669373,231
2009-12-31,234,0.8312277282646994,0.23356099983538225,0.8428762598937847,0.03963520830874856,0.028454848061848725,0.03647541947638455,0.7839467761011965,0.625586558643629,0.17059060782786073,0.8954703832752613,0.5968379446640316,0.9236363636363636,0.9870533287610392,0.9055374592833875,0.919732441471572,0.7703801618968446,0.8075114429448466,0.5736155726642798,0.6894034443250259,0.7623280731320167,0.2914691010152598,0.6099749612598103,0.8881789137380192,0.19047619047619047,0.8847352024922117,1.2156071255382668,0.010238885680444954,0.7193952982740176,0.3769733157963928,0.8206555106485116,0.866872369133449,0.9279402707743367,0.7318611987381702,0.7994892743592015,0.18816679261396016,0.8092105263157895,0.7470546670682601,0.003724874659347885,0.21289941979964588,0.4616700064088054,0.6432907044808063,0.059070045899022094,0.24037076538307,0.5511150676350726,245
2010-01-07,227,0.8194910085841993,0.2204497126770395,0.8322630164934677,0.04635134034570498,0.03167615161602022,0.04073924371524651,0.7856543863373568,0.6905104398595784,0.16933558376482516,0.8815331010452963,0.5968379446640316,0.9199999999999999,0.9896908844401406,0.8371335504885994,0.8695652173913042,0.7597073010345151,0.8416565720183923,0.5582990512013946,0.7146008829825496,0.83512665664296,0.3029541626317558,0.6159237506691434,0.7891373801916933,0.19091533587301585,0.7881619937694703,1.2128577193794368,0.027352934382678294,0.6936765387087075,0.3719763347900782,0.8078669194431103,0.9065940751258519,0.9146925985996708,0.7287066246056783,0.7851199264212392,0.18816680301661828,0.7960526315789475,0.7804055913878885,0.018015194168845873,0.22458096146064221,0.4889703118427199,0.6603816508512581,0.07623228896427858,0.24503654395458163,0.5362057624914353,247
2010-01-14,225,0.8090232026319113,0.20701333998102034,0.822139835724145,0.05435903953251042,0.03360893374852347,0.0461757084457588,0.7869044335583899,0.7533807622118779,0.16775090371316148,0.8675958188153312,0.6047430830039526,0.9018181818181819,0.9945161088218653,0.8241042345276873,0.8561872909698995,0.757533916004797,0.8844587049488216,0.5884137254308333,0.7475409097695875,0.8488098423179049,0.3105510400340461,0.6264511127335636,0.7827476038338659,0.19169191555555554,0.7819314641744547,1.1984809994183,0.051539105331247934,0.6786098183742119,0.3660532320142873,0.7966982204861688,0.9485614725224976,0.8970719252754007,0.7318611987381702,0.7788173439354344,0.18816681341927638,0.7960526315789475,0.8249817766990015,0.039654912514349674,0.2587426813000848,0.5194610614658864,0.6651623156274478,0.07563360606665315,0.2525017972032768,0.5173090937013088,263
2010-01-21,231,0.8002987219904407,0.19349924673300511,0.8128490791295713,0.0638299319857989,0.035326962310747945,0.0534982339676251,0.7882596806451252,0.795286125374668,0.16832322716152714,0.8432055749128922,0.6363636363636365,0.8690909090909091,0.9988466111620595,0.8078175895765473,0.8361204013377928,0.7592434140036436,0.9283635046098996,0.6480780721238042,0.7817663466653184,0.7865314675210595,0.31301695673112795,0.637803923914288,0.7763578274760383,0.19224892269841265,0.7757009345794391,1.178938299428128,0.07745568626772055,0.6746573413418654,0.361095633699982,0.7919804236576697,0.9829662258219725,0.8778392026178183,0.7287066246056783,0.776003947315167,0.1881668203543818,0.8486842105263158,0.8718151514493746,0.0643030002070971,0.30077833191034364,0.5484185681114897,0.6630337885541462,0.1520654559968071,0.26064787179202786,0.4953488819747026,263
