Date,price_trend_sma96,NewForSaleSAAR.USA_lag96,NewForSaleAct.USA_lag96,IndGlobalCAN_lag96,Price,IndGlobalQc_lag96,ConstSpendRes.USA_lag96,US_PPI_Lumber_lag96,ExistMthSply.USA_lag13,ConstSpendNonRes.USA_lag89,BdgPmtTotSAAR.USA_lag96,HsSglSAAR.QC_lag92,IndNAHB.USA_lag88,BD.CDN.RRB.DQ.YLD_lag95,ExistForSaleInv.USA_lag96,ValeurExport.PaysExport_lag95,CDN.AVG.OVER.10.AVG_lag96,NewMthSply.USA_lag93,ExistSoldSAAR.USA_lag96,InventaireSciageRes.ON_lag96,ValeurExport.CHN_lag96,HsSglSAAR.CAN_lag96,HsSglSAAR.USA_lag96,BD.CDN.10YR.DQ.YLD_lag92,BD.CDN.LONG.DQ.YLD_lag96,NewSoldMedPrice.USA_lag96,Taxes_exp_lag96,BdgPmtMltSAAR.USA_lag96,HsTotSAAR.STH_lag96,NewSoldSAAR.USA_lag93,BD.CDN.7YR.DQ.YLD_lag92,InventaireSciageRes.CB_lag96,CDN.AVG.5YTO10Y.AVG_lag90,InventaireSciageRes.QC_lag96,Dollar.US.dollar.CDN_lag96,BD.CDN.5YR.DQ.YLD_lag92,HsTotSAAR.USA_lag96,BD.CDN.3YR.DQ.YLD_lag87,ValeurExport.USA_lag96,InventaireSciageRes.AB_lag91,TotShip.ON_lag96,InventaireSciageRes.CAN_lag89,HsSglSAAR.CB_lag90,IndNAR_HAI.USA_lag96,VolumeExport.CHN_lag96,y
2009-11-19,0.0021875235724522213,0.9922893320598642,0.9903844676621254,0.005361449246113814,250,0.005878562605670545,0.5584832708754235,0.17056310305657307,0.5507070997251216,0.7856543863373568,0.6517715031946961,0.7418332344478085,0.19169191555555554,0.7351778656126483,0.8214672273051143,0.1884641129734319,0.888501742160279,0.7190241931488028,0.36427513177103155,0.9027423510930357,0.02181221441864125,0.8301477271820442,0.7485113082856829,0.979933110367893,0.9127272727272726,0.31542345768877467,0.18816679261396016,0.4789427139509379,0.7531376096256203,0.8353208658927921,0.9572368421052632,0.9662306770703744,0.9055374592833875,0.8701107773184724,1.1752478470352477,0.9361022364217253,0.7462006691108515,0.7318611987381702,0.1774715483325831,0.2603683954837561,0.5303478975688197,0.9896908844401406,0.7765564609309408,0.17486873517913826,0.016329240160572252,262
2009-11-26,0.004299615297578718,0.9849309326124205,0.9801327273816729,0.011788911061860752,249,0.01270564301394117,0.545017913855538,0.16608617812825854,0.5309589055952386,0.7869044335583899,0.6258596694857844,0.6424654304064834,0.19224892269841265,0.7193675889328064,0.807144830359534,0.21207225395029128,0.9512195121951221,0.7517067735366492,0.36175666126812,0.893395081592274,0.03576071212049632,0.8441437511659254,0.7242049271291662,0.9732441471571907,0.9709090909090907,0.33973807259424893,0.18816679261396016,0.4609181269503094,0.7716657909470109,0.7901483694161408,0.9572368421052632,0.9522710633262061,0.8371335504885994,0.8859534876253841,1.1627030447686113,0.9424920127795526,0.7480097975059506,0.7287066246056783,0.19915537546105588,0.27565736870315805,0.5312033392030678,0.9945161088218653,0.7542172452969975,0.18513162952899087,0.0288424692048274,254
2009-12-03,0.006411707022704993,0.9783930227733482,0.9701747073481979,0.018207389264473406,248,0.019255523273097985,0.5365006050962255,0.16429269807639657,0.5082589359947796,0.7882596806451252,0.6000940182018742,0.5736155726642798,0.19202935,0.7351778656126483,0.793880019664673,0.22807500474413078,0.9337979094076656,0.7804766318062442,0.36302664221980674,0.8754671332800898,0.04657589984565337,0.8429571937241206,0.7088600119621846,0.919732441471572,0.9563636363636363,0.3412241093930892,0.18816679261396016,0.4420495410689841,0.7755042019504229,0.7501124180067708,0.8980263157894738,0.9265710108873737,0.8241042345276873,0.9072273787317315,1.1534599525802012,0.8881789137380192,0.7365998252229563,0.8391167192429022,0.22060644422063724,0.2955342848679372,0.5237753948087764,0.9988466111620595,0.7246529230978894,0.18668830364742695,0.038889695590478834,253
2009-12-10,0.008750094289809107,0.972958528986855,0.9612709913190736,0.023812869227772815,258,0.02458853660718585,0.5348517294040271,0.16510828638622477,0.48235957852947137,0.7902828916412954,0.5767181144690642,0.5582990512013946,0.19047619047619047,0.7549407114624506,0.7841691454830567,0.23808833893695502,0.9442508710801396,0.798544546207917,0.36723490064139463,0.8549858363092746,0.05105481510322761,0.8235305956092921,0.7059196799979235,0.8695652173913042,0.9709090909090907,0.314569453671413,0.18816678914640747,0.42385780704067233,0.7580949770299256,0.7222082481283999,0.8256578947368421,0.8934830441149986,0.8078175895765473,0.9325837214472372,1.1491149014281832,0.7891373801916933,0.7109918939963552,0.832807570977918,0.23798885420437776,0.3179129898829527,0.5105148529649872,1.0,0.6938481173668469,0.17839840565441833,0.04340601293716914,248
2009-12-17,0.011163913404239167,0.968169198427228,0.9535047838662207,0.02888534826320921,262,0.028909169283622305,0.538079092184139,0.16737901394174037,0.45444189517668737,0.7935368298153622,0.5580564117506414,0.5884137254308333,0.18726393126984126,0.7430830039525692,0.7810710851129518,0.24545940684044487,0.9547038327526132,0.801298809548942,0.3726371672347317,0.8380430240862062,0.05061380336651497,0.7913664368080148,0.7106919720891105,0.8561872909698995,0.9890909090909088,0.27266737623055226,0.18816678914640747,0.40861847830045694,0.7258849918516389,0.7111543584682246,0.8092105263157895,0.8579117215358067,0.8110749185667753,0.9584916727756081,1.1497340797136337,0.7827476038338659,0.6777237506922159,0.8548895899053627,0.2521703054456089,0.339794418894781,0.49695715934397855,0.9952938831583955,0.6677874513434209,0.1638721595145598,0.04401958236150971,246
2009-12-24,0.01274798219808404,0.9633814835972814,0.9467899442553462,0.03397579452491506,254,0.032707953005617796,0.543212354927531,0.16968106010274875,0.42604411650671287,0.7982405178067715,0.5464535842576023,0.6480780721238042,0.18299303650793647,0.6798418972332017,0.7877853476115605,0.2535353587662812,0.9407665505226481,0.7928377652483716,0.3772656482685828,0.8307466553535221,0.04782403718478896,0.7541071826022646,0.7164511598556436,0.8361204013377928,0.9709090909090907,0.23296249337361385,0.18816678914640747,0.39879578377798186,0.6885723066795845,0.7125623001134614,0.7960526315789475,0.8248996091415703,0.8599348534201953,0.9808748616293936,1.155113187124691,0.7763578274760383,0.6452122928741694,0.864353312302839,0.265194397112282,0.35817950750830674,0.4894089253826287,0.9828857049196436,0.652455547957682,0.1479074286852342,0.04353183187267243,252
2009-12-31,0.014935505770536484,0.9579518375838645,0.9410403317521558,0.03963520830874856,253,0.03647541947638455,0.5472811791251719,0.17059060782786073,0.3987044728728943,0.8032380169017874,0.5442543064385587,0.7214105664049246,0.1784954649206349,0.6482213438735178,0.8075114429448466,0.26477464449596966,0.8954703832752613,0.7794372666143328,0.37915255001171033,0.839204689330997,0.045256689107323084,0.7193952982740176,0.7164715149174217,0.8394648829431437,0.9236363636363636,0.21289941979964588,0.18816679261396016,0.39685395204132623,0.6558549822209291,0.7197668874536093,0.7960526315789475,0.7994892743592015,0.8631921824104235,0.9956569169211451,1.165162711337373,0.779552715654952,0.6218744157645107,0.8170347003154573,0.27910472897262517,0.37006919064095056,0.4941767615236221,0.9642922496723503,0.6517999691530727,0.13530208109219122,0.04474418947982914,267
2010-01-07,0.01659500641170708,0.9514307870503027,0.9361449301097851,0.04635134034570498,248,0.04073924371524651,0.5479855968780514,0.16933558376482516,0.3739938002061976,0.807029646594756,0.5524959789137444,0.7925296858686974,0.1746031746031746,0.6205533596837945,0.8416565720183923,0.27808091027616466,0.8815331010452963,0.7673731681833396,0.3769733157963928,0.866872369133449,0.04497054344074955,0.6936765387087075,0.7058981002453197,0.8795986622073579,0.9199999999999999,0.22458096146064221,0.18816680301661828,0.40401737480423205,0.6351892589477383,0.7261029346084645,0.8486842105263158,0.7851199264212392,0.8827361563517916,1.0,1.1793516676200289,0.8370607028753994,0.6136778947081759,0.832807570977918,0.29513965929981045,0.3734764832753923,0.5152991136943219,0.9418701364733875,0.6616200319980803,0.12957592105598104,0.04976484486486128,273
2010-01-14,0.018103643358226007,0.9441451582221334,0.9318932192830207,0.05435903953251042,246,0.0461757084457588,0.5457071261312687,0.16775090371316148,0.35361335544643385,0.8081157271552888,0.566986907227497,0.8483049233102617,0.1718712496825397,0.5968379446640316,0.8844587049488216,0.2914691010152598,0.8675958188153312,0.7629213257202927,0.3719763347900782,0.9065940751258519,0.04697483233648633,0.6786098183742119,0.68735914440441,0.8929765886287626,0.9018181818181819,0.2587426813000848,0.18816681341927638,0.4165510938321424,0.6250640963916715,0.7249052554281242,0.8486842105263158,0.7788173439354344,0.8925081433224754,0.9960204077270229,1.1949343869092905,0.8338658146964856,0.6167940105561157,0.8201892744479495,0.3113165830880319,0.3704627185929543,0.5477417652869325,0.9179759858127667,0.6756779925745631,0.12913650629599305,0.05792903448597374,294
2010-01-21,0.019763143999396604,0.9366158514854053,0.928049802840047,0.0638299319857989,252,0.0534982339676251,0.5414976557803466,0.16832322716152714,0.3392970004602153,0.8055701342267758,0.5822281230957757,0.8866098422068396,0.16974727507936505,0.5968379446640316,0.9283635046098996,0.3029541626317558,0.8432055749128922,0.7704256973791859,0.3660532320142873,0.9485614725224976,0.05076639949947233,0.6746573413418654,0.6653536675010283,0.9130434782608696,0.8690909090909091,0.30077833191034364,0.1881668203543818,0.4294803131322512,0.6217266331845682,0.7114950309452893,0.8684210526315791,0.776003947315167,0.8436482084690554,0.9870729679584715,1.2083184438664725,0.8562300319488818,0.6249449207699193,0.8832807570977916,0.32484765353628886,0.36410131006937174,0.5842023349297886,0.8941437020099965,0.6877361067580597,0.13111333539478487,0.06787875647408098,294
