Date,IndGlobalCAN_lag95,NewForSaleAct.USA_lag96,NewForSaleSAAR.USA_lag94,Price,BdgPmtSglSAAR.USA_lag94,IndGlobalQc_lag95,price_trend_sma96,BdgPmtTotSAAR.USA_lag96,HsSglSAAR.QC_lag95,ConstSpendNonRes.USA_lag95,BdgPmtMltSAAR.USA_lag96,Taxes_exp_lag96,Dollar.US.dollar.CDN_lag96,CDN.AVG.OVER.10.AVG_lag96,HsSglAct.USA_lag96,CDN.AVG.5YTO10Y.AVG_lag96,STH_LBR_INV_lag96,ExistMthSply.USA_lag96,BD.CDN.10YR.DQ.YLD_lag96,NewSoldSAAR.USA_lag94,NewMthSply.USA_lag94,US_PPI_Lumber_lag93,InventaireSciageRes.AB_lag96,BD.CDN.LONG.DQ.YLD_lag96,ExistForSaleInv.USA_lag96,HsSglSAAR.CAN_lag96,BD.CDN.RRB.DQ.YLD_lag96,NewSoldMedPrice.USA_lag96,IndNAHB.USA_lag96,ExistSoldSAAR.USA_lag95,InventaireSciageRes.CB_lag95,HsTotSAAR.USA_lag96,HsTotAct.USA_lag96,InventaireSciageRes.CAN_lag96,HsSglSAAR.AB_lag94,ValeurExport.PaysExport_lag96,IndNAR_HAI.USA_lag95,BdgPmtTotAct.USA_lag94,BD.CDN.3YR.DQ.YLD_lag95,BD.CDN.7YR.DQ.YLD_lag94,BD.CDN.5YR.DQ.YLD_lag94,US_Lbr_Exp_lag96,BD.CDN.2YR.DQ.YLD_lag96,HsTotSAAR.STH_lag96,HsSglSAAR.USA_lag95,y
2011-09-22,0.006284942566406215,0.668579212806288,0.6740014141550854,231,0.2816467671814228,0.010108245679231409,0.2874083461573276,0.13780327640015366,0.7829081224401493,0.02885150892837868,0.04450082919377679,0.5696154896688947,1.4273648831480708,0.9172932330827068,0.107631362344011,0.8333333333333333,0.6484029067772319,0.3688135238171954,0.8772563176895304,0.22865591227885806,0.7245409451637841,0.016680386635997024,0.09258146384151766,0.9115384615384612,0.6443214283778278,0.6463977965172187,1.0000000000000002,0.15084700639183524,0.06774038586464193,0.2297978466742816,0.02015966903857236,0.08524792527743519,0.0639406381922975,0.03534126430028284,0.8120605999454503,0.050241653308705614,2.2204818145778087,0.16949613446697276,0.5585585585585586,0.7575757575757578,1.4105263155905154,0.1446899678275979,0.5555555555555556,0.11338108056220186,0.19533175864197538,239
2011-09-29,0.000520233543184645,0.6635689879511248,0.6712540346701832,238,0.2852405144314095,0.0036660017513474585,0.29166289490359376,0.1497275667125959,0.8468671490935624,0.023870682257106295,0.05039753111472295,0.5696162247900682,1.4168914999261266,0.8759398496240602,0.08435088160888499,0.7518518518518518,0.5659273687350925,0.39055207859350055,0.8122743682310468,0.22199583318197735,0.7320883085480523,0.015458621435433306,0.09382359320599698,0.8730769230769229,0.6127030788545742,0.6740535852638248,0.9459459459459459,0.15780041283432134,0.06236532799322286,0.14746339982243287,0.017409180389382772,0.07998943662145497,0.04668947084648867,0.033040308069752555,0.7712877873005758,0.05845867919368136,2.1683171811019997,0.1596168986172431,0.5675675675675677,0.8030303030303032,1.3201970441606834,0.12576635554511395,0.4619883040935672,0.1177559598285709,0.1913580246913581,231
2011-10-06,0.0,0.659883305796281,0.6695100858511396,240,0.2836374843030943,0.0004175990175543376,0.29618901059111047,0.15479744220787928,0.8921067508905558,0.019210844675760924,0.049529461503296734,0.5695975901618316,1.4002717663563287,0.8909774436090225,0.07046201109670497,0.7999999999999998,0.4975164241892962,0.4095514494196156,0.823104693140794,0.21813095105988123,0.7361851443539495,0.017192066034185105,0.09508330150174982,0.892307692307692,0.5866824923467506,0.7093215072643564,0.918918918918919,0.15916345603239157,0.05558172607277573,0.10812010272514198,0.0161341695420667,0.07891491985203447,0.03620709811289374,0.028821155881013194,0.7273515184757201,0.057622636024127705,2.1395071076964722,0.13665233843002006,0.6081081081081081,0.8106060606060608,1.3009708736171552,0.10441555708715933,0.4736842105263159,0.12455456721588454,0.19743462592592598,229
2011-10-13,0.004020704585800061,0.6575502597736949,0.6681812043594044,239,0.2788557874503844,0.0,0.3007151262786276,0.15134901834448167,0.9124687495091592,0.015171394189715755,0.04111960043015728,0.5695566140915169,1.379325132224242,0.9398496240601504,0.0702910020232334,0.8444444444444443,0.4573484838650863,0.42252066187574894,0.8664259927797832,0.2148087869076064,0.7399756292230764,0.026608683677358025,0.09399539018192682,0.9384615384615382,0.571630077566502,0.7505260677063621,1.0000000000000002,0.15370914262388258,0.048025197641391404,0.09202235021302234,0.015875035458118525,0.0856435193588162,0.036283326968286345,0.0216950285968327,0.6942043816385798,0.04474811059527112,2.1279798974031667,0.10861193312639361,0.6306306306306307,0.8977272727272729,1.1858407078239799,0.07964831177134257,0.5321637426900585,0.13614665674333215,0.21112183559670783,230
2011-10-20,0.011057431712705679,0.6560164328833313,0.6666790268564269,239,0.2729135340905261,0.0014153949803255017,0.3048791527111432,0.14199789796630402,0.903652445879936,0.011930309071696229,0.028143347962771792,0.5695201111641915,1.3592282106279179,0.9323308270676691,0.07995225756741048,0.8518518518518516,0.44060550943287424,0.4316779915440064,0.8736462093862815,0.2097768611807882,0.7466039401647502,0.046853508033805724,0.08939609971467988,0.9307692307692306,0.568006741293333,0.7915635111186177,0.9324324324324323,0.14381975550672244,0.041361929032885325,0.08681893010352859,0.015880674844721554,0.09750037644882859,0.04367009805519406,0.01316128704025532,0.6857989649568511,0.025573370808002316,2.126145284867868,0.08350516212288817,0.6801801801801803,0.9090909090909094,1.1703056767189337,0.05384625741112503,0.567251461988304,0.14851067306838195,0.22830162530864195,220
2011-10-27,0.01958525308282688,0.6545830336332772,0.6645436561631399,231,0.2677455196154087,0.0036660017513474585,0.308590567574907,0.13042955573282777,0.8613571392868598,0.009530386580180808,0.01451420888416094,0.5695223477356862,1.3454512947232253,0.981203007518797,0.09350721885577634,0.9370370370370369,0.4377203151660307,0.44061902675102466,0.9566787003610108,0.20162565286671474,0.7579488428769385,0.07473985132358885,0.08042203055106367,0.973076923076923,0.5750460164132727,0.825223017339126,0.9594594594594595,0.13277989584183314,0.03751574869414781,0.0849662140826347,0.015399982973917758,0.11023713156596793,0.05335988558344579,0.005341325856074164,0.711675287048772,0.008017604514332588,2.126909196380467,0.06813413588561895,0.7162162162162162,0.9090909090909094,1.18061673994872,0.030233756674882706,0.631578947368421,0.1560272331515422,0.24485596707818924,225
2011-11-03,0.0282403842984289,0.6525512690652111,0.6618290597384127,229,0.2649532781505194,0.00595319838638364,0.3118493708699195,0.1203294663035347,0.7860313418542217,0.007907072037212675,0.0041456883555436586,0.5695975901618316,1.3431252331132912,0.981203007518797,0.10501732666931812,0.948148148148148,0.4391257449238868,0.45293935560650095,0.9602888086642597,0.1923174731913806,0.7708274585476431,0.10549809619051653,0.06620978314213355,0.973076923076923,0.5919814347525616,0.8442937657319707,0.9391891891891891,0.12387416639419468,0.03841048472864439,0.08153167863078202,0.014020843317833709,0.11960542540073982,0.06034516352148961,0.0003565413884585311,0.7637230832021601,0.0,2.1254172222584877,0.0644714899585187,0.6756756756756758,0.8787878787878789,1.2126696831108619,0.01203517208886773,0.6783625730994152,0.15307695442869462,0.2574961351851853,214
2011-11-10,0.036303572077349244,0.6494537702289702,0.6587176712005969,230,0.26605502899598876,0.008275079736501212,0.3153797411061825,0.11471685670556242,0.6971204071880488,0.006881116264738687,0.0,0.5697587377386901,1.3554273744622134,1.0,0.11040646069014098,0.9518518518518517,0.4373943961139126,0.4709629366527937,0.967509025270758,0.18465759110333158,0.7807914972373744,0.13435862527839681,0.0468379729745807,0.9999999999999998,0.6174559742536683,0.8445232574327606,0.9662162162162161,0.11980501374603669,0.04510133430013469,0.07735804903966795,0.012687089278653474,0.12247727903822436,0.06125874777973239,0.0,0.8294195174445119,0.00730250771306612,2.125471067367057,0.07328249064196007,0.6531531531531533,0.8106060606060608,1.326732673091305,0.0018777160307971164,0.6257309941520466,0.13624633083999937,0.26625061378600823,212
2011-11-17,0.043216700682579656,0.6457488634738173,0.655391924168045,220,0.27256899123361655,0.010828921566647942,0.31818593283244323,0.11394596269807422,0.6188189009113907,0.006310363345763609,0.00123419185535234,0.569933235393463,1.3769910527615496,0.9774436090225564,0.11304825361317378,0.9185185185185185,0.43365787293957325,0.49192720983749666,0.938628158844765,0.18145127555111285,0.7833926690066426,0.1565518212310386,0.026153277281723453,0.9769230769230766,0.6477503941446092,0.8334922785305676,0.9729729729729729,0.12094626857090662,0.05516896789444342,0.07448974732065496,0.01268154317621617,0.12020623612823678,0.0592948215536549,0.004751452375409748,0.8962417546587557,0.027158128702656215,2.1330577850847496,0.0953324048226179,0.5900900900900901,0.7878787878787881,1.3673469385885466,0.0,0.5906432748538011,0.11094536400653832,0.2719771893004116,218
2011-11-24,0.048421641667097504,0.642126299157173,0.65203425225911,225,0.28601338372687135,0.013811999641776929,0.32099212455870396,0.11770477228478926,0.5753213886472979,0.006110458679021075,0.006054020232185542,0.5700271540584774,1.3998112453532319,0.9360902255639099,0.11817877686168726,0.8481481481481479,0.4311875553419444,0.5117979853239247,0.8808664259927798,0.18550379548326967,0.774182683915958,0.16894448463646228,0.00894438879082693,0.9423076923076921,0.6785549008294185,0.821739936885991,0.9594594594594595,0.12708960856771845,0.06532542522940193,0.07480019834584489,0.015287026612790688,0.11526622071516646,0.05928790961862512,0.014762322191733457,0.9516669605832512,0.054662625746492666,2.1544471723559524,0.13138649899629884,0.5810810810810811,0.7916666666666667,1.374358974170088,0.006043485418331884,0.5087719298245614,0.08478993347979158,0.27553364835390937,216
