Date,price_trend_sma96,NewForSaleSAAR.USA_lag89,NewForSaleAct.USA_lag96,IndGlobalCAN_lag96,IndGlobalQc_lag96,Price,HsSglSAAR.QC_lag95,ConstSpendRes.USA_lag93,ConstSpendNonRes.USA_lag96,ExistMthSply.USA_lag95,US_PPI_Lumber_lag96,BdgPmtSglSAAR.USA_lag96,ExistForSaleInv.USA_lag96,ValeurExport.CHN_lag96,IndNAHB.USA_lag96,MnfdHomesSAAR.USA_lag96,NewMthSply.USA_lag92,BdgPmtTotSAAR.USA_lag86,NewSoldSAAR.USA_lag90,ExistSoldPrice.USA_lag96,BdgPmtMltSAAR.USA_lag81,Taxes_exp_lag92,Dollar.US.dollar.CDN_lag96,ValeurExport.PaysExport_lag96,BD.CDN.LONG.DQ.YLD_lag95,TauxUSD_CAD_lag96,VolumeExport.CHN_lag96,STH_LBR_INV_lag96,US_Lbr_Exp_lag91,BD.CDN.RRB.DQ.YLD_lag96,ExistSoldSAAR.USA_lag96,InventaireSciageRes.ON_lag94,CDN.AVG.OVER.10.AVG_lag96,HsSglSAAR.CAN_lag96,NewSoldMedPrice.USA_lag96,TotShip.ON_lag96,BD.CDN.10YR.DQ.YLD_lag96,HsTotSAAR.USA_lag96,HsSglSAAR.USA_lag95,BD.CDN.3YR.DQ.YLD_lag94,CDN.AVG.5YTO10Y.AVG_lag96,CDN.AVG.3YTO5Y.AVG_lag94,HsSglSAAR.AB_lag96,BD.CDN.7YR.DQ.YLD_lag96,BD.CDN.5YR.DQ.YLD_lag95,y
2009-11-19,0.0008792067601230968,0.9514307870503027,0.9903844676621254,0.005361449246113814,0.005878562605670545,329,0.9236011891549318,0.5348517294040271,0.7734348495950574,0.6992040561067818,0.17056310305657307,0.7001495952992925,0.8214672273051143,0.02181221441864125,0.18440127238095239,0.8414876167384858,0.7517067735366492,0.5927206587097714,0.7222082481283999,0.3912468485907239,0.46374342380225986,0.18816678914640747,0.850884349548171,0.16255931656440326,0.9709090909090907,0.10546245706340152,0.016329240160572252,0.9786964199826391,0.23981522887594042,0.6758893280632412,0.36427513177103155,0.8754671332800898,0.888501742160279,0.8301477271820442,0.31542345768877467,0.5303478975688197,0.9431438127090301,0.7462006691108515,0.7242049271291662,0.9337539432176656,0.9511400651465797,0.9595015576323987,0.49248592287458526,0.9506578947368421,0.9904153354632588,348
2009-11-26,0.0024910858203486264,0.9441451582221334,0.9801327273816729,0.011788911061860752,0.01270564301394117,334,0.9089435843534839,0.538079092184139,0.7736921556979177,0.6894034443250259,0.16608617812825854,0.6764714998566966,0.807144830359534,0.03576071212049632,0.18808686619047615,0.8557158867033873,0.7804766318062442,0.5929655443597489,0.7111543584682246,0.3829996627187555,0.5491861078897603,0.18816678914640747,0.8600648328763421,0.1884641129734319,0.9563636363636363,0.09859582487465479,0.0288424692048274,0.9609993200837001,0.24037076538307,0.7351778656126483,0.36175666126812,0.8549858363092746,0.9512195121951221,0.8441437511659254,0.33973807259424893,0.5312033392030678,1.0,0.7480097975059506,0.7088600119621846,0.8990536277602523,0.9999999999999999,0.9345794392523364,0.4706790164957658,1.0,0.9648562300319488,341
2009-12-03,0.004347188980608374,0.9366158514854053,0.9701747073481979,0.018207389264473406,0.019255523273097985,333,0.8409242105196701,0.543212354927531,0.774174534624473,0.6802126273284246,0.16429269807639657,0.6539731551867475,0.793880019664673,0.04657589984565337,0.19047619047619047,0.8575930104134685,0.798544546207917,0.580526802084392,0.7125623001134614,0.38148903877249896,0.6578644406973725,0.18816679261396016,0.866956843753206,0.21207225395029128,0.9709090909090907,0.09341350443677587,0.038889695590478834,0.9484860887612081,0.24503654395458163,0.7193675889328064,0.36302664221980674,0.8380430240862062,0.9337979094076656,0.8429571937241206,0.3412241093930892,0.5237753948087764,0.979933110367893,0.7365998252229563,0.7059196799979235,0.8958990536277601,0.977198697068404,0.9283489096573209,0.4586480225516626,0.9736842105263158,0.9424920127795526,340
2009-12-10,0.006203292140868122,0.9293637672261659,0.9612709913190736,0.023812869227772815,0.02458853660718585,336,0.7418332344478085,0.5472811791251719,0.7758885210446893,0.6748425780951284,0.16510828638622477,0.6347487505254895,0.7841691454830567,0.05105481510322761,0.19137119079365078,0.8435343303385047,0.801298809548942,0.5652204071343457,0.7197668874536093,0.3879467527513085,0.7623280731320167,0.18816680301661828,0.8702349944659438,0.22807500474413078,0.9890909090909088,0.09093064830515418,0.04340601293716914,0.9418922470536977,0.2525017972032768,0.7351778656126483,0.36723490064139463,0.8307466553535221,0.9442508710801396,0.8235305956092921,0.314569453671413,0.5105148529649872,0.9732441471571907,0.7109918939963552,0.7106919720891105,0.9116719242902207,0.9609120521172637,0.9376947040498441,0.46081406090777344,0.9539473684210528,0.9361022364217253,336
2009-12-17,0.008792067601230746,0.9229098058304637,0.9535047838662207,0.02888534826320921,0.028909169283622305,348,0.6424654304064834,0.5479855968780514,0.7785189498986544,0.6767529620310158,0.16737901394174037,0.6201937381912798,0.7810710851129518,0.05061380336651497,0.19124349317460315,0.8190900317494741,0.7928377652483716,0.5599253241325165,0.7261029346084645,0.39952763504782096,0.83512665664296,0.18816681341927638,0.8697663377379388,0.23808833893695502,0.9709090909090907,0.09125294840915776,0.04401958236150971,0.9385858644001734,0.26064787179202786,0.7549407114624506,0.3726371672347317,0.839204689330997,0.9547038327526132,0.7913664368080148,0.27266737623055226,0.49695715934397855,0.979933110367893,0.6777237506922159,0.7164511598556436,0.8517350157728705,0.9641693811074917,0.8847352024922117,0.4698496363821274,0.9572368421052632,0.9424920127795526,338
2009-12-24,0.010892394861524712,0.9175713587488035,0.9467899442553462,0.03397579452491506,0.032707953005617796,341,0.5736155726642798,0.5457071261312687,0.781420231484709,0.6894034443250259,0.16968106010274875,0.611528885673078,0.7877853476115605,0.04782403718478896,0.19073214428571428,0.79209401021793,0.7794372666143328,0.5775205177018105,0.7249052554281242,0.4123672821654094,0.8488098423179049,0.1881668203543818,0.8657160276852953,0.24545940684044487,0.9236363636363636,0.09425873419366004,0.04353183187267243,0.9350931337809403,0.2673561143837071,0.7430830039525692,0.3772656482685828,0.866872369133449,0.9407665505226481,0.7541071826022646,0.23296249337361385,0.4894089253826287,0.9732441471571907,0.6452122928741694,0.7164715149174217,0.7318611987381702,0.9641693811074917,0.7881619937694703,0.4754900994794623,0.9572368421052632,0.8881789137380192,347
2009-12-31,0.013432325501880227,0.9128517813974999,0.9410403317521558,0.03963520830874856,0.03647541947638455,340,0.5582990512013946,0.5414976557803466,0.7839467761011965,0.7146008829825496,0.17059060782786073,0.6099749612598103,0.8075114429448466,0.045256689107323084,0.19047619047619047,0.7703801618968446,0.7673731681833396,0.625586558643629,0.7114950309452893,0.4226012887802353,0.7865314675210595,0.18816681341927638,0.8582492300458915,0.2535353587662812,0.9199999999999999,0.09982633082831649,0.04474418947982914,0.9279402707743367,0.27050787164118684,0.6798418972332017,0.37915255001171033,0.9065940751258519,0.8954703832752613,0.7193952982740176,0.21289941979964588,0.4941767615236221,0.919732441471572,0.6218744157645107,0.7058981002453197,0.7287066246056783,0.9055374592833875,0.7819314641744547,0.4674708007045163,0.8980263157894738,0.7891373801916933,362
2010-01-07,0.01567918722219508,0.9080509199653073,0.9361449301097851,0.04635134034570498,0.04073924371524651,336,0.5884137254308333,0.5364090747208072,0.7856543863373568,0.7475409097695875,0.16933558376482516,0.6159237506691434,0.8416565720183923,0.04497054344074955,0.19091533587301585,0.7597073010345151,0.7629213257202927,0.6905104398595784,0.6891389082260718,0.4274309969437775,0.6738621139995241,0.18816679261396016,0.8479235052086698,0.26477464449596966,0.9018181818181819,0.10753980453098055,0.04976484486486128,0.9146925985996708,0.2686285716019786,0.6482213438735178,0.3769733157963928,0.9485614725224976,0.8815331010452963,0.6936765387087075,0.22458096146064221,0.5152991136943219,0.8695652173913042,0.6136778947081759,0.68735914440441,0.7318611987381702,0.8371335504885994,0.7757009345794391,0.43914476928165624,0.8256578947368421,0.7827476038338659,375
2010-01-14,0.01826796268255726,0.90246862064098,0.9318932192830207,0.05435903953251042,0.0461757084457588,338,0.6480780721238042,0.5314932718481737,0.7869044335583899,0.7817663466653184,0.16775090371316148,0.6264511127335636,0.8844587049488216,0.04697483233648633,0.19169191555555554,0.757533916004797,0.7704256973791859,0.7533807622118779,0.6630899007100862,0.4283207391223893,0.546976549234558,0.1881667544708804,0.8368660328430386,0.27808091027616466,0.8690909090909091,0.11580617074903543,0.05792903448597374,0.8970719252754007,0.26281996768160254,0.6205533596837945,0.3719763347900782,0.9829662258219725,0.8675958188153312,0.6786098183742119,0.2587426813000848,0.5477417652869325,0.8561872909698995,0.6167940105561157,0.6653536675010283,0.7287066246056783,0.8241042345276873,0.7757009345794391,0.39833574710807007,0.8092105263157895,0.7763578274760383,378
2010-01-21,0.021003272602940104,0.895544055563456,0.928049802840047,0.0638299319857989,0.0534982339676251,347,0.7214105664049246,0.5275414418983926,0.7882596806451252,0.8108200167336177,0.16832322716152714,0.637803923914288,0.9283635046098996,0.05076639949947233,0.19224892269841265,0.7592434140036436,0.7865026606974783,0.795286125374668,0.6386010218369474,0.4278005933305302,0.4420495410689841,0.18816671979535335,0.8275964047021325,0.2914691010152598,0.8800000000000001,0.12273817529001763,0.06787875647408098,0.8778392026178183,0.254827894429121,0.5968379446640316,0.3660532320142873,1.0,0.8432055749128922,0.6746573413418654,0.30077833191034364,0.5842023349297886,0.8361204013377928,0.6249449207699193,0.6443806896415116,0.8391167192429022,0.8078175895765473,0.838006230529595,0.35648515259488045,0.7960526315789475,0.779552715654952,378
