Date,IndGlobalCAN_lag96,NewForSaleSAAR.USA_lag96,NewForSaleAct.USA_lag96,price_trend_sma96,IndGlobalQc_lag91,Price,ConstSpendRes.USA_lag96,ConstSpendNonRes.USA_lag96,US_PPI_Lumber_lag96,HsSglSAAR.QC_lag96,ExistMthSply.USA_lag96,BD.CDN.RRB.DQ.YLD_lag94,BdgPmtSglSAAR.USA_lag95,ValeurExport.CHN_lag92,MnfdHomesSAAR.USA_lag91,IndNAHB.USA_lag93,BdgPmtTotSAAR.USA_lag90,CDN.AVG.OVER.10.AVG_lag95,ExistForSaleInv.USA_lag95,BD.CDN.LONG.DQ.YLD_lag94,InventaireSciageRes.ON_lag96,NewMthSply.USA_lag96,BD.CDN.10YR.DQ.YLD_lag94,VolumeExport.CHN_lag94,ValeurExport.PaysExport_lag96,NewSoldSAAR.USA_lag89,BdgPmtMltSAAR.USA_lag90,Dollar.US.dollar.CDN_lag96,ExistSoldSAAR.USA_lag96,HsSglSAAR.CAN_lag92,CDN.AVG.5YTO10Y.AVG_lag95,US_Lbr_Exp_lag90,TauxUSD_CAD_lag96,Taxes_exp_lag96,InventaireSciageRes.CAN_lag96,ExistSoldPrice.USA_lag96,HsSglSAAR.USA_lag94,HsSglAct.USA_lag93,BD.CDN.5YR.DQ.YLD_lag93,CDN.AVG.3YTO5Y.AVG_lag94,STH_LBR_INV_lag96,NewSoldAct.USA_lag96,BD.CDN.7YR.DQ.YLD_lag94,HsTotSAAR.USA_lag95,HsTotSAAR.STH_lag95,y
2009-11-19,0.005361449246113814,0.9922893320598642,0.9903844676621254,0.007254869133322073,0.032707953005617796,335,0.5584832708754235,0.7734348495950574,0.17056310305657307,0.8966252830869967,0.7073982595149262,0.7193675889328064,0.6764714998566966,0.05061380336651497,0.79209401021793,0.19137119079365078,0.5442543064385587,0.9512195121951221,0.807144830359534,0.9563636363636363,0.9027423510930357,0.6546595940508149,0.979933110367893,0.038889695590478834,0.16255931656440326,0.7111543584682246,0.39685395204132623,0.850884349548171,0.36427513177103155,0.7913664368080148,0.9999999999999999,0.24037076538307,0.10546245706340152,0.18816679261396016,0.9920452212217299,0.3912468485907239,0.7088600119621846,0.5214613338508085,0.9424920127795526,0.9595015576323987,0.9786964199826391,0.6315961867883911,0.9736842105263158,0.7480097975059506,0.7716657909470109,358
2009-11-26,0.011788911061860752,0.9849309326124205,0.9801327273816729,0.007143255762040113,0.03647541947638455,334,0.545017913855538,0.7736921556979177,0.16608617812825854,0.9236011891549318,0.6992040561067818,0.7351778656126483,0.6539731551867475,0.04782403718478896,0.7703801618968446,0.19124349317460315,0.5524959789137444,0.9337979094076656,0.793880019664673,0.9709090909090907,0.893395081592274,0.6677361562459943,0.9732441471571907,0.04340601293716914,0.1884641129734319,0.7125623001134614,0.40401737480423205,0.8600648328763421,0.36175666126812,0.7541071826022646,0.977198697068404,0.24503654395458163,0.09859582487465479,0.18816679261396016,0.9988507730003149,0.3829996627187555,0.7059196799979235,0.567556143030312,0.9361022364217253,0.9345794392523364,0.9609993200837001,0.6596680657450488,0.9539473684210528,0.7365998252229563,0.7755042019504229,352
2009-12-03,0.018207389264473406,0.9783930227733482,0.9701747073481979,0.007589709247167731,0.04073924371524651,343,0.5365006050962255,0.774174534624473,0.16429269807639657,0.9089435843534839,0.6894034443250259,0.7549407114624506,0.6347487505254895,0.045256689107323084,0.7597073010345151,0.19073214428571428,0.566986907227497,0.9442508710801396,0.7841691454830567,0.9890909090909088,0.8754671332800898,0.6892181109183113,0.979933110367893,0.04401958236150971,0.21207225395029128,0.7197668874536093,0.4165510938321424,0.866956843753206,0.36302664221980674,0.7193952982740176,0.9609120521172637,0.2525017972032768,0.09341350443677587,0.18816679261396016,0.9999157593203907,0.38148903877249896,0.7106919720891105,0.6106112037142171,0.9424920127795526,0.9283489096573209,0.9484860887612081,0.6835054449997132,0.9572368421052632,0.7109918939963552,0.7580949770299256,348
2009-12-10,0.023812869227772815,0.972958528986855,0.9612709913190736,0.008091969417936218,0.0461757084457588,347,0.5348517294040271,0.7758885210446893,0.16510828638622477,0.8409242105196701,0.6802126273284246,0.7430830039525692,0.6201937381912798,0.04497054344074955,0.757533916004797,0.19047619047619047,0.5822281230957757,0.9547038327526132,0.7810710851129518,0.9709090909090907,0.8549858363092746,0.7190241931488028,0.9732441471571907,0.04353183187267243,0.22807500474413078,0.7261029346084645,0.4294803131322512,0.8702349944659438,0.36723490064139463,0.6936765387087075,0.9641693811074917,0.26064787179202786,0.09093064830515418,0.18816678914640747,0.9971058972316902,0.3879467527513085,0.7164511598556436,0.6432907044808063,0.8881789137380192,0.9376947040498441,0.9418922470536977,0.6986431981896511,0.9572368421052632,0.6777237506922159,0.7258849918516389,336
2009-12-17,0.02888534826320921,0.968169198427228,0.9535047838662207,0.009375523187677759,0.0534982339676251,358,0.538079092184139,0.7785189498986544,0.16737901394174037,0.7418332344478085,0.6748425780951284,0.6798418972332017,0.611528885673078,0.04697483233648633,0.7592434140036436,0.19091533587301585,0.5927206587097714,0.9407665505226481,0.7877853476115605,0.9236363636363636,0.8380430240862062,0.7517067735366492,0.919732441471572,0.04474418947982914,0.23808833893695502,0.7249052554281242,0.4378302372541,0.8697663377379388,0.3726371672347317,0.6786098183742119,0.9641693811074917,0.2673561143837071,0.09125294840915776,0.18816678914640747,0.9925568073786919,0.39952763504782096,0.7164715149174217,0.6603816508512581,0.7891373801916933,0.8847352024922117,0.9385858644001734,0.7061292662971491,0.8980263157894738,0.6452122928741694,0.6885723066795845,333
2009-12-24,0.03397579452491506,0.9633814835972814,0.9467899442553462,0.009821976672805155,0.06342025206047808,352,0.543212354927531,0.781420231484709,0.16968106010274875,0.6424654304064834,0.6767529620310158,0.6482213438735178,0.6099749612598103,0.05076639949947233,0.7602192020816544,0.19169191555555554,0.5929655443597489,0.8954703832752613,0.8075114429448466,0.9199999999999999,0.8307466553535221,0.7804766318062442,0.8695652173913042,0.04976484486486128,0.24545940684044487,0.7114950309452893,0.43662607038566514,0.8657160276852953,0.3772656482685828,0.6746573413418654,0.9055374592833875,0.27050787164118684,0.09425873419366004,0.18816678914640747,0.988471585856705,0.4123672821654094,0.7058981002453197,0.6651623156274478,0.7827476038338659,0.7881619937694703,0.9350931337809403,0.7083898576276634,0.8256578947368421,0.6218744157645107,0.6558549822209291,357
2009-12-31,0.03963520830874856,0.9579518375838645,0.9410403317521558,0.010714883643060391,0.07665517728405469,348,0.5472811791251719,0.7839467761011965,0.17059060782786073,0.5736155726642798,0.6894034443250259,0.6205533596837945,0.6159237506691434,0.055842089042321935,0.7558446871440739,0.19224892269841265,0.580526802084392,0.8815331010452963,0.8416565720183923,0.9018181818181819,0.839204689330997,0.798544546207917,0.8561872909698995,0.05792903448597374,0.2535353587662812,0.6891389082260718,0.4244394363071634,0.8582492300458915,0.37915255001171033,0.682281311683003,0.8371335504885994,0.2686285716019786,0.09982633082831649,0.18816679261396016,0.9870533287610392,0.4226012887802353,0.68735914440441,0.6630337885541462,0.7763578274760383,0.7819314641744547,0.9279402707743367,0.7078511799997352,0.8092105263157895,0.6136778947081759,0.6351892589477383,373
2010-01-07,0.04635134034570498,0.9514307870503027,0.9361449301097851,0.010770690328701482,0.09342491670076036,336,0.5479855968780514,0.7856543863373568,0.16933558376482516,0.5582990512013946,0.7146008829825496,0.5968379446640316,0.6264511127335636,0.061698744805865915,0.7429197697391837,0.19202935,0.5652204071343457,0.8675958188153312,0.8844587049488216,0.8690909090909091,0.866872369133449,0.801298809548942,0.8361204013377928,0.06787875647408098,0.26477464449596966,0.6630899007100862,0.4140276364446426,0.8479235052086698,0.3769733157963928,0.7019439334689591,0.8241042345276873,0.26281996768160254,0.10753980453098055,0.18816680301661828,0.9896908844401406,0.4274309969437775,0.6653536675010283,0.6593971587216112,0.779552715654952,0.7757009345794391,0.9146925985996708,0.7066175628610681,0.7960526315789475,0.6167940105561157,0.6250640963916715,381
2010-01-14,0.05435903953251042,0.9441451582221334,0.9318932192830207,0.010380043529214733,0.11198525554423533,333,0.5457071261312687,0.7869044335583899,0.16775090371316148,0.5884137254308333,0.7475409097695875,0.5968379446640316,0.637803923914288,0.06788341580076447,0.7239103235338674,0.19047619047619047,0.5599253241325165,0.8432055749128922,0.9283635046098996,0.8800000000000001,0.9065940751258519,0.7928377652483716,0.8394648829431437,0.07825600897230962,0.27808091027616466,0.6386010218369474,0.42169439199717296,0.8368660328430386,0.3719763347900782,0.7323968731794462,0.8078175895765473,0.254827894429121,0.11580617074903543,0.18816681341927638,0.9945161088218653,0.4283207391223893,0.6443806896415116,0.6596535162018702,0.8370607028753994,0.7757009345794391,0.8970719252754007,0.7055058197414391,0.7960526315789475,0.6249449207699193,0.6217266331845682,389
2010-01-21,0.0638299319857989,0.9366158514854053,0.928049802840047,0.011496177242033445,0.13010044859092407,357,0.5414976557803466,0.7882596806451252,0.16832322716152714,0.6480780721238042,0.7817663466653184,0.6047430830039526,0.6462290612725096,0.07414397171699583,0.702698715692691,0.18726393126984126,0.5775205177018105,0.8501742160278747,0.9658166334210113,0.9018181818181819,0.9485614725224976,0.7794372666143328,0.8795986622073579,0.08770279013599838,0.2914691010152598,0.6198799883965683,0.46374342380225986,0.8275964047021325,0.3660532320142873,0.7655496457590697,0.8110749185667753,0.24639818663469337,0.12273817529001763,0.1881668203543818,0.9988466111620595,0.4278005933305302,0.6289392309321962,0.6676588150104605,0.8338658146964856,0.838006230529595,0.8778392026178183,0.7050108850694151,0.8486842105263158,0.631852782342908,0.6214240086229864,389
