Date,price_trend_sma96,IndGlobalCAN_lag95,Price,NewForSaleAct.USA_lag96,NewForSaleSAAR.USA_lag91,IndGlobalQc_lag95,ConstSpendRes.USA_lag96,ConstSpendNonRes.USA_lag96,US_PPI_Lumber_lag92,HsSglSAAR.QC_lag94,BD.CDN.RRB.DQ.YLD_lag96,BdgPmtSglSAAR.USA_lag96,ExistMthSply.USA_lag93,ExistForSaleInv.USA_lag96,IndNAHB.USA_lag96,ValeurExport.CHN_lag92,NewMthSply.USA_lag96,BD.CDN.LONG.DQ.YLD_lag96,BdgPmtTotSAAR.USA_lag95,MnfdHomesSAAR.USA_lag96,BD.CDN.3YR.DQ.YLD_lag96,ValeurExport.PaysExport_lag93,US_Lbr_Exp_lag96,CDN.AVG.OVER.10.AVG_lag96,BD.CDN.5YR.DQ.YLD_lag96,NewSoldSAAR.USA_lag96,BdgPmtMltSAAR.USA_lag87,Taxes_exp_lag96,BD.CDN.10YR.DQ.YLD_lag96,Dollar.US.dollar.CDN_lag96,TauxUSD_CAD_lag96,InventaireSciageRes.ON_lag96,ExistSoldSAAR.USA_lag94,CDN.AVG.3YTO5Y.AVG_lag96,VolumeExport.CHN_lag93,HsSglSAAR.CAN_lag96,BD.CDN.7YR.DQ.YLD_lag96,CDN.AVG.5YTO10Y.AVG_lag96,STH_LBR_INV_lag94,BD.CDN.2YR.DQ.YLD_lag95,InventaireSciageRes.CAN_lag94,CDN.AVG.1YTO3Y.AVG_lag96,HsTotSAAR.STH_lag96,HsSglSAAR.USA_lag95,NewSoldMedPrice.USA_lag96,y
2009-11-19,0.005438907159119433,0.011788911061860752,276,0.9903844676621254,0.9633814835972814,0.01270564301394117,0.5584832708754235,0.7734348495950574,0.16737901394174037,0.9089435843534839,0.6758893280632412,0.7001495952992925,0.6802126273284246,0.8214672273051143,0.18440127238095239,0.05061380336651497,0.6546595940508149,0.9127272727272726,0.6258596694857844,0.8414876167384858,0.949526813880126,0.22807500474413078,0.2212719099489151,0.888501742160279,0.9520766773162939,0.9413220981467968,0.4294803131322512,0.18816679261396016,0.9431438127090301,0.850884349548171,0.10546245706340152,0.9027423510930357,0.36302664221980674,0.9563862928348908,0.04340601293716914,0.8301477271820442,0.9506578947368421,0.9511400651465797,0.9484860887612081,0.9676375404530744,0.9999157593203907,0.9456869009584664,0.7531376096256203,0.7242049271291662,0.31542345768877467,284
2009-11-26,0.008917278016696173,0.018207389264473406,276,0.9801327273816729,0.9579518375838645,0.019255523273097985,0.545017913855538,0.7736921556979177,0.16968106010274875,0.8409242105196701,0.7351778656126483,0.6764714998566966,0.6748425780951284,0.807144830359534,0.18808686619047615,0.04782403718478896,0.6677361562459943,0.9709090909090907,0.6000940182018742,0.8557158867033873,0.9779179810725551,0.23808833893695502,0.23294682154811652,0.9512195121951221,0.9904153354632588,0.9142966542411873,0.4378302372541,0.18816679261396016,1.0,0.8600648328763421,0.09859582487465479,0.893395081592274,0.36723490064139463,0.9906542056074764,0.04401958236150971,0.8441437511659254,1.0,0.9999999999999999,0.9418922470536977,0.9255663430420713,0.9971058972316902,0.9680511182108625,0.7716657909470109,0.7088600119621846,0.33973807259424893,278
2009-12-03,0.012711864406779627,0.023812869227772815,280,0.9701747073481979,0.9514307870503027,0.02458853660718585,0.5365006050962255,0.774174534624473,0.17059060782786073,0.7418332344478085,0.7193675889328064,0.6539731551867475,0.6767529620310158,0.793880019664673,0.19047619047619047,0.045256689107323084,0.6892181109183113,0.9563636363636363,0.5767181144690642,0.8575930104134685,0.9337539432176656,0.24545940684044487,0.24037076538307,0.9337979094076656,0.9648562300319488,0.8786346715124077,0.43662607038566514,0.18816679261396016,0.979933110367893,0.866956843753206,0.09341350443677587,0.8754671332800898,0.3726371672347317,0.9595015576323987,0.04353183187267243,0.8429571937241206,0.9736842105263158,0.977198697068404,0.9385858644001734,0.8964401294498383,0.9925568073786919,0.9233226837060703,0.7755042019504229,0.7059196799979235,0.3412241093930892,279
2009-12-10,0.016316721477358964,0.02888534826320921,279,0.9612709913190736,0.9441451582221334,0.028909169283622305,0.5348517294040271,0.7758885210446893,0.16933558376482516,0.6424654304064834,0.7351778656126483,0.6347487505254895,0.6894034443250259,0.7841691454830567,0.19137119079365078,0.04497054344074955,0.7190241931488028,0.9709090909090907,0.5580564117506414,0.8435343303385047,0.8990536277602523,0.2535353587662812,0.24254389099729134,0.9442508710801396,0.9424920127795526,0.8353208658927921,0.4244394363071634,0.18816678914640747,0.9732441471571907,0.8702349944659438,0.09093064830515418,0.8549858363092746,0.3772656482685828,0.9345794392523364,0.04474418947982914,0.8235305956092921,0.9539473684210528,0.9609120521172637,0.9350931337809403,0.8834951456310681,0.988471585856705,0.8913738019169328,0.7580949770299256,0.7106919720891105,0.314569453671413,274
2009-12-17,0.019731849228433962,0.03397579452491506,284,0.9535047838662207,0.9366158514854053,0.032707953005617796,0.538079092184139,0.7785189498986544,0.16775090371316148,0.5736155726642798,0.7549407114624506,0.6201937381912798,0.7146008829825496,0.7810710851129518,0.19124349317460315,0.04697483233648633,0.7517067735366492,0.9890909090909088,0.5464535842576023,0.8190900317494741,0.8958990536277601,0.26477464449596966,0.24144915814122248,0.9547038327526132,0.9361022364217253,0.7901483694161408,0.4140276364446426,0.18816678914640747,0.979933110367893,0.8697663377379388,0.09125294840915776,0.8380430240862062,0.37915255001171033,0.9283489096573209,0.04976484486486128,0.7913664368080148,0.9572368421052632,0.9641693811074917,0.9279402707743367,0.9029126213592233,0.9870533287610392,0.8849840255591054,0.7258849918516389,0.7164511598556436,0.27266737623055226,271
2009-12-24,0.022577789020996608,0.03963520830874856,278,0.9467899442553462,0.9293637672261659,0.03647541947638455,0.543212354927531,0.781420231484709,0.16832322716152714,0.5582990512013946,0.7430830039525692,0.611528885673078,0.7475409097695875,0.7877853476115605,0.19073214428571428,0.05076639949947233,0.7804766318062442,0.9709090909090907,0.5442543064385587,0.79209401021793,0.9116719242902207,0.27808091027616466,0.23981522887594042,0.9407665505226481,0.9424920127795526,0.7501124180067708,0.42169439199717296,0.18816678914640747,0.9732441471571907,0.8657160276852953,0.09425873419366004,0.8307466553535221,0.3769733157963928,0.9376947040498441,0.05792903448597374,0.7541071826022646,0.9572368421052632,0.9641693811074917,0.9146925985996708,0.8446601941747574,0.9896908844401406,0.900958466453674,0.6885723066795845,0.7164715149174217,0.23296249337361385,278
2009-12-31,0.026309132304578764,0.04635134034570498,279,0.9410403317521558,0.9229098058304637,0.04073924371524651,0.5472811791251719,0.7839467761011965,0.17353921629768343,0.5884137254308333,0.6798418972332017,0.6099749612598103,0.7817663466653184,0.8075114429448466,0.19047619047619047,0.055842089042321935,0.798544546207917,0.9236363636363636,0.5524959789137444,0.7703801618968446,0.8517350157728705,0.2914691010152598,0.24037076538307,0.8954703832752613,0.8881789137380192,0.7222082481283999,0.46374342380225986,0.18816679261396016,0.919732441471572,0.8582492300458915,0.09982633082831649,0.839204689330997,0.3719763347900782,0.8847352024922117,0.06787875647408098,0.7193952982740176,0.8980263157894738,0.9055374592833875,0.8970719252754007,0.7152103559870551,0.9945161088218653,0.8434504792332268,0.6558549822209291,0.7058981002453197,0.21289941979964588,288
2010-01-07,0.029597773842651165,0.05435903953251042,274,0.9361449301097851,0.9175713587488035,0.0461757084457588,0.5479855968780514,0.7856543863373568,0.1858855315099881,0.6480780721238042,0.6482213438735178,0.6159237506691434,0.8108200167336177,0.8416565720183923,0.19091533587301585,0.061698744805865915,0.801298809548942,0.9199999999999999,0.566986907227497,0.7597073010345151,0.7318611987381702,0.3029541626317558,0.24503654395458163,0.8815331010452963,0.7891373801916933,0.7111543584682246,0.5491861078897603,0.18816680301661828,0.8695652173913042,0.8479235052086698,0.10753980453098055,0.866872369133449,0.3660532320142873,0.7881619937694703,0.07825600897230962,0.6936765387087075,0.8256578947368421,0.8371335504885994,0.8778392026178183,0.7216828478964402,0.9988466111620595,0.7220447284345046,0.6351892589477383,0.68735914440441,0.22458096146064221,300
2010-01-14,0.03244371363521381,0.0638299319857989,271,0.9318932192830207,0.9128517813974999,0.0534982339676251,0.5457071261312687,0.7869044335583899,0.20670424117185382,0.7214105664049246,0.6205533596837945,0.6264511127335636,0.8282447441230587,0.8844587049488216,0.19169191555555554,0.06788341580076447,0.7928377652483716,0.9018181818181819,0.5822281230957757,0.757533916004797,0.7287066246056783,0.3105510400340461,0.2525017972032768,0.8675958188153312,0.7827476038338659,0.7125623001134614,0.6578644406973725,0.18816681341927638,0.8561872909698995,0.8368660328430386,0.11580617074903543,0.9065940751258519,0.361095633699982,0.7819314641744547,0.08770279013599838,0.6786098183742119,0.8092105263157895,0.8241042345276873,0.8597553643647791,0.7281553398058254,1.0,0.7252396166134185,0.6250640963916715,0.6653536675010283,0.2587426813000848,305
2010-01-21,0.035163167214773416,0.07493564382220619,278,0.928049802840047,0.9080509199653073,0.06342025206047808,0.5414976557803466,0.7882596806451252,0.2327590374995938,0.7925296858686974,0.5968379446640316,0.637803923914288,0.8298037963325839,0.9283635046098996,0.19224892269841265,0.07414397171699583,0.7794372666143328,0.8690909090909091,0.5927206587097714,0.7592434140036436,0.7318611987381702,0.31301695673112795,0.26064787179202786,0.8432055749128922,0.7763578274760383,0.7197668874536093,0.7623280731320167,0.1881668203543818,0.8361204013377928,0.8275964047021325,0.12273817529001763,0.9485614725224976,0.35899516527183084,0.7757009345794391,0.09517968506002791,0.6746573413418654,0.7960526315789475,0.8078175895765473,0.8455813532933574,0.7313915857605178,0.9952938831583955,0.7252396166134185,0.6217266331845682,0.6443806896415116,0.30077833191034364,305
