Date,ConstSpendRes.USA_lag96,NewForSaleAct.USA_lag96,IndGlobalCAN_lag96,Price,IndGlobalQc_lag96,NewForSaleSAAR.USA_lag96,price_trend_sma96,BdgPmtTotSAAR.USA_lag96,ConstSpendNonRes.USA_lag95,HsSglSAAR.QC_lag96,TauxUSD_CAD_lag95,Dollar.US.dollar.CDN_lag96,ExistMthSply.USA_lag95,HsTotSAAR.USA_lag96,IndNAHB.USA_lag96,InventaireSciageRes.CB_lag95,BdgPmtMltSAAR.USA_lag96,NewSoldMedPrice.USA_lag96,TotShip.ON_lag96,ExistForSaleInv.USA_lag96,HsSglAct.USA_lag96,BdgPmtTotAct.USA_lag96,BD.CDN.10YR.DQ.YLD_lag95,US_PPI_Lumber_lag96,BD.CDN.LONG.DQ.YLD_lag96,HsTotAct.USA_lag96,ExistSoldSAAR.USA_lag94,InventaireSciageRes.AB_lag96,Exchange.Rate_lag96,HsTotSAAR.STH_lag96,Taxes_exp_lag96,CDN.AVG.OVER.10.AVG_lag96,HsSglSAAR.USA_lag96,CDN.AVG.5YTO10Y.AVG_lag94,BD.CDN.7YR.DQ.YLD_lag96,NewSoldSAAR.USA_lag94,NewMthSply.USA_lag96,WST_LBR_SHPMT_lag96,ExistSoldPrice.USA_lag93,ValeurExport.PaysExport_lag94,BD.CDN.RRB.DQ.YLD_lag96,BD.CDN.5YR.DQ.YLD_lag95,InventaireSciageRes.CAN_lag96,HsMltSAAR.USA_lag96,NewSoldAct.USA_lag96,y
2014-12-04,0.22278580964793282,0.058656293848558416,0.5025657480871226,370,0.5607673147586727,0.07356565566509166,0.8506355354317823,0.5327141780162284,0.1981865030115082,0.33609499477983246,0.127066888682136,0.8358514578375775,0.12380550618445113,0.558569667077682,0.5707189663967162,0.2556469008218487,0.433400542711375,0.5000259127649753,0.09792814694561464,0.1415713302586361,0.3123492201049974,0.3512497805578787,0.37545126353790603,0.5998255888536757,0.39230769230769214,0.3862090465375335,0.7036093060438484,0.8299830902262642,0.1113550189582917,0.5690284346155083,0.11881573851434714,0.3721804511278196,0.5596707818930041,0.3777777777777777,0.37500000000000006,0.4704312094370643,0.020363688049611972,0.43258125215560517,0.25167378476245394,0.4954518568934147,0.2702702702702703,0.3731343283582089,0.3929982833887422,0.5337995337995338,0.39135662499944845,400
2014-12-11,0.22656843930114523,0.06141651386274427,0.5141586081635863,375,0.5676301908112578,0.07899372159914164,0.8509082974196716,0.5242025548582804,0.184662724390952,0.32576046636779005,0.13654025570751882,0.8218352388625405,0.12367012528711091,0.5897384953144266,0.5643184998593089,0.24328042563291552,0.4184096474460463,0.4909241898108039,0.08822276021399911,0.14709082418547315,0.3479564749870054,0.369450207235859,0.3790613718411552,0.624625945055481,0.40384615384615374,0.44444213090474527,0.7033297223112107,0.851249451654362,0.09798443424466186,0.6126918507421815,0.12072554517990582,0.37593984962406013,0.5565852958847736,0.3703703703703703,0.37500000000000006,0.47966791329464165,0.023545970609170297,0.42127052832368705,0.27459718875238415,0.5361905626769852,0.2770270270270271,0.3694029850746269,0.41259197214865084,0.5962178692307691,0.4211106688640721,400
2014-12-18,0.23064636592981735,0.06415616604749208,0.5187738935137691,390,0.5624942394176742,0.08400164652372388,0.8517265833833396,0.507839593953496,0.1705820547623893,0.28877061419391353,0.14395592630299525,0.8093888105891276,0.12438001369397383,0.6094227336621455,0.556714732141,0.23054720087617997,0.3955962159419159,0.46704233388039706,0.08546412978261037,0.14786152091527272,0.3856188758173575,0.3924688125537662,0.371841155234657,0.6526053213441814,0.4076923076923076,0.5070528074346632,0.7016707058497829,0.8767858008436611,0.11029734583915385,0.6605780866337683,0.12079143561640586,0.37969924812030087,0.5365573965020577,0.31111111111111106,0.37500000000000006,0.4902656203521124,0.023304996555328472,0.42731547246797685,0.29222696572723517,0.5755446332722887,0.29729729729729726,0.3619402985074627,0.430166321253314,0.6561187454545454,0.45252438923778526,400
2014-12-25,0.234724149421783,0.06781190049830799,0.5184626062297326,398,0.5513364767648827,0.08928336649298396,0.8527085265397414,0.49191168353207926,0.16159337920677785,0.24327270428151376,0.1483500505243076,0.7997143292560898,0.12861475685953322,0.6126200184956844,0.547527460706771,0.21919000654252807,0.37466603270300874,0.4444137105030579,0.09111230815042448,0.14946132885616503,0.42120176436414264,0.4190628627966452,0.3212996389891697,0.6822269190052852,0.4076923076923076,0.5605349926299726,0.6993912757252865,0.9010342421634308,0.1406904809419276,0.6924003165295691,0.1198694792356529,0.37593984962406013,0.5064812516460907,0.3333333333333332,0.3636363636363637,0.5003744017897566,0.021133722427512436,0.44621140874770004,0.30596040320965256,0.612153935785128,0.30405405405405406,0.29850746268656714,0.4461398297855057,0.6962353072261072,0.48378639599890005,390
2015-01-01,0.23850634966487505,0.07332036731069791,0.5152757611135517,400,0.5401339327954382,0.09553281756106702,0.8537995744912987,0.48470521157803426,0.16187916513326117,0.20741400232458412,0.1491111589621963,0.794013945291292,0.13814516297109652,0.594327990135635,0.5363764837084535,0.21068679246422461,0.36532488298974536,0.4390716852080898,0.10662734781641797,0.1574681574760688,0.4505704823954501,0.4479896244449738,0.33574007220216595,0.7119539414201581,0.373076923076923,0.5913826025105983,0.697895576813907,0.9184368845660402,0.15376172420674483,0.6878717146688837,0.11881573851434714,0.33834586466165406,0.47325102880658443,0.3592592592592592,0.30303030303030304,0.5079993479240478,0.01852510513286465,0.4734536611973148,0.31809643609489213,0.6432877275467366,0.2635135135135135,0.32089552238805974,0.46093099767768964,0.6993006993006994,0.5130852999995588,390
2015-01-08,0.24178252490304064,0.08132388149724679,0.5110609301437918,400,0.533643537431848,0.10323500244413242,0.8532540505155202,0.492245447283154,0.16975621430296117,0.1950110835495132,0.14703732144826231,0.7930401743321793,0.15110693179804452,0.5525488108508015,0.5232576292212503,0.20545618353362816,0.3745877207332536,0.4620983092142612,0.1320213911251663,0.17574159904478726,0.4707336914841362,0.47809775498920415,0.36101083032490966,0.7399224831758007,0.3961538461538461,0.5906776357068105,0.6987490364523168,0.9249231119345618,0.17122330872081437,0.634114801384446,0.1183045484270262,0.3571428571428572,0.4428304082304527,0.3148148148148148,0.3143939393939394,0.5111093053388635,0.016916820354395012,0.504854333558606,0.3309339992782079,0.6658726139326481,0.28378378378378377,0.3470149253731343,0.47485938823503027,0.6547820682983683,0.5385700482638981,405
2015-01-15,0.24468222575477794,0.09128742140487378,0.5068520283951097,400,0.5317418617832068,0.11203919050639377,0.8521630025639626,0.5115131836855861,0.18207491274335164,0.20255775999499787,0.1432789862114956,0.7957469725164117,0.16472698584257156,0.49730274389642404,0.5096708482763871,0.20365197663718737,0.3987061756820824,0.5047703773002363,0.1615149407978359,0.20126798127881518,0.4832733324221257,0.5086014762528318,0.3140794223826715,0.7629602120651886,0.4115384615384614,0.5678544197212937,0.7035170807677431,0.9223714147495308,0.16266214328477369,0.5478894823334681,0.11828330273160277,0.37969924812030087,0.41746111934156394,0.3,0.3371212121212122,0.5076731189998761,0.017525421636456318,0.5374926485274318,0.3467720276548547,0.6768352005352594,0.29054054054054046,0.3097014925373134,0.48784881867832963,0.5790825673659674,0.5582309366428114,405
2015-01-22,0.2474200022446006,0.10238162956437336,0.5034795408286641,390,0.5330853769385655,0.12138571923855612,0.8499809066608477,0.5372280951543676,0.19568564531900723,0.22221715331445963,0.13898660789371098,0.800638655380344,0.17623224760687178,0.4416145773119605,0.4974921221718862,0.20542796507349825,0.4312410466336855,0.5534133731422612,0.18788058989828915,0.22931531628621515,0.4909146661516644,0.5388064014601941,0.29241877256317683,0.7775676923265746,0.373076923076923,0.536935364184317,0.7137651366937108,0.9141475630052844,0.15805228497305923,0.4533650090289103,0.11851764687851078,0.33834586466165406,0.39845440411522637,0.2703703703703703,0.29924242424242425,0.49565963495156107,0.021512181115411422,0.5687646083822093,0.3673454243717542,0.6731020920795143,0.24324324324324323,0.30597014925373134,0.49972416917624507,0.49533935151515157,0.5700185978895597,400
2015-01-29,0.2502104033471203,0.11377714923974369,0.5017739524056148,390,0.5363305814981558,0.1307149239346086,0.8477988107577328,0.5641098559354357,0.20743879766976958,0.24615238474967266,0.13531063686150802,0.8062195384603297,0.18284963959313977,0.39850909913686794,0.48859743203405714,0.2109379457290106,0.4657531320073189,0.5943527788125247,0.20389093099329159,0.255151615645155,0.4963829537877739,0.568018143542477,0.30324909747292417,0.7802454850544267,0.3653846153846153,0.5119428789675303,0.7300805493004738,0.9036173221130599,0.13909399321492733,0.37471063274604544,0.11877324018839491,0.3270676691729324,0.387121504526749,0.2703703703703703,0.32575757575757586,0.4748785245796744,0.03003837166305534,0.5960662155261234,0.3921329655824908,0.6530344367359171,0.23648648648648649,0.28358208955223874,0.5103103203222776,0.4266895762237762,0.5718836647574032,390
2015-02-05,0.25326797873688334,0.12464462442818647,0.5025657480871226,405,0.5401339327954382,0.13946714135301774,0.8461622388303964,0.5868781401516271,0.21499675505182303,0.26652657595405843,0.13321552372721612,0.8109939372927228,0.18275163932943556,0.3810110974106041,0.4848627596760594,0.21960762827131952,0.49580323078953553,0.6139140747791563,0.20231855739525462,0.27404489040390834,0.50240345575437,0.5955423156263007,0.299638989169675,0.76749415343907,0.33461538461538454,0.5068993735805127,0.7491383353989194,0.8941464643587445,0.13520255438036322,0.3360956057108927,0.11881573851434714,0.2894736842105263,0.3847736625514403,0.2444444444444444,0.29545454545454547,0.45250276225330033,0.044265265967325385,0.6167934723623589,0.4200493938651051,0.6207315523368109,0.18918918918918917,0.28358208955223874,0.5194321531347756,0.39627039627039623,0.5617767699996029,380
