Date,Price,IndGlobalCAN_lag96,NewForSaleSAAR.USA_lag96,NewForSaleAct.USA_lag94,IndGlobalQc_lag95,price_trend_sma96,ConstSpendNonRes.USA_lag96,CDN.AVG.OVER.10.AVG_lag95,HsSglSAAR.QC_lag96,BdgPmtTotSAAR.USA_lag96,NewSoldSAAR.USA_lag96,HsSglAct.USA_lag96,BD.CDN.LONG.DQ.YLD_lag96,ExistSoldPrice.USA_lag96,BD.CDN.10YR.DQ.YLD_lag94,IndNAHB.USA_lag96,NewSoldAct.USA_lag96,US_PPI_Lumber_lag96,Dollar.US.dollar.CDN_lag96,HsTotSAAR.STH_lag96,ExistMthSply.USA_lag96,CDN.AVG.5YTO10Y.AVG_lag96,HsSglSAAR.CAN_lag96,ExistForSaleInv.USA_lag96,NewMthSply.USA_lag96,BdgPmtTotAct.USA_lag96,BdgPmtMltSAAR.USA_lag94,ExistSoldSAAR.USA_lag96,InventaireSciageRes.CAN_lag96,ValeurExport.PaysExport_lag94,HsTotAct.USA_lag96,BD.CDN.5YR.DQ.YLD_lag94,InventaireSciageRes.CB_lag96,STH_LBR_INV_lag96,WST_LBR_SHPMT_lag96,TotShip.ON_lag96,InventaireSciageRes.AB_lag95,NewSoldMedPrice.USA_lag96,BD.CDN.7YR.DQ.YLD_lag93,US_Lbr_Exp_lag96,HsTotSAAR.USA_lag95,BD.CDN.3YR.DQ.YLD_lag96,BD.CDN.RRB.DQ.YLD_lag96,IndNAR_HAI.USA_lag96,HsMltAct.USA_lag95,y
2011-09-22,221,0.014712113343370525,0.6835069265602765,0.659883305796281,0.010108245679231409,0.3038592613060698,0.033936194495720086,0.8759398496240602,0.7138177613226482,0.13780327640015366,0.2546702400567792,0.107631362344011,0.9115384615384612,0.15430924370606536,0.823104693140794,0.06774038586464193,0.10827505726192954,0.0,1.4273648831480708,0.11338108056220186,0.3688135238171954,0.8333333333333333,0.6463977965172187,0.6443214283778278,0.6932722967734848,0.1407290666533842,0.049529461503296734,0.7123950719079042,0.03534126430028284,0.057622636024127705,0.0639406381922975,0.708955223880597,0.023679218900050092,0.6484029067772319,0.006829472485031629,0.016609786374253643,0.09382359320599698,0.15084700639183524,0.8030303030303032,0.1446899678275979,0.07998943662145497,0.6351351351351352,1.0000000000000002,2.291618983228864,0.026972461899015227,224
2011-09-29,228,0.006284942566406215,0.6781714631971989,0.6575502597736949,0.0036660017513474585,0.3028460900801324,0.02885150892837868,0.8909774436090225,0.7829081224401493,0.1497275667125959,0.23977600025290602,0.08435088160888499,0.8730769230769229,0.15556395942731815,0.8664259927797832,0.06236532799322286,0.10169052267706302,0.010228029750841694,1.4168914999261266,0.1177559598285709,0.39055207859350055,0.7518518518518518,0.6740535852638248,0.6127030788545742,0.7112431734046016,0.16112661045837573,0.04111960043015728,0.6125130107905938,0.033040308069752555,0.04474811059527112,0.04668947084648867,0.7574626865671641,0.02015966903857236,0.5659273687350925,0.0,0.0030879063690355535,0.09508330150174982,0.15780041283432134,0.8106060606060608,0.12576635554511395,0.07891491985203447,0.5585585585585586,0.9459459459459459,2.2204818145778087,0.025380791112083106,221
2011-10-06,234,0.000520233543184645,0.6740014141550854,0.6560164328833313,0.0004175990175543376,0.3020171318043654,0.023870682257106295,0.9398496240601504,0.8468671490935624,0.15479744220787928,0.22865591227885806,0.07046201109670497,0.892307692307692,0.15217404428490244,0.8736462093862815,0.05558172607277573,0.09920780499918369,0.016129398390770877,1.4002717663563287,0.12455456721588454,0.4095514494196156,0.7999999999999998,0.7093215072643564,0.5866824923467506,0.7245409451637841,0.16949613446697276,0.028143347962771792,0.528317197086819,0.028821155881013194,0.025573370808002316,0.03620709811289374,0.7686567164179104,0.017409180389382772,0.4975164241892962,0.0070354705373428805,0.0012992206790826133,0.09399539018192682,0.15916345603239157,0.8977272727272729,0.10441555708715933,0.0856435193588162,0.5675675675675677,0.918918918918919,2.1683171811019997,0.02577983782272078,224
2011-10-13,229,0.0,0.6712540346701832,0.6545830336332772,0.0,0.30081974762825814,0.019210844675760924,0.9323308270676691,0.8921067508905558,0.15134901834448167,0.22199583318197735,0.0702910020232334,0.9384615384615382,0.14260360857091836,0.9566787003610108,0.048025197641391404,0.09790918620881062,0.016680386635997024,1.379325132224242,0.13614665674333215,0.42252066187574894,0.8444444444444443,0.7505260677063621,0.571630077566502,0.7320883085480523,0.1596168986172431,0.01451420888416094,0.47639677907552014,0.0216950285968327,0.008017604514332588,0.036283326968286345,0.8432835820895522,0.0161341695420667,0.4573484838650863,0.02963198925951749,0.013392542523608275,0.08939609971467988,0.15370914262388258,0.9090909090909094,0.07964831177134257,0.09750037644882859,0.6081081081081081,1.0000000000000002,2.1395071076964722,0.027080981859292697,225
2011-10-20,224,0.004020704585800061,0.6695100858511396,0.6525512690652111,0.0014153949803255017,0.29879340517638386,0.015171394189715755,0.981203007518797,0.9124687495091592,0.14199789796630402,0.21813095105988123,0.07995225756741048,0.9307692307692306,0.1289132941843365,0.9602888086642597,0.041361929032885325,0.09735577186402966,0.015458621435433306,1.3592282106279179,0.14851067306838195,0.4316779915440064,0.8518518518518516,0.7915635111186177,0.568006741293333,0.7361851443539495,0.13665233843002006,0.0041456883555436586,0.4514722974172969,0.01316128704025532,0.0,0.04367009805519406,0.8544776119402985,0.015875035458118525,0.44060550943287424,0.06076053461711728,0.03397853974800108,0.08042203055106367,0.14381975550672244,0.9090909090909094,0.05384625741112503,0.11023713156596793,0.6306306306306307,0.9324324324324323,2.1279798974031667,0.027532030534565627,226
2011-10-27,221,0.011057431712705679,0.6681812043594044,0.6494537702289702,0.0036660017513474585,0.29722759509993546,0.011930309071696229,0.981203007518797,0.903652445879936,0.13042955573282777,0.2148087869076064,0.09350721885577634,0.973076923076923,0.11406287706785312,0.967509025270758,0.03751574869414781,0.09772837433028303,0.017192066034185105,1.3454512947232253,0.1560272331515422,0.44061902675102466,0.9370370370370369,0.825223017339126,0.5750460164132727,0.7399756292230764,0.10861193312639361,0.0,0.44279714278311455,0.005341325856074164,0.00730250771306612,0.05335988558344579,0.8470149253731344,0.015880674844721554,0.4377203151660307,0.09121080310204233,0.055783344972661186,0.06620978314213355,0.13277989584183314,0.8787878787878789,0.030233756674882706,0.11960542540073982,0.6801801801801803,0.9594594594594595,2.126145284867868,0.025380791112083106,231
2011-11-03,224,0.01958525308282688,0.6666790268564269,0.6457488634738173,0.00595319838638364,0.2961223173989129,0.009530386580180808,1.0,0.8613571392868598,0.1203294663035347,0.2097768611807882,0.10501732666931812,0.973076923076923,0.1010121331641638,0.938628158844765,0.03841048472864439,0.09920780499918369,0.026608683677358025,1.3431252331132912,0.15307695442869462,0.45293935560650095,0.948148148148148,0.8442937657319707,0.5919814347525616,0.7466039401647502,0.08350516212288817,0.00123419185535234,0.43962470423134903,0.0003565413884585311,0.027158128702656215,0.06034516352148961,0.8246268656716417,0.015399982973917758,0.4391257449238868,0.11177249133096046,0.07153309007234332,0.0468379729745807,0.12387416639419468,0.8106060606060608,0.01203517208886773,0.12247727903822436,0.7162162162162162,0.9391891891891891,2.126909196380467,0.019567116255884115,224
2011-11-10,225,0.0282403842984289,0.6645436561631399,0.642126299157173,0.008275079736501212,0.29538546559823153,0.007907072037212675,0.9774436090225564,0.7860313418542217,0.11471685670556242,0.20162565286671474,0.11040646069014098,0.9999999999999998,0.09217624362582888,0.8808664259927798,0.04510133430013469,0.10231654988068306,0.046853508033805724,1.3554273744622134,0.13624633083999937,0.4709629366527937,0.9518518518518517,0.8445232574327606,0.6174559742536683,0.7579488428769385,0.06813413588561895,0.006054020232185542,0.43361949034881975,0.0,0.054662625746492666,0.06125874777973239,0.753731343283582,0.014020843317833709,0.4373943961139126,0.11593875101505913,0.07592141015372372,0.026153277281723453,0.11980501374603669,0.7878787878787881,0.0018777160307971164,0.12020623612823678,0.6756756756756758,0.9662162162162161,2.1254172222584877,0.01179903993665024,222
2011-11-17,226,0.036303572077349244,0.6618290597384127,0.6392758261700495,0.010828921566647942,0.2945565073224645,0.006881116264738687,0.9360902255639099,0.6971204071880488,0.11394596269807422,0.1923174731913806,0.11304825361317378,0.9769230769230766,0.08779200953125943,0.8592057761732851,0.05516896789444342,0.1089437888323983,0.07473985132358885,1.3769910527615496,0.11094536400653832,0.49192720983749666,0.9185185185185185,0.8334922785305676,0.6477503941446092,0.7708274585476431,0.0644714899585187,0.012665241630183122,0.4260904850140952,0.004751452375409748,0.08491176205602385,0.0592948215536549,0.7313432835820894,0.012687089278653474,0.43365787293957325,0.10801655361976847,0.07151194902583852,0.00894438879082693,0.12094626857090662,0.7916666666666667,0.0,0.11526622071516646,0.6531531531531533,0.9729729729729729,2.125471067367057,0.004476641427112016,229
2011-11-24,231,0.043216700682579656,0.6587176712005969,0.6378871956030716,0.013811999641776929,0.2935433360965276,0.006310363345763609,0.9097744360902256,0.6188189009113907,0.11770477228478926,0.18465759110333158,0.11817877686168726,0.9423076923076921,0.0875516389959421,0.8700361010830323,0.06532542522940193,0.12132037608682789,0.10549809619051653,1.3998112453532319,0.08478993347979158,0.5117979853239247,0.8481481481481479,0.821739936885991,0.6785549008294185,0.7807914972373744,0.07328249064196007,0.019273612738128,0.42075779163418714,0.014762322191733457,0.11300130127642555,0.05928790961862512,0.7276119402985075,0.01268154317621617,0.4311875553419444,0.09501632545550354,0.06283585298399941,0.0,0.12708960856771845,0.8333333333333335,0.006043485418331884,0.11013115696670772,0.5900900900900901,0.9594594594594595,2.1330577850847496,0.0,226
