Date,price_trend_sma96,NewForSaleSAAR.USA_lag96,NewForSaleAct.USA_lag96,IndGlobalCAN_lag96,IndGlobalQc_lag96,Price,ConstSpendRes.USA_lag95,ConstSpendNonRes.USA_lag95,ExistMthSply.USA_lag96,HsSglSAAR.QC_lag96,IndNAHB.USA_lag92,BD.CDN.RRB.DQ.YLD_lag93,US_PPI_Lumber_lag96,ValeurExport.PaysExport_lag93,BdgPmtSglSAAR.USA_lag94,ValeurExport.CHN_lag96,MnfdHomesSAAR.USA_lag95,VolumeExport.CHN_lag93,ExistForSaleInv.USA_lag95,CDN.AVG.OVER.10.AVG_lag96,NewMthSply.USA_lag96,BD.CDN.LONG.DQ.YLD_lag96,BdgPmtTotSAAR.USA_lag95,BD.CDN.10YR.DQ.YLD_lag93,US_Lbr_Exp_lag96,HsSglSAAR.CAN_lag96,BdgPmtMltSAAR.USA_lag96,HsSglSAAR.AB_lag96,TotShip.ON_lag96,Taxes_exp_lag96,Dollar.US.dollar.CDN_lag96,BdgPmtTotAct.USA_lag90,InventaireSciageRes.QC_lag93,STH_LBR_INV_lag94,NewSoldMedPrice.USA_lag96,ExistSoldSAAR.USA_lag96,CDN.AVG.5YTO10Y.AVG_lag95,ValeurExport.USA_lag96,MnfdHomesAct.USA_lag96,InventaireSciageRes.ON_lag53,NewSoldSAAR.USA_lag96,HsTotAct.USA_lag95,BD.CDN.7YR.DQ.YLD_lag93,HsSglSAAR.USA_lag96,BD.CDN.3YR.DQ.YLD_lag96,y
2009-11-19,0.0,0.9922893320598642,0.9903844676621254,0.005361449246113814,0.005878562605670545,345,0.545017913855538,0.7736921556979177,0.7073982595149262,0.8966252830869967,0.19124349317460315,0.7351778656126483,0.17056310305657307,0.22807500474413078,0.6539731551867475,0.02181221441864125,0.8557158867033873,0.04340601293716914,0.807144830359534,0.888501742160279,0.6546595940508149,0.9127272727272726,0.6258596694857844,0.9732441471571907,0.2212719099489151,0.8301477271820442,0.4789427139509379,0.49248592287458526,0.5303478975688197,0.18816679261396016,1.1752478470352477,0.4616700064088054,0.9325837214472372,0.9484860887612081,0.31542345768877467,0.36427513177103155,0.9999999999999999,0.1774715483325831,0.7531553439710501,0.48555904018662455,0.9413220981467968,0.5250446165219829,0.9539473684210528,0.7485113082856829,0.949526813880126,364
2009-11-26,0.0012307293690891896,0.9849309326124205,0.9801327273816729,0.011788911061860752,0.01270564301394117,350,0.5365006050962255,0.774174534624473,0.6992040561067818,0.9236011891549318,0.19073214428571428,0.7549407114624506,0.16608617812825854,0.23808833893695502,0.6347487505254895,0.03576071212049632,0.8575930104134685,0.04401958236150971,0.793880019664673,0.9512195121951221,0.6677361562459943,0.9709090909090907,0.6000940182018742,0.979933110367893,0.23294682154811652,0.8441437511659254,0.4609181269503094,0.4706790164957658,0.5312033392030678,0.18816679261396016,1.1627030447686113,0.4889703118427199,0.9584916727756081,0.9418922470536977,0.33973807259424893,0.36175666126812,0.977198697068404,0.19915537546105588,0.7538348428578778,0.48839501284631437,0.9142966542411873,0.5420904887235185,0.9572368421052632,0.7242049271291662,0.9779179810725551,357
2009-12-03,0.003109211037699122,0.9783930227733482,0.9701747073481979,0.018207389264473406,0.019255523273097985,354,0.5348517294040271,0.7758885210446893,0.6894034443250259,0.9089435843534839,0.19047619047619047,0.7430830039525692,0.16429269807639657,0.24545940684044487,0.6201937381912798,0.04657589984565337,0.8435343303385047,0.04353183187267243,0.7841691454830567,0.9337979094076656,0.6892181109183113,0.9563636363636363,0.5767181144690642,0.9732441471571907,0.24037076538307,0.8429571937241206,0.4420495410689841,0.4586480225516626,0.5237753948087764,0.18816679261396016,1.1534599525802012,0.5194610614658864,0.9808748616293936,0.9385858644001734,0.3412241093930892,0.36302664221980674,0.9609120521172637,0.22060644422063724,0.7470546670682601,0.4963354834583271,0.8786346715124077,0.5546197224851177,0.9572368421052632,0.7088600119621846,0.9337539432176656,364
2009-12-10,0.005376344086021501,0.972958528986855,0.9612709913190736,0.023812869227772815,0.02458853660718585,363,0.538079092184139,0.7785189498986544,0.6802126273284246,0.8409242105196701,0.19091533587301585,0.6798418972332017,0.16510828638622477,0.2535353587662812,0.611528885673078,0.05105481510322761,0.8190900317494741,0.04474418947982914,0.7810710851129518,0.9442508710801396,0.7190241931488028,0.9709090909090907,0.5580564117506414,0.919732441471572,0.24254389099729134,0.8235305956092921,0.42385780704067233,0.46081406090777344,0.5105148529649872,0.18816678914640747,1.1491149014281832,0.5484185681114897,0.9956569169211451,0.9350931337809403,0.314569453671413,0.36723490064139463,0.9641693811074917,0.23798885420437776,0.7372891868294247,0.5116498502382059,0.8353208658927921,0.5647368337580619,0.8980263157894738,0.7059196799979235,0.8990536277602523,362
2009-12-17,0.007578701904392027,0.968169198427228,0.9535047838662207,0.02888534826320921,0.028909169283622305,364,0.543212354927531,0.781420231484709,0.6748425780951284,0.7418332344478085,0.19169191555555554,0.6482213438735178,0.16737901394174037,0.26477464449596966,0.6099749612598103,0.05061380336651497,0.79209401021793,0.04976484486486128,0.7877853476115605,0.9547038327526132,0.7517067735366492,0.9890909090909088,0.5464535842576023,0.8695652173913042,0.24144915814122248,0.7913664368080148,0.40861847830045694,0.4698496363821274,0.49695715934397855,0.18816678914640747,1.1497340797136337,0.5711191447104306,1.0,0.9279402707743367,0.27266737623055226,0.3726371672347317,0.9641693811074917,0.2521703054456089,0.730124594566196,0.5350452181988168,0.7901483694161408,0.5753153481787814,0.8256578947368421,0.7106919720891105,0.8958990536277601,358
2009-12-24,0.00906853219328907,0.9633814835972814,0.9467899442553462,0.03397579452491506,0.032707953005617796,357,0.5472811791251719,0.7839467761011965,0.6767529620310158,0.6424654304064834,0.19224892269841265,0.6205533596837945,0.16968106010274875,0.27808091027616466,0.6159237506691434,0.04782403718478896,0.7703801618968446,0.05792903448597374,0.8075114429448466,0.9407665505226481,0.7804766318062442,0.9709090909090907,0.5442543064385587,0.8561872909698995,0.23981522887594042,0.7541071826022646,0.39879578377798186,0.4754900994794623,0.4894089253826287,0.18816678914640747,1.155113187124691,0.5828391038027427,0.9960204077270229,0.9146925985996708,0.23296249337361385,0.3772656482685828,0.9055374592833875,0.265194397112282,0.7314250386400569,0.5609795221665699,0.7501124180067708,0.5892287920907809,0.8092105263157895,0.7164511598556436,0.9116719242902207,378
2009-12-31,0.01178909185127619,0.9579518375838645,0.9410403317521558,0.03963520830874856,0.03647541947638455,364,0.5479855968780514,0.7856543863373568,0.6894034443250259,0.5736155726642798,0.19202935,0.5968379446640316,0.17059060782786073,0.2914691010152598,0.6264511127335636,0.045256689107323084,0.7597073010345151,0.06787875647408098,0.8416565720183923,0.8954703832752613,0.798544546207917,0.9236363636363636,0.5524959789137444,0.8361204013377928,0.24037076538307,0.7193952982740176,0.39685395204132623,0.4674708007045163,0.4941767615236221,0.18816679261396016,1.165162711337373,0.5814362808900082,0.9870729679584715,0.8970719252754007,0.21289941979964588,0.37915255001171033,0.8371335504885994,0.27910472897262517,0.7470546670682601,0.5823484040037663,0.7222082481283999,0.6083435875248744,0.7960526315789475,0.7164715149174217,0.8517350157728705,400
2010-01-07,0.014185775359502717,0.9514307870503027,0.9361449301097851,0.04635134034570498,0.04073924371524651,362,0.5457071261312687,0.7869044335583899,0.7146008829825496,0.5582990512013946,0.19047619047619047,0.5968379446640316,0.16933558376482516,0.3029541626317558,0.637803923914288,0.04497054344074955,0.757533916004797,0.07825600897230962,0.8844587049488216,0.8815331010452963,0.801298809548942,0.9199999999999999,0.566986907227497,0.8394648829431437,0.24503654395458163,0.6936765387087075,0.40401737480423205,0.43914476928165624,0.5152991136943219,0.18816680301661828,1.1793516676200289,0.5750946013656651,0.976512512154089,0.8778392026178183,0.22458096146064221,0.3769733157963928,0.8241042345276873,0.29513965929981045,0.7804055913878885,0.5920475055727075,0.7111543584682246,0.6304977420894101,0.7960526315789475,0.7058981002453197,0.7318611987381702,402
2010-01-14,0.015999481798160353,0.9441451582221334,0.9318932192830207,0.05435903953251042,0.0461757084457588,358,0.5414976557803466,0.7882596806451252,0.7475409097695875,0.5884137254308333,0.18726393126984126,0.6047430830039526,0.16775090371316148,0.3105510400340461,0.6462290612725096,0.04697483233648633,0.7592434140036436,0.08770279013599838,0.9283635046098996,0.8675958188153312,0.7928377652483716,0.9018181818181819,0.5822281230957757,0.8795986622073579,0.2525017972032768,0.6786098183742119,0.4165510938321424,0.39833574710807007,0.5477417652869325,0.18816681341927638,1.1949343869092905,0.5745795133892668,0.9676938681701328,0.8597553643647791,0.2587426813000848,0.3719763347900782,0.8078175895765473,0.3113165830880319,0.8249817766990015,0.5849663845045188,0.7125623001134614,0.6525221596692746,0.8486842105263158,0.68735914440441,0.7287066246056783,415
2010-01-21,0.019303018525715476,0.9366158514854053,0.928049802840047,0.0638299319857989,0.0534982339676251,378,0.5364090747208072,0.7902828916412954,0.7817663466653184,0.6480780721238042,0.18299303650793647,0.6363636363636365,0.16832322716152714,0.31301695673112795,0.6479734014694377,0.05076639949947233,0.7602192020816544,0.09517968506002791,0.9658166334210113,0.8432055749128922,0.7794372666143328,0.8690909090909091,0.5927206587097714,0.8929765886287626,0.26064787179202786,0.6746573413418654,0.4294803131322512,0.35648515259488045,0.5842023349297886,0.1881668203543818,1.2083184438664725,0.5906564649249323,0.9628331314031255,0.8455813532933574,0.30077833191034364,0.3660532320142873,0.8110749185667753,0.32484765353628886,0.8718151514493746,0.563970260789916,0.7197668874536093,0.6712477439136625,0.8486842105263158,0.6653536675010283,0.7318611987381702,410
