Date,IndGlobalCAN_lag96,price_trend_sma96,NewForSaleSAAR.USA_lag96,IndGlobalQc_lag96,NewForSaleAct.USA_lag95,Price,ConstSpendRes.USA_lag91,ExistForSaleInv.USA_lag96,ConstSpendNonRes.USA_lag96,US_PPI_Lumber_lag96,MnfdHomesSAAR.USA_lag95,ValeurExport.PaysExport_lag93,BD.CDN.RRB.DQ.YLD_lag95,ValeurExport.CHN_lag88,IndNAHB.USA_lag91,ExistMthSply.USA_lag94,HsSglSAAR.QC_lag96,BdgPmtTotSAAR.USA_lag95,NewMthSply.USA_lag96,Taxes_exp_lag83,BdgPmtSglSAAR.USA_lag95,InventaireSciageRes.ON_lag96,VolumeExport.CHN_lag92,US_Lbr_Exp_lag93,CDN.AVG.OVER.10.AVG_lag95,BD.CDN.LONG.DQ.YLD_lag95,Dollar.US.dollar.CDN_lag95,TauxUSD_CAD_lag95,HsTotAct.USA_lag95,TotShip.ON_lag96,CDN.AVG.3YTO5Y.AVG_lag96,ExistSoldSAAR.USA_lag96,BD.CDN.10YR.DQ.YLD_lag95,InventaireSciageRes.CAN_lag96,WST_LBR_SHPMT_lag96,BD.CDN.7YR.DQ.YLD_lag95,HsSglSAAR.AB_lag94,BD.CDN.3YR.DQ.YLD_lag96,BdgPmtTotAct.USA_lag96,HsSglSAAR.CB_lag87,CDN.AVG.5YTO10Y.AVG_lag95,BD.CDN.5YR.DQ.YLD_lag95,HsSglSAAR.CAN_lag90,BdgPmtMltSAAR.USA_lag77,InventaireSciageRes.CB_lag96,y
2009-11-19,0.005361449246113814,0.0027690430374993635,0.9922893320598642,0.005878562605670545,0.9801327273816729,308,0.543212354927531,0.8214672273051143,0.7734348495950574,0.17056310305657307,0.8557158867033873,0.22807500474413078,0.7351778656126483,0.04697483233648633,0.19073214428571428,0.6894034443250259,0.8966252830869967,0.6258596694857844,0.6546595940508149,0.18816671979535335,0.6764714998566966,0.9027423510930357,0.04401958236150971,0.24254389099729134,0.9512195121951221,0.9709090909090907,0.8600648328763421,0.09859582487465479,0.5250446165219829,0.5303478975688197,0.9563862928348908,0.36427513177103155,1.0,0.9920452212217299,0.6857820697863635,1.0,0.4586480225516626,0.949526813880126,0.4334582639950665,0.6938481173668469,0.9999999999999999,0.9904153354632588,0.7193952982740176,0.83512665664296,0.9662306770703744,316
2009-11-26,0.011788911061860752,0.005209555545126143,0.9849309326124205,0.01270564301394117,0.9701747073481979,313,0.5472811791251719,0.807144830359534,0.7736921556979177,0.16608617812825854,0.8575930104134685,0.23808833893695502,0.7193675889328064,0.05076639949947233,0.19047619047619047,0.6802126273284246,0.9236011891549318,0.6000940182018742,0.6677361562459943,0.18816672326290607,0.6539731551867475,0.893395081592274,0.04353183187267243,0.24144915814122248,0.9337979094076656,0.9563636363636363,0.866956843753206,0.09341350443677587,0.5420904887235185,0.5312033392030678,0.9906542056074764,0.36175666126812,0.979933110367893,0.9988507730003149,0.6613499753085283,0.9736842105263158,0.46081406090777344,0.9779179810725551,0.42621203937418106,0.6677874513434209,0.977198697068404,0.9648562300319488,0.6936765387087075,0.8488098423179049,0.9522710633262061,308
2009-12-03,0.018207389264473406,0.007603135119913729,0.9783930227733482,0.019255523273097985,0.9612709913190736,311,0.5479855968780514,0.793880019664673,0.774174534624473,0.16429269807639657,0.8435343303385047,0.24545940684044487,0.7351778656126483,0.055842089042321935,0.19091533587301585,0.6748425780951284,0.9089435843534839,0.5767181144690642,0.6892181109183113,0.18816679261396016,0.6347487505254895,0.8754671332800898,0.04474418947982914,0.23981522887594042,0.9442508710801396,0.9709090909090907,0.8702349944659438,0.09093064830515418,0.5546197224851177,0.5237753948087764,0.9595015576323987,0.36302664221980674,0.9732441471571907,0.9999157593203907,0.6313553082078223,0.9539473684210528,0.4698496363821274,0.9337539432176656,0.4216060306575843,0.652455547957682,0.9609120521172637,0.9424920127795526,0.6786098183742119,0.7865314675210595,0.9265710108873737,307
2009-12-10,0.023812869227772815,0.009621251231989314,0.972958528986855,0.02458853660718585,0.9535047838662207,310,0.5457071261312687,0.7841691454830567,0.7758885210446893,0.16510828638622477,0.8190900317494741,0.2535353587662812,0.7549407114624506,0.061698744805865915,0.19169191555555554,0.6767529620310158,0.8409242105196701,0.5580564117506414,0.7190241931488028,0.18816693825117378,0.6201937381912798,0.8549858363092746,0.04976484486486128,0.24037076538307,0.9547038327526132,0.9890909090909088,0.8697663377379388,0.09125294840915776,0.5647368337580619,0.5105148529649872,0.9345794392523364,0.36723490064139463,0.979933110367893,0.9971058972316902,0.6027045532740203,0.9572368421052632,0.4754900994794623,0.8990536277602523,0.4220001058838111,0.6517999691530727,0.9641693811074917,0.9361022364217253,0.6746573413418654,0.6738621139995241,0.8934830441149986,305
2009-12-17,0.02888534826320921,0.011545501478387399,0.968169198427228,0.028909169283622305,0.9467899442553462,316,0.5414976557803466,0.7810710851129518,0.7785189498986544,0.16737901394174037,0.79209401021793,0.26477464449596966,0.7430830039525692,0.06788341580076447,0.19224892269841265,0.6894034443250259,0.7418332344478085,0.5464535842576023,0.7517067735366492,0.18816709082349278,0.611528885673078,0.8380430240862062,0.05792903448597374,0.24503654395458163,0.9407665505226481,0.9709090909090907,0.8657160276852953,0.09425873419366004,0.5753153481787814,0.49695715934397855,0.9283489096573209,0.3726371672347317,0.9732441471571907,0.9925568073786919,0.5821262860505976,0.9572368421052632,0.4674708007045163,0.8958990536277601,0.4283803595903095,0.6616200319980803,0.9641693811074917,0.9424920127795526,0.682281311683003,0.546976549234558,0.8579117215358067,307
2009-12-24,0.03397579452491506,0.012953489463556567,0.9633814835972814,0.032707953005617796,0.9410403317521558,308,0.5364090747208072,0.7877853476115605,0.781420231484709,0.16968106010274875,0.7703801618968446,0.27808091027616466,0.6798418972332017,0.07414397171699583,0.19202935,0.7146008829825496,0.6424654304064834,0.5442543064385587,0.7804766318062442,0.1881671775123104,0.6099749612598103,0.8307466553535221,0.06787875647408098,0.2525017972032768,0.8954703832752613,0.9236363636363636,0.8582492300458915,0.09982633082831649,0.5892287920907809,0.4894089253826287,0.9376947040498441,0.3772656482685828,0.919732441471572,0.988471585856705,0.5763046051749483,0.8980263157894738,0.43914476928165624,0.9116719242902207,0.44138944276825054,0.6756779925745631,0.9055374592833875,0.8881789137380192,0.7019439334689591,0.4420495410689841,0.8248996091415703,315
2009-12-31,0.03963520830874856,0.014549209180081624,0.9579518375838645,0.03647541947638455,0.9361449301097851,307,0.5314932718481737,0.8075114429448466,0.7839467761011965,0.17059060782786073,0.7597073010345151,0.2914691010152598,0.6482213438735178,0.08027848721052994,0.19047619047619047,0.7475409097695875,0.5736155726642798,0.5524959789137444,0.798544546207917,0.1881671046937036,0.6159237506691434,0.839204689330997,0.07825600897230962,0.26064787179202786,0.8815331010452963,0.9199999999999999,0.8479235052086698,0.10753980453098055,0.6083435875248744,0.4941767615236221,0.8847352024922117,0.37915255001171033,0.8695652173913042,0.9870533287610392,0.5919236094092342,0.8256578947368421,0.39833574710807007,0.8517350157728705,0.4616700064088054,0.6877361067580597,0.8371335504885994,0.7891373801916933,0.7323968731794462,0.386089502386911,0.7994892743592015,336
2010-01-07,0.04635134034570498,0.01591026423241204,0.9514307870503027,0.04073924371524651,0.9318932192830207,305,0.5275414418983926,0.8416565720183923,0.7856543863373568,0.16933558376482516,0.757533916004797,0.3029541626317558,0.6205533596837945,0.08608503707322855,0.18726393126984126,0.7817663466653184,0.5582990512013946,0.566986907227497,0.801298809548942,0.18816679261396016,0.6264511127335636,0.866872369133449,0.08770279013599838,0.2673561143837071,0.8675958188153312,0.9018181818181819,0.8368660328430386,0.11580617074903543,0.6304977420894101,0.5152991136943219,0.7881619937694703,0.3769733157963928,0.8561872909698995,0.9896908844401406,0.6323543317738052,0.8092105263157895,0.35648515259488045,0.7318611987381702,0.4889703118427199,0.6929123061152817,0.8241042345276873,0.7827476038338659,0.7655496457590697,0.3694394264183686,0.7851199264212392,354
2010-01-14,0.05435903953251042,0.01736518515041996,0.9441451582221334,0.0461757084457588,0.928049802840047,307,0.5243020016074962,0.8844587049488216,0.7869044335583899,0.16775090371316148,0.7592434140036436,0.3105510400340461,0.5968379446640316,0.09124670327261984,0.18299303650793647,0.8108200167336177,0.5884137254308333,0.5822281230957757,0.7928377652483716,0.18816624127308007,0.637803923914288,0.9065940751258519,0.09517968506002791,0.27050787164118684,0.8432055749128922,0.8690909090909091,0.8275964047021325,0.12273817529001763,0.6525221596692746,0.5477417652869325,0.7819314641744547,0.3719763347900782,0.8361204013377928,0.9945161088218653,0.6877155434446736,0.7960526315789475,0.32503440488844104,0.7287066246056783,0.5194610614658864,0.6917472246681496,0.8078175895765473,0.7763578274760383,0.7916012291451212,0.37327595161545357,0.7788173439354344,368
2010-01-21,0.0638299319857989,0.018726240202750377,0.9366158514854053,0.0534982339676251,0.9243792846403918,315,0.5212626728711338,0.9283635046098996,0.7882596806451252,0.16832322716152714,0.7602192020816544,0.31301695673112795,0.5968379446640316,0.09498659661478905,0.1784954649206349,0.8282447441230587,0.6480780721238042,0.5927206587097714,0.7794372666143328,0.188165783556123,0.6462290612725096,0.9485614725224976,0.10092162685390119,0.2686285716019786,0.8501742160278747,0.8800000000000001,0.8226342038227545,0.12644857464950787,0.6712477439136625,0.5842023349297886,0.7757009345794391,0.3660532320142873,0.8394648829431437,0.9988466111620595,0.7448129509789472,0.7960526315789475,0.31542492387033716,0.7318611987381702,0.5484185681114897,0.6861371720265973,0.8110749185667753,0.779552715654952,0.8007506004958146,0.3787757164302631,0.776003947315167,368
