Date,price_trend_sma96,NewForSaleSAAR.USA_lag96,IndGlobalCAN_lag96,IndGlobalQc_lag96,NewForSaleAct.USA_lag96,Price,ConstSpendRes.USA_lag89,US_PPI_Lumber_lag96,ExistMthSply.USA_lag95,ConstSpendNonRes.USA_lag89,IndNAHB.USA_lag91,HsSglSAAR.QC_lag96,ValeurExport.PaysExport_lag94,BD.CDN.RRB.DQ.YLD_lag95,MnfdHomesSAAR.USA_lag96,TauxUSD_CAD_lag95,BdgPmtMltSAAR.USA_lag87,ExistForSaleInv.USA_lag95,BdgPmtSglSAAR.USA_lag94,Dollar.US.dollar.CDN_lag95,ValeurExport.CHN_lag95,BdgPmtTotSAAR.USA_lag96,NewMthSply.USA_lag96,CDN.AVG.OVER.10.AVG_lag95,InventaireSciageRes.ON_lag95,BD.CDN.LONG.DQ.YLD_lag96,US_Lbr_Exp_lag95,Taxes_exp_lag86,CDN.AVG.5YTO10Y.AVG_lag95,HsTotAct.USA_lag95,NewSoldSAAR.USA_lag96,VolumeExport.CHN_lag94,ExistSoldPrice.USA_lag96,TotShip.ON_lag96,ExistSoldSAAR.USA_lag96,WST_LBR_SHPMT_lag95,BD.CDN.5YR.DQ.YLD_lag96,STH_LBR_INV_lag95,BD.CDN.3YR.DQ.YLD_lag96,HsSglSAAR.USA_lag95,HsSglSAAR.CAN_lag96,BD.CDN.10YR.DQ.YLD_lag95,ValeurExport.USA_lag96,BD.CDN.7YR.DQ.YLD_lag95,BdgPmtTotAct.USA_lag89,y
2009-11-19,0.00023700052140118721,0.9922893320598642,0.005361449246113814,0.005878562605670545,0.9903844676621254,335,0.5479855968780514,0.17056310305657307,0.6992040561067818,0.7856543863373568,0.19073214428571428,0.8966252830869967,0.21207225395029128,0.7351778656126483,0.8414876167384858,0.09859582487465479,0.4294803131322512,0.807144830359534,0.6539731551867475,0.8600648328763421,0.03576071212049632,0.6517715031946961,0.6546595940508149,0.9512195121951221,0.893395081592274,0.9127272727272726,0.23294682154811652,0.18816681341927638,0.9999999999999999,0.5250446165219829,0.9413220981467968,0.038889695590478834,0.3912468485907239,0.5303478975688197,0.36427513177103155,0.6613499753085283,0.9520766773162939,0.9609993200837001,0.949526813880126,0.7242049271291662,0.8301477271820442,1.0,0.1774715483325831,1.0,0.4889703118427199,358
2009-11-26,0.0013746030241266194,0.9849309326124205,0.011788911061860752,0.01270564301394117,0.9801327273816729,345,0.5457071261312687,0.16608617812825854,0.6894034443250259,0.7869044335583899,0.19047619047619047,0.9236011891549318,0.22807500474413078,0.7193675889328064,0.8557158867033873,0.09341350443677587,0.4378302372541,0.793880019664673,0.6347487505254895,0.866956843753206,0.04657589984565337,0.6258596694857844,0.6677361562459943,0.9337979094076656,0.8754671332800898,0.9709090909090907,0.24037076538307,0.18816679261396016,0.977198697068404,0.5420904887235185,0.9142966542411873,0.04340601293716914,0.3829996627187555,0.5312033392030678,0.36175666126812,0.6313553082078223,0.9904153354632588,0.9484860887612081,0.9779179810725551,0.7088600119621846,0.8441437511659254,0.979933110367893,0.19915537546105588,0.9736842105263158,0.5194610614658864,351
2009-12-03,0.002938806465374144,0.9783930227733482,0.018207389264473406,0.019255523273097985,0.9701747073481979,348,0.5414976557803466,0.16429269807639657,0.6802126273284246,0.7882596806451252,0.19091533587301585,0.9089435843534839,0.23808833893695502,0.7351778656126483,0.8575930104134685,0.09093064830515418,0.43662607038566514,0.7841691454830567,0.6201937381912798,0.8702349944659438,0.05105481510322761,0.6000940182018742,0.6892181109183113,0.9442508710801396,0.8549858363092746,0.9563636363636363,0.24254389099729134,0.1881667544708804,0.9609120521172637,0.5546197224851177,0.8786346715124077,0.04401958236150971,0.38148903877249896,0.5237753948087764,0.36302664221980674,0.6027045532740203,0.9648562300319488,0.9418922470536977,0.9337539432176656,0.7059196799979235,0.8429571937241206,0.9732441471571907,0.22060644422063724,0.9539473684210528,0.5484185681114897,350
2009-12-10,0.004550410010902173,0.972958528986855,0.023812869227772815,0.02458853660718585,0.9612709913190736,352,0.5364090747208072,0.16510828638622477,0.6748425780951284,0.7902828916412954,0.19169191555555554,0.8409242105196701,0.24545940684044487,0.7549407114624506,0.8435343303385047,0.09125294840915776,0.4244394363071634,0.7810710851129518,0.611528885673078,0.8697663377379388,0.05061380336651497,0.5767181144690642,0.7190241931488028,0.9547038327526132,0.8380430240862062,0.9709090909090907,0.24144915814122248,0.18816671979535335,0.9641693811074917,0.5647368337580619,0.8353208658927921,0.04353183187267243,0.3879467527513085,0.5105148529649872,0.36723490064139463,0.5821262860505976,0.9424920127795526,0.9385858644001734,0.8990536277602523,0.7106919720891105,0.8235305956092921,0.979933110367893,0.23798885420437776,0.9572368421052632,0.5711191447104306,346
2009-12-17,0.006351613973550663,0.968169198427228,0.02888534826320921,0.028909169283622305,0.9535047838662207,358,0.5314932718481737,0.16737901394174037,0.6767529620310158,0.7935368298153622,0.19224892269841265,0.7418332344478085,0.2535353587662812,0.7430830039525692,0.8190900317494741,0.09425873419366004,0.4140276364446426,0.7877853476115605,0.6099749612598103,0.8657160276852953,0.04782403718478896,0.5580564117506414,0.7517067735366492,0.9407665505226481,0.8307466553535221,0.9890909090909088,0.23981522887594042,0.18816672326290607,0.9641693811074917,0.5753153481787814,0.7901483694161408,0.04474418947982914,0.39952763504782096,0.49695715934397855,0.3726371672347317,0.5763046051749483,0.9361022364217253,0.9350931337809403,0.8958990536277601,0.7164511598556436,0.7913664368080148,0.9732441471571907,0.2521703054456089,0.9572368421052632,0.5828391038027427,348
2009-12-24,0.0076314167891169404,0.9633814835972814,0.03397579452491506,0.032707953005617796,0.9467899442553462,351,0.5275414418983926,0.16968106010274875,0.6894034443250259,0.7982405178067715,0.19202935,0.6424654304064834,0.26477464449596966,0.6798418972332017,0.79209401021793,0.09982633082831649,0.42169439199717296,0.8075114429448466,0.6159237506691434,0.8582492300458915,0.045256689107323084,0.5464535842576023,0.7804766318062442,0.8954703832752613,0.839204689330997,0.9709090909090907,0.24037076538307,0.18816679261396016,0.9055374592833875,0.5892287920907809,0.7501124180067708,0.04976484486486128,0.4123672821654094,0.4894089253826287,0.3772656482685828,0.5919236094092342,0.9424920127795526,0.9279402707743367,0.9116719242902207,0.7164715149174217,0.7541071826022646,0.919732441471572,0.265194397112282,0.8980263157894738,0.5814362808900082,368
2009-12-31,0.009195620230364465,0.9579518375838645,0.03963520830874856,0.03647541947638455,0.9410403317521558,350,0.5243020016074962,0.17059060782786073,0.7146008829825496,0.8032380169017874,0.19047619047619047,0.5736155726642798,0.27808091027616466,0.6482213438735178,0.7703801618968446,0.10753980453098055,0.46374342380225986,0.8416565720183923,0.6264511127335636,0.8479235052086698,0.04497054344074955,0.5442543064385587,0.798544546207917,0.8815331010452963,0.866872369133449,0.9236363636363636,0.24503654395458163,0.18816693825117378,0.8371335504885994,0.6083435875248744,0.7222082481283999,0.05792903448597374,0.4226012887802353,0.4941767615236221,0.37915255001171033,0.6323543317738052,0.8881789137380192,0.9146925985996708,0.8517350157728705,0.7058981002453197,0.7193952982740176,0.8695652173913042,0.27910472897262517,0.8256578947368421,0.5750946013656651,384
2010-01-07,0.010902023984452835,0.9514307870503027,0.04635134034570498,0.04073924371524651,0.9361449301097851,346,0.5212626728711338,0.16933558376482516,0.7475409097695875,0.807029646594756,0.18726393126984126,0.5582990512013946,0.2914691010152598,0.6205533596837945,0.7597073010345151,0.11580617074903543,0.5491861078897603,0.8844587049488216,0.637803923914288,0.8368660328430386,0.04697483233648633,0.5524959789137444,0.801298809548942,0.8675958188153312,0.9065940751258519,0.9199999999999999,0.2525017972032768,0.18816709082349278,0.8241042345276873,0.6304977420894101,0.7111543584682246,0.06787875647408098,0.4274309969437775,0.5152991136943219,0.3769733157963928,0.6877155434446736,0.7891373801916933,0.8970719252754007,0.7318611987381702,0.68735914440441,0.6936765387087075,0.8561872909698995,0.29513965929981045,0.8092105263157895,0.5745795133892668,386
2010-01-14,0.012703227947101547,0.9441451582221334,0.05435903953251042,0.0461757084457588,0.9318932192830207,348,0.5179111782657624,0.16775090371316148,0.7817663466653184,0.8081157271552888,0.18299303650793647,0.5884137254308333,0.3029541626317558,0.5968379446640316,0.757533916004797,0.12273817529001763,0.6578644406973725,0.9283635046098996,0.6462290612725096,0.8275964047021325,0.05076639949947233,0.566986907227497,0.7928377652483716,0.8432055749128922,0.9485614725224976,0.9018181818181819,0.26064787179202786,0.1881671775123104,0.8078175895765473,0.6525221596692746,0.7125623001134614,0.07825600897230962,0.4283207391223893,0.5477417652869325,0.3719763347900782,0.7448129509789472,0.7827476038338659,0.8778392026178183,0.7287066246056783,0.6653536675010283,0.6786098183742119,0.8361204013377928,0.3113165830880319,0.7960526315789475,0.5906564649249323,399
2010-01-21,0.015120633265393257,0.9366158514854053,0.0638299319857989,0.0534982339676251,0.928049802840047,368,0.513844239902669,0.16832322716152714,0.8108200167336177,0.8055701342267758,0.1784954649206349,0.6480780721238042,0.3105510400340461,0.5968379446640316,0.7592434140036436,0.12644857464950787,0.7623280731320167,0.9658166334210113,0.6479734014694377,0.8226342038227545,0.055842089042321935,0.5822281230957757,0.7794372666143328,0.8501742160278747,0.9829662258219725,0.8690909090909091,0.2673561143837071,0.1881671046937036,0.8110749185667753,0.6712477439136625,0.7197668874536093,0.08770279013599838,0.4278005933305302,0.5842023349297886,0.3660532320142873,0.7904522581888471,0.7763578274760383,0.8597553643647791,0.7318611987381702,0.6443806896415116,0.6746573413418654,0.8394648829431437,0.32484765353628886,0.7960526315789475,0.6298730328674873,399
