,price_trend_sma96,NewForSaleSAAR.USA_lag96,IndGlobalCAN_lag93,NewForSaleAct.USA_lag96,IndGlobalQc_lag93,Price,ConstSpendRes.USA_lag95,ConstSpendNonRes.USA_lag96,US_PPI_Lumber_lag92,HsSglSAAR.QC_lag91,ExistMthSply.USA_lag93,IndNAHB.USA_lag91,ExistForSaleInv.USA_lag96,MnfdHomesSAAR.USA_lag96,BdgPmtTotSAAR.USA_lag96,BdgPmtSglSAAR.USA_lag95,BD.CDN.RRB.DQ.YLD_lag90,BdgPmtMltSAAR.USA_lag81,NewSoldSAAR.USA_lag88,CDN.AVG.OVER.10.AVG_lag95,US_Lbr_Exp_lag94,BD.CDN.3YR.DQ.YLD_lag95,ValeurExport.CHN_lag96,BD.CDN.LONG.DQ.YLD_lag95,TauxUSD_CAD_lag96,Dollar.US.dollar.CDN_lag96,NewMthSply.USA_lag95,ExistSoldSAAR.USA_lag94,ValeurExport.PaysExport_lag96,HsSglSAAR.CAN_lag96,HsSglSAAR.USA_lag93,VolumeExport.CHN_lag96,ExistSoldPrice.USA_lag96,Taxes_exp_lag91,STH_LBR_INV_lag93,InventaireSciageRes.ON_lag96,HsTotSAAR.STH_lag96,BD.CDN.10YR.DQ.YLD_lag95,CDN.AVG.1YTO3Y.AVG_lag90,BD.CDN.5YR.DQ.YLD_lag96,TotShip.ON_lag95,CDN.AVG.5YTO10Y.AVG_lag94,BD.CDN.7YR.DQ.YLD_lag94,HsTotSAAR.USA_lag95,NewSoldMedPrice.USA_lag96,y
196,0.14342898480829525,0.26769622435636997,0.17355907733546871,0.26128232773769305,0.1684946237015872,371,0.07966428302580919,0.2678235857056168,0.18167393751950267,0.6971204071880488,0.45293935560650095,0.1266025752380952,0.4901689777720212,0.1584419123728178,0.18093818671376793,0.34380946563400705,0.5612648221343874,0.10148615606861985,0.18550379548326967,0.8641114982578397,0.1774502170019413,0.4416403785488958,0.20646983314432932,0.8800000000000001,0.20302806992869105,0.7249922273579612,0.4918571737515301,0.44279714278311455,0.1101240373930461,0.7949442151191847,0.3016446038570052,0.3075397985727025,0.14260360857091836,0.569933235393463,0.2683266801913522,0.21478226704119496,0.19471148742686395,0.8093645484949834,0.268370607028754,0.6485623003194887,0.03397853974800108,0.8241042345276873,0.7796052631578948,0.14315666218643897,0.15370914262388258,363
197,0.1451169520135036,0.267000737267703,0.1808549229458043,0.26067285058472417,0.17040343771579014,372,0.07903050169085213,0.24755697325802872,0.20561582021398062,0.6188189009113907,0.4709629366527937,0.13599115730158728,0.48706199109157133,0.1575800428803773,0.17191310363630918,0.3394294148298366,0.5375494071146246,0.10037088801989061,0.1992526311204902,0.9094076655052266,0.1620142891119663,0.4763406940063091,0.1751145745152981,0.9199999999999999,0.1943548291145718,0.7357116281467633,0.4943896578544426,0.43962470423134903,0.09226158643619248,0.8286750546142604,0.31333420110048793,0.2601697510417732,0.1289132941843365,0.5700271540584774,0.2672687438626262,0.1958133325119954,0.20623728679263775,0.8862876254180603,0.268370607028754,0.65814696485623,0.055783344972661186,0.8338762214983712,0.7894736842105264,0.15524908137719873,0.14381975550672244,364
198,0.14680491921871242,0.26647077910048056,0.18765178964796547,0.2601032790773529,0.17234119837551187,366,0.07849130448974762,0.22849878665566692,0.23202338046092796,0.5753213886472979,0.49192720983749666,0.1424224715873016,0.49309812254302654,0.1578732632333415,0.16074810463049538,0.3339862902635683,0.549407114624506,0.09233055079036365,0.22366410723263064,0.9094076655052266,0.15339879714791244,0.5015772870662459,0.1445067042541665,0.9199999999999999,0.18827706435155367,0.7432450388857563,0.4988181393465256,0.43361949034881975,0.07590730899046316,0.8563415783399663,0.32143032197910726,0.21341063008426345,0.11406287706785312,0.5699465820038244,0.2649855507899854,0.18380830547229332,0.21324426261357443,0.8896321070234112,0.25559105431309903,0.7220447284345048,0.07153309007234332,0.8371335504885994,0.7894736842105264,0.16414344537418157,0.13277989584183314,377
199,0.1482035206173138,0.2658717104542001,0.19347921360397002,0.2592959428047736,0.1744725451083502,361,0.07815787464480317,0.21201674974593399,0.2568016525614423,0.5908224360188203,0.5117979853239247,0.14285714285714285,0.5076201307810292,0.15989022228047722,0.1510001661479734,0.32925237118526585,0.5770750988142294,0.08048356969861079,0.25933675959198854,0.9268292682926829,0.15180612992084097,0.473186119873817,0.12495142631354693,0.9454545454545455,0.18725453063298758,0.744532211302249,0.5063978519056536,0.4260904850140952,0.06843841663429145,0.872016832439687,0.3267262453229365,0.18265818695836641,0.1010121331641638,0.5695975901618316,0.2634760694451721,0.17836936210082133,0.21049399767225763,0.8963210702341136,0.28753993610223644,0.731629392971246,0.07592141015372372,0.8078175895765473,0.7631578947368421,0.16687001565990844,0.12387416639419468,366
200,0.14998794309139152,0.2650201242548337,0.19786672026192775,0.2580651293512494,0.1769621173419056,363,0.07798254547520822,0.19922258233442447,0.2758556708166209,0.6781618653849384,0.5265410733838634,0.13561937698412702,0.5294643784448826,0.16398538806865004,0.14558324647904763,0.3266946683758968,0.5810276679841898,0.06908917416208091,0.30686912397086197,0.9059233449477353,0.15693217720658287,0.4574132492113564,0.12393124541827945,0.9236363636363636,0.19273022932784478,0.7377746817760875,0.5150022628397859,0.42075779163418714,0.07524115228201567,0.8722054637744175,0.3300152501523357,0.17918631283584002,0.09217624362582888,0.5689793601900607,0.26473926829992855,0.17882291771990788,0.19480440413046163,0.8695652173913042,0.28434504792332266,0.7252396166134185,0.07151194902583852,0.7459283387622149,0.7039473684210527,0.16471386186601011,0.11980501374603669,363
201,0.15201350373764178,0.2639375427342505,0.2003438511408122,0.2565929579899749,0.17997455450377853,364,0.07787793714356583,0.1902039938740021,0.2864954198307379,0.8047605293415343,0.5321222843975666,0.12448770666666664,0.5554416413862494,0.16965650398357401,0.14483923055580794,0.32770387594913697,0.5652173913043479,0.06240659323665801,0.36357661116993756,0.8675958188153312,0.16847282866042074,0.41324921135646675,0.13763786856676424,0.8909090909090909,0.20208013661953705,0.7262211311081543,0.521659397864404,0.4213415124066662,0.09373788600978761,0.8631385203226646,0.3320906156779533,0.19778146037452013,0.08779200953125943,0.568463488906588,0.2707741113063884,0.18339234422626494,0.17121871321773174,0.8160535117056857,0.25878594249201275,0.7060702875399361,0.06283585298399941,0.7263843648208469,0.6842105263157895,0.16002375542726144,0.12094626857090662,374
202,0.15374969857728482,0.26269672045079384,0.20073083219579768,0.25515350598921355,0.18362213031721275,377,0.0777566708336892,0.18479269055099046,0.2916506854207721,0.9266845380437156,0.526240687953885,0.11460424666666666,0.581856300350215,0.1761871318822884,0.1484669850301934,0.33367068781867004,0.5691699604743083,0.06352253433809898,0.4136421323731573,0.8432055749128922,0.18612397411845977,0.4069400630914827,0.15944030352962935,0.8654545454545455,0.21166347079188208,0.7143820305627537,0.5233972826949886,0.43156175033539723,0.1193600188256213,0.8534786507805451,0.3340333606595296,0.22910822226792857,0.0875516389959421,0.5685146665169607,0.28302703127496986,0.19002525242163182,0.14683648687223994,0.7959866220735785,0.32907348242811507,0.645367412140575,0.054424268572067,0.7296416938110748,0.6875000000000001,0.15514846789550407,0.12708960856771845,375
203,0.15418374728719564,0.26137041196280686,0.20001068605335792,0.2540208500345413,0.18780766716796915,366,0.07753136704858465,0.18282037855170996,0.2956562046065785,1.0,0.5135283917776887,0.1111111111111111,0.6050127347187221,0.18286083376718698,0.1561653765541441,0.3459857976981874,0.5731225296442689,0.07083361796008783,0.4379654743322535,0.8571428571428572,0.20921961017359758,0.3943217665615142,0.18270755787366488,0.8872727272727272,0.21783944799108612,0.7067678484987479,0.517243943047021,0.4539103359236192,0.14753895214157342,0.8518885040389444,0.3380754647172015,0.2638311915759509,0.09114733922175766,0.5695975901618316,0.3007343274100087,0.19666925358488518,0.12875728614586712,0.806020066889632,0.3418530351437699,0.6261980830670926,0.05080834183680433,0.7654723127035828,0.7236842105263158,0.15243677093964625,0.13802670983132814,375
204,0.15413551965276118,0.26003137182863323,0.1994571197761683,0.25346906768556526,0.192381621737451,363,0.07718037443330716,0.18411876406248462,0.30284671260861074,0.9937435153275176,0.500350763019382,0.11775540015873015,0.6212153247824751,0.18896117178601846,0.1676332717795993,0.36465615850228084,0.5612648221343874,0.08156394295618122,0.41744642325955705,0.8745644599303137,0.23564616141028838,0.42271293375394314,0.20080863930155296,0.9127272727272726,0.2169672929137927,0.7078890503695559,0.5006624441261243,0.48596600926891975,0.17370608777374397,0.8670307282096702,0.34673664721048647,0.29261496111423024,0.09827131649698151,0.5718028461880654,0.3225797587349071,0.20127195827919575,0.12408067231206765,0.8428093645484951,0.35143769968051114,0.6230031948881789,0.05555652275480161,0.7752442996742671,0.7335526315789475,0.15392019857996253,0.15354925086267834,370
205,0.1544248854593684,0.25863278769007036,0.2003438511408122,0.2535392666722201,0.19719445070706598,374,0.07694495352029884,0.18842778761943801,0.31647831244060565,0.9288336439914919,0.49307316882936975,0.13270415555555554,0.6286361807400463,0.19393102851820176,0.1820447713111818,0.3841537585491962,0.5652173913043479,0.09293760781837115,0.34125866189204046,0.8815331010452963,0.2629281592903271,0.42586750788643524,0.20892884485507301,0.9199999999999999,0.20657082090543621,0.7208309293695088,0.47285600909848896,0.5240792379682602,0.19431116746834942,0.9033777173842482,0.36253662749890125,0.30836189700937766,0.108429176829554,0.5737245742998238,0.3472470978318958,0.20244617748665417,0.13782448858696839,0.8494983277591974,0.3929712460063898,0.65814696485623,0.06838647379082508,0.749185667752443,0.7072368421052633,0.16036133588112678,0.1721907940531766,372
