index,MAE,RMSE,MAPE,Series_Number
XGBoost,0.3393807220458984,0.44491987577251674,0.07909990162000918,25
Random Forest,2.7616499999999995,3.8278611521318275,0.6337616455327019,25
LightGBM,1.9133675524992133,2.5123194783262512,0.43612920319002924,25
SVR,18.15512390974964,23.90114564284623,4.109303137812084,25
Fine-Tuned Deep Learning,18.604665908813477,23.835396272795617,4.203621189077799,25
XGBoost,0.26722694396972657,0.34859601131447515,0.061102312611552224,26
Random Forest,2.3592,3.3693183286831174,0.5424150835515793,26
LightGBM,1.81245527974571,2.651537347778741,0.4104572256027893,26
SVR,14.45991723551017,18.991121163061475,3.309741356819747,26
Fine-Tuned Deep Learning,14.66555030822754,19.061707810254983,3.347092950093905,26
XGBoost,0.2627245330810547,0.3405087851133511,0.053072657702735865,27
Random Forest,2.987700000000002,3.9927912542480883,0.5980570055537765,27
LightGBM,2.036348430666352,2.8305279164138533,0.40335942824214055,27
SVR,16.44998900629937,21.8772790435819,3.2751976495936557,27
Fine-Tuned Deep Learning,16.613003692626954,22.010208806537157,3.308825829157698,27
XGBoost,0.36914318084716796,0.4836393779768396,0.10239206448543225,28
Random Forest,3.2114499999999997,4.707675328652136,0.8884241313596931,28
LightGBM,2.043889261442333,2.8021424976091285,0.5571264940168824,28
SVR,19.307906515962166,25.3653227103487,5.300743241200953,28
Fine-Tuned Deep Learning,19.418491821289063,25.547564570698672,5.343753428796643,28
XGBoost,0.315435905456543,0.4080219324398066,0.09591903723917508,29
Random Forest,2.7900500000000004,4.426080094169105,0.8373423785545333,29
LightGBM,1.8266309409335872,2.395763646083364,0.5430237226423882,29
SVR,15.57667878980964,20.89519199892598,4.614422493846388,29
Fine-Tuned Deep Learning,15.671179618835449,20.874981879363,4.685325395910988,29
XGBoost,0.3037710952758789,0.39837709725994414,0.09056747040451969,30
Random Forest,2.4697999999999998,3.590865912283552,0.7333740541754241,30
LightGBM,1.668963999582299,2.288615101369526,0.48396283616799085,30
SVR,14.079856091714847,19.59345862510918,4.115978525358608,30
Fine-Tuned Deep Learning,14.772061080932618,20.334891604260378,4.3558967022918935,30
XGBoost,0.28722042083740235,0.37903214194341484,0.0778452794774223,31
Random Forest,2.1519000000000004,2.9481835085353834,0.5861324320028938,31
LightGBM,1.7901376593434934,2.5805826801742935,0.4767403086541524,31
SVR,12.41109813611416,17.11547822105106,3.3050469191411294,31
Fine-Tuned Deep Learning,12.978171920776367,17.54236029419985,3.4784506991644695,31
XGBoost,0.2980128479003906,0.39194331931729065,0.08522456148353055,32
Random Forest,2.100100000000001,3.077198076172543,0.5777681171936135,32
LightGBM,1.7200600581963374,2.4172991498682843,0.47810810463890946,32
SVR,12.422107091557086,17.770352080183777,3.4038776628277376,32
Fine-Tuned Deep Learning,12.463729515075684,17.579700344447584,3.42340168647127,32
XGBoost,0.2396717071533203,0.3208242719249589,0.06577778096916508,33
Random Forest,2.2796000000000003,3.4097759457184282,0.5996564082721143,33
LightGBM,1.5840161543731557,2.156708381916051,0.42028119851823204,33
SVR,13.270345093364108,18.035934782606958,3.469764315068862,33
Fine-Tuned Deep Learning,13.793432273864745,18.26967889391482,3.6476361339568477,33
XGBoost,0.27938499450683596,0.3687428886521665,0.0757219143093598,34
Random Forest,2.2831500000000005,3.1651248000671313,0.5978167749181931,34
LightGBM,1.742133972632011,2.6703328973483265,0.4476624781388784,34
SVR,13.301043922607967,17.671850000393693,3.4784111386758227,34
Fine-Tuned Deep Learning,13.427679290771485,17.72641786718691,3.525867802661654,34
XGBoost,0.24801528930664063,0.34829509501552997,0.07304930421659228,35
Random Forest,2.1079000000000003,2.9819979879268868,0.5867416876938376,35
LightGBM,1.7564770756454111,2.420795467360196,0.4883078483315988,35
SVR,12.6670099636818,16.834220417167877,3.532899464667673,35
Fine-Tuned Deep Learning,12.925271987915039,17.0808883135832,3.6518196433667645,35
XGBoost,0.2518574523925781,0.3284775777686083,0.07286765917035587,36
Random Forest,2.18805,3.15251407609863,0.6086409127845654,36
LightGBM,1.552800891671093,2.1467589888295002,0.4359209932505044,36
SVR,12.07220549846651,15.865389649752712,3.3675070535581995,36
Fine-Tuned Deep Learning,12.340520935058594,15.94361078585497,3.457476047785879,36
XGBoost,0.3352672576904297,0.44778466979842685,0.08554994088389244,37
Random Forest,3.1291999999999995,4.973115723568072,0.772476527364516,37
LightGBM,2.273415602699389,3.5731088533842508,0.5427726316447806,37
SVR,18.945884551661823,25.960238275692895,4.560123858932485,37
Fine-Tuned Deep Learning,19.98001899719238,26.67343926944623,4.864274381655698,37
XGBoost,0.38974594116210937,0.5152057246909072,0.0918341681932727,38
Random Forest,3.2393499999999973,4.259997535210553,0.7357126488354219,38
LightGBM,2.664226221634958,3.80107565104814,0.5938295138418422,38
SVR,23.103573553001883,30.10684134681548,5.20564453950992,38
Fine-Tuned Deep Learning,23.50559898376465,30.25574648460825,5.327550660698489,38
XGBoost,0.4101377868652344,0.5393324684297909,0.0996008123152915,39
Random Forest,3.409249999999999,4.664523233943637,0.8191245804241187,39
LightGBM,2.2451648224461125,3.0380055036064166,0.530497872668384,39
SVR,19.381768764014133,25.532929604252395,4.621380198950607,39
Fine-Tuned Deep Learning,19.7290234375,25.66673220781607,4.706680821058225,39
XGBoost,0.3902265167236328,0.5132849222249458,0.0912693160743311,40
Random Forest,2.8536500000000014,3.970065364701192,0.6411111170471574,40
LightGBM,2.0303982412723003,2.949099275636863,0.4500959013107136,40
SVR,17.090907074931124,23.54453564145677,3.8434999462844295,40
