index,MAE,RMSE,MAPE,Series_Number
XGBoost,2.073662949,2.705603442,0.483013628,1
Random Forest,4.686545084,6.550377593,1.090735961,1
LightGBM,3.126535273,3.932174902,0.728695459,1
SVR,23.35808965,30.88020743,3.983621773,1
Deep Learning,22.79663304,28.27487901,3.908032788,1
XGBoost,2.053132782,2.672046598,0.473903558,2
Random Forest,4.865870785,6.69460085,1.103664422,2
LightGBM,3.28136176,4.221409861,0.746900879,2
SVR,18.4865454,24.52323474,3.175774596,2
Deep Learning,18.88397217,23.01915147,3.25448485,2
XGBoost,0.872398834,1.108751415,0.199895406,3
Random Forest,4.355187419,6.083582728,0.985528158,3
LightGBM,1.209691305,1.735618133,0.265335437,3
SVR,12.76530227,17.17018013,2.203320835,3
Deep Learning,11.30932617,14.88840807,1.950075392,3
XGBoost,3.722736816,4.890223457,0.730899208,4
Random Forest,4.858532073,6.903185354,0.930023226,4
LightGBM,1.277740998,1.802241532,0.250213449,4
SVR,10.32793672,12.91565064,1.653599483,4
Deep Learning,10.66262381,13.8623261,1.714008669,4
XGBoost,2.185771065,2.705711756,0.642161016,5
Random Forest,5.206899029,8.063837135,1.53623011,5
LightGBM,7.281832612,9.708426531,2.148030241,5
SVR,12.53985734,15.84381163,2.878156504,5
Deep Learning,13.85976955,17.21326689,3.189932443,5
XGBoost,0.909630928,1.145795318,0.291193484,6
Random Forest,4.176435446,5.947204503,1.299376169,6
LightGBM,6.754945189,8.902390119,2.144313325,6
SVR,11.25171184,13.33999334,3.155495685,6
Deep Learning,15.55792236,17.80332541,4.369942418,6
XGBoost,1.676376152,2.133987939,0.515971072,7
Random Forest,2.20365,3.49196177,0.669239264,7
LightGBM,1.581836403,2.098543919,0.481775173,7
SVR,8.363816354,9.779439923,2.067312322,7
Deep Learning,14.14700535,16.08425609,3.515603851,7
XGBoost,0.819662819,1.00852324,0.230741756,8
Random Forest,3.560745368,5.257305468,1.009605086,8
LightGBM,3.90711466,4.994888546,1.102663258,8
SVR,6.009615339,7.697976643,1.506403416,8
Deep Learning,7.677447728,10.12386526,1.929406188,8
XGBoost,1.765080414,2.235160345,0.505418148,9
Random Forest,3.494811777,4.696603201,0.993113319,9
LightGBM,2.941035879,3.809160706,0.839761389,9
SVR,9.008169247,11.02245455,2.232465017,9
Deep Learning,12.06717137,14.70540848,3.005543703,9
XGBoost,3.545477905,4.475663095,0.957020498,10
Random Forest,2.974522733,4.155364858,0.790156914,10
LightGBM,2.837055578,3.524021963,0.768379845,10
SVR,9.34739479,12.13177863,2.158867338,10
Deep Learning,10.26635088,12.55527324,2.388883459,10
