index,MAE,RMSE,MAPE,Series_Number
XGBoost,0.000689659,0.000924252,0.000265076,22
Random Forest,3.436176494,5.143020499,1.297120848,22
LightGBM,4.95842879,6.565986507,1.848644269,22
SVR,11.92706091,16.0783079,4.032332679,23
Deep Learning,12.59724014,16.75918608,4.30398067,23
XGBoost,2.988939514,3.807286901,1.051885412,23
Random Forest,3.657936289,5.16518432,1.258432455,23
LightGBM,1.122362083,1.442714818,0.390965656,23
SVR,18.70628389,24.57933219,4.222062857,24
Deep Learning,19.36635818,25.02888741,4.369338495,24
XGBoost,0.000432892,0.00052761,9.96E-05,24
Random Forest,5.099619661,7.145430329,1.164444521,24
LightGBM,4.514350276,6.312393931,1.004653305,24
SVR,17.79932517,23.5107391,4.020348536,25
Deep Learning,18.56869026,23.78743009,4.198576091,25
XGBoost,14.63345451,18.38056041,3.341685736,25
Random Forest,4.686490566,6.559290096,1.085998021,25
LightGBM,3.870463594,4.967714773,0.883438123,25
SVR,14.20709517,18.66755996,3.249962105,26
Deep Learning,14.68391563,19.07367564,3.350147106,26
XGBoost,0.056521301,0.090362199,0.013772667,26
Random Forest,4.100964512,6.021573431,0.956484413,26
LightGBM,1.016654302,1.455844052,0.23353298,26
SVR,16.22619326,21.55151986,3.234980351,27
Deep Learning,16.76554382,22.13929514,3.327057046,27
XGBoost,0.709135895,0.912008372,0.144583141,27
Random Forest,4.969575823,6.813160094,0.991903329,27
LightGBM,2.126485082,2.920504246,0.42239195,27
SVR,18.93699127,24.85414794,5.206461514,28
Deep Learning,19.4570842,25.60770682,5.362912339,28
XGBoost,2.394218903,3.014256125,0.668306165,28
Random Forest,5.504762133,7.730804371,1.518583178,28
LightGBM,4.128626343,5.574264574,1.119539643,28
SVR,15.20380138,20.3619853,4.4964068,29
Deep Learning,15.63578465,20.84159584,4.670624023,29
XGBoost,0.979608421,1.216632029,0.296427506,29
Random Forest,4.396269849,6.390631313,1.310882055,29
LightGBM,1.975132558,2.566832338,0.590878182,29
SVR,14.07985609,19.59345863,4.115978525,30
Deep Learning,14.42636799,19.99243583,4.220971999,30
XGBoost,0.161558113,0.212275497,0.048508626,30
Random Forest,4.09114282,5.868463383,1.211884554,30
LightGBM,1.369925447,1.758838192,0.404433586,30
SVR,12.41109814,17.11547822,3.305046919,31
Deep Learning,13.00820454,17.577158,3.491816919,31
XGBoost,1.730234146,2.255028162,0.47106456,31
Random Forest,2.655192878,3.708727694,0.717010358,31
LightGBM,8.541226422,11.11849497,2.365187604,31
SVR,11.89190466,17.05143639,3.273764856,32
Deep Learning,12.4738007,17.58330608,3.427328644,32
XGBoost,3.147212944,4.106763821,0.892317918,32
Random Forest,3.337886879,4.643178355,0.920922757,32
LightGBM,0.776667647,0.987719545,0.220686227,32
SVR,13.27034509,18.03593478,3.469764315,33
Deep Learning,13.86756115,18.32102937,3.671417434,33
XGBoost,28.59892113,38.04512887,8.009675235,33
Random Forest,3.91407849,5.877168509,1.027592205,33
LightGBM,1.360788245,1.792667844,0.366617353,33
SVR,13.04374492,17.39509952,3.407274858,34
Deep Learning,13.35336693,17.66690348,3.498040542,34
XGBoost,4.893667526,6.387233197,1.318573988,34
Random Forest,3.938434414,5.491659118,1.030880096,34
LightGBM,1.4142723,1.852574037,0.378490069,34
